children_wh_valid_scores_count_2018, development_at_risk_count_2018, development_at_risk_perc_2018, development_at_risk_count_2015, development_at_risk_perc_2012, development_vulnerable_perc_2009, development_at_risk_perc_2015, development_on_track_perc_2009, development_at_risk_count_2012, development_on_track_count_2012, name, development_on_track_count_2009, development_vulnerable_count_2009, children_wh_valid_scores_count_2009, development_vulnerable_perc_2015, development_vulnerable_perc_2018, development_at_risk_count_2009, code, development_vulnerable_perc_2012, development_at_risk_perc_2009, development_on_track_count_2015, development_vulnerable_count_2015, development_vulnerable_count_2012, development_on_track_count_2018, children_wh_valid_scores_count_2012, sa2_main16, development_on_track_perc_2012, children_wh_valid_scores_count_2015, development_on_track_perc_2015, development_vulnerable_count_2018, development_on_track_perc_2018
186,26,13.978495,16,6.4102564,2.6666667,10.062893,86.0,10,139,"Preston - West",129,4,150,11.320755,9.67742,17,"21429",4.4871793,11.333333,125,18,7,142,156,"209021429",89.10256,159,78.616356,18,76.344086
163,16,9.815951,24,8.536586,2.919708,12.631579,90.51095,14,146,"Carnegie",124,4,137,5.263158,3.0674846,9,"21176",2.4390244,6.569343,156,10,4,142,164,"208021176",89.02439,190,82.10526,5,87.11656
730,66,9.041096,42,11.111111,9.67742,11.260054,64.51613,19,146,"Cranbourne East",20,3,31,8.042895,7.1232877,8,"21301",3.508772,25.806452,301,30,6,612,171,"212031301",85.38012,373,80.69705,52,83.83562
299,46,15.384615,31,7.9584775,4.861111,10.652921,85.06944,23,251,"Coburg",245,14,288,4.467354,5.685619,29,"21108",5.1903114,10.069445,247,13,15,236,289,"206011108",86.85121,291,84.87972,17,78.92976
70,5,7.142857,3,10.344828,1.5625,4.0,93.75,6,51,"Armadale",60,1,64,5.3333335,7.142857,3,"21135",1.7241379,4.6875,68,4,1,60,58,"206061135",87.93104,75,90.666664,5,85.71429
379,40,10.55409,41,10.714286,16.0,9.975669,62.57143,42,317,"Hampton Park - Lynbrook",219,56,350,9.489051,9.498681,75,"21305",8.418367,21.428572,331,39,33,303,392,"212031305",80.86735,411,80.53528,36,79.94723
114,25,21.929825,13,6.060606,4.716981,10.077519,89.62264,6,88,"Brunswick West",95,5,106,3.875969,7.894737,6,"21107",5.050505,5.6603775,111,5,5,80,99,"206011107",88.888885,129,86.04651,9,70.17544
103,10,9.708738,14,6.185567,6.25,13.725491,83.333336,6,87,"Alphington - Fairfield",80,6,96,4.901961,1.9417475,10,"21110",4.123711,10.416667,83,5,4,91,97,"206021110",89.69072,102,81.37255,2,88.34952
135,12,8.888889,22,8.928572,5.785124,15.492958,85.95042,10,96,"Ormond - Glen Huntly",104,7,121,7.0422535,5.9259257,10,"21182",5.357143,8.264462,110,10,6,115,112,"208021182",85.71429,142,77.46479,8,85.18519
270,15,5.5555553,22,6.993007,6.696429,7.482993,86.16071,20,251,"Northcote",193,15,224,5.442177,3.3333333,16,"21111",5.2447553,7.142857,256,16,15,246,286,"206021111",87.76224,294,87.07483,9,91.111115
0,null,null,null,null,null,null,null,null,null,"West Melbourne",null,null,0,null,null,null,"21127",null,null,null,null,null,null,0,"206041127",null,null,null,null,null
183,17,9.289618,14,6.010929,7.3446326,7.253886,78.531075,11,166,"Thornbury",139,13,177,4.1450777,4.9180326,25,"21112",3.2786884,14.124293,171,8,6,157,183,"206021112",90.71038,193,88.601036,9,85.79235
79,5,6.329114,4,13.414634,8.571428,5.5555553,84.28571,11,62,"South Melbourne",59,6,70,6.9444447,11.392406,5,"21132",10.97561,7.142857,63,5,9,65,82,"206051132",75.60976,72,87.5,9,82.27848
182,10,5.4945054,11,10.843373,1.3793104,6.111111,91.72414,18,128,"Ascot Vale",133,2,145,3.8888888,2.1978023,10,"21113",12.048193,6.8965516,162,7,20,168,166,"206031113",77.10844,180,90.0,4,92.30769
290,20,6.8965516,25,12.946428,2.3255813,9.124087,86.82171,29,184,"Essendon - Aberfeldie",224,6,258,4.379562,3.4482758,28,"21114",4.910714,10.852714,237,12,11,260,224,"206031114",82.14286,274,86.49635,10,89.655174
92,8,8.695652,11,20.38835,9.4827585,10.679611,80.17242,21,65,"Flemington",93,11,116,9.708738,13.043478,12,"21115",16.504854,10.344828,82,10,17,72,103,"206031115",63.106796,103,79.61165,12,78.26087
165,9,5.4545455,19,12.173913,3.821656,13.013699,89.808914,14,96,"Moonee Ponds",141,6,157,5.479452,2.4242425,10,"21116",4.347826,6.3694267,119,8,5,152,115,"206031116",83.478264,146,81.50685,4,92.121216
74,8,10.810811,9,10.714286,25.925926,12.5,57.407406,6,47,"Carlton",31,14,54,16.666666,6.756757,9,"21117",5.357143,16.666666,51,12,3,61,56,"206041117",83.92857,72,70.833336,5,82.432434
133,20,15.037594,20,12.5,17.307692,15.384615,65.38461,12,72,"North Melbourne",34,9,52,12.307693,8.270677,9,"21123",12.5,17.307692,94,16,12,102,96,"206041123",75.0,130,72.30769,11,76.69173
33,2,6.060606,1,4.1666665,9.523809,4.5454545,85.71429,1,20,"Parkville",18,2,21,4.5454545,0.0,1,"21124",12.5,4.7619047,20,1,3,31,24,"206041124",83.333336,22,90.90909,0,93.93939
161,15,9.316771,13,18.60465,4.854369,10.31746,82.52427,24,103,"Albert Park",85,5,103,3.9682539,3.7267082,13,"21128",1.5503876,12.621359,108,5,2,140,129,"206051128",79.84496,126,85.71429,6,86.95652
136,4,2.9411764,8,13.75,1.9607843,5.16129,92.15686,22,130,"Elwood",94,2,102,3.2258065,2.2058823,6,"21129",5.0,5.882353,142,5,8,129,160,"206051129",81.25,155,91.6129,3,94.85294
111,3,2.7027028,18,15.789474,11.428572,20.22472,65.71429,12,59,"St Kilda",46,8,70,12.35955,8.1081085,16,"21133",6.5789475,22.857143,60,11,5,99,76,"206051133",77.63158,89,67.41573,9,89.189186
119,7,5.882353,26,12.727273,11.0,21.666666,79.0,14,91,"St Kilda East",79,11,100,3.3333333,5.042017,10,"21134",4.5454545,10.0,90,4,5,106,110,"206051134",82.72727,120,75.0,6,89.07563
77,5,6.4935064,17,17.592592,11.666667,17.34694,64.166664,19,73,"Delahey",77,14,120,17.34694,12.987013,29,"21331",14.814815,24.166666,64,17,16,62,108,"213011331",67.59259,98,65.30612,10,80.51948
116,8,6.8965516,8,10.447762,11.864407,10.38961,76.27119,7,58,"South Yarra - East",45,7,59,10.38961,2.586207,7,"21137",2.9850745,11.864407,61,8,2,105,67,"206061137",86.56716,77,79.22078,3,90.51724
63,7,11.111111,9,9.67742,4.0,13.235294,92.0,6,53,"Toorak",69,3,75,4.4117646,3.1746032,3,"21138",4.83871,4.0,56,3,3,54,62,"206061138",85.48387,68,82.35294,2,85.71429
31,3,9.67742,9,32.258064,6.451613,27.272728,83.870964,10,19,"Abbotsford",26,2,31,12.121212,12.903226,3,"21139",6.451613,9.67742,20,4,2,24,31,"206071139",61.29032,33,60.60606,4,77.41936
53,7,13.207547,9,6.9444447,1.5873016,16.666666,88.888885,5,64,"Carlton North - Princes Hill",56,1,63,7.4074073,0.0,6,"21140",4.1666665,9.523809,41,4,3,46,72,"206071140",88.888885,54,75.92593,0,86.79245
93,5,5.376344,8,5.5555553,5.5555553,6.2015505,87.77778,6,98,"Fitzroy North",79,5,90,7.751938,2.1505377,6,"21143",3.7037036,6.6666665,111,10,4,86,108,"206071143",90.74074,129,86.04651,2,92.47312
182,13,7.142857,29,12.345679,8.762887,15.934066,79.38145,20,128,"Richmond (Vic.)",154,17,194,6.5934067,15.384615,23,"21144",8.641975,11.85567,141,12,14,141,162,"206071144",79.012344,182,77.47253,28,77.47253
96,11,11.458333,19,5.319149,6.557377,20.652174,83.60656,5,82,"Yarra - North",51,4,61,13.043478,6.25,6,"21145",7.4468083,9.836065,61,12,7,79,94,"206071145",87.23404,92,66.304344,6,82.291664
120,15,12.5,5,4.424779,8.196721,4.0650406,74.590164,5,105,"Ashburton (Vic.)",91,10,122,2.4390244,5.8333335,21,"21146",2.6548672,17.213116,115,3,3,98,113,"207011146",92.92036,123,93.49593,7,81.666664
156,10,6.4102564,13,6.6666665,0.8130081,9.027778,91.05691,10,138,"Balwyn",112,1,123,3.4722223,4.4871793,10,"21147",1.3333334,8.130081,126,5,2,139,150,"207011147",92.0,144,87.5,7,89.10256
244,26,10.655738,15,7.7922077,3.2467532,6.4102564,91.88312,18,206,"Camberwell",283,10,308,3.8461537,2.4590163,15,"21149",3.030303,4.87013,210,9,7,212,231,"207011149",89.17749,234,89.74359,6,86.88525
246,24,9.756098,28,7.9812207,3.1531532,12.5,89.63964,17,189,"Balwyn North",199,7,222,4.464286,7.3170733,16,"21148",3.286385,7.207207,186,10,7,204,213,"207011148",88.73239,224,83.03571,18,82.92683
183,28,15.300547,23,7.027027,2.5210085,9.95671,84.87395,13,163,"Kew",202,6,238,5.194805,6.010929,30,"21153",4.864865,12.605042,196,12,9,144,185,"207011153",88.10811,231,84.84849,11,78.68852
202,26,12.871287,29,3.930131,2.5751073,12.236287,91.416306,9,212,"Glen Iris - East",213,6,233,3.3755274,3.960396,14,"21150",3.4934497,6.0085835,200,8,8,168,229,"207011150",92.576416,237,84.38818,8,83.16832
132,7,5.3030305,12,6.451613,4.2944784,8.633094,86.50307,10,142,"Hawthorn",141,7,163,6.47482,3.030303,15,"21151",1.9354838,9.202454,118,9,3,121,155,"207011151",91.6129,139,84.89209,4,91.666664
157,19,12.101911,14,3.7974684,6.25,8.805032,82.03125,6,147,"Hawthorn East",105,8,128,7.5471697,6.3694267,15,"21152",3.164557,11.71875,133,12,5,128,158,"207011152",93.03797,159,83.6478,10,81.52866
56,3,5.357143,6,5.882353,4.7058825,7.4074073,90.588234,5,77,"Kew East",77,4,85,3.7037036,8.928572,4,"21154",3.5294118,4.7058825,72,3,3,48,85,"207011154",90.588234,81,88.888885,5,85.71429
154,14,9.090909,11,4.3209877,3.1746032,6.111111,88.888885,7,147,"Surrey Hills (West) - Canterbury",168,6,189,2.7777777,1.2987013,15,"21155",4.9382715,7.9365077,164,5,8,138,162,"207011155",90.74074,180,91.111115,2,89.61039
70,5,7.142857,18,3.2967033,3.7878788,19.35484,92.42424,3,85,"Bulleen",122,5,132,11.827957,2.857143,5,"21156",3.2967033,3.7878788,64,11,3,63,91,"207021156",93.40659,93,68.81721,2,90.0
210,27,12.857142,10,8.928572,3.3557048,6.060606,86.57718,15,148,"Doncaster",129,5,149,9.090909,7.6190476,15,"21157",2.9761906,10.067114,140,15,5,167,168,"207021157",88.09524,165,84.84849,16,79.52381
151,18,11.920529,9,4.7619047,4.4692736,7.6271186,81.005585,8,153,"Templestowe",145,8,179,2.542373,6.6225166,26,"21159",4.1666665,14.52514,106,3,7,123,168,"207021159",91.07143,118,89.830505,10,81.456955
163,12,7.3619633,8,7.3170733,7.1005917,5.9259257,81.06509,12,143,"Caulfield - North",137,12,169,4.4444447,4.2944784,20,"21177",5.487805,11.834319,121,6,9,144,164,"208021177",87.19512,135,89.62963,7,88.34356
114,4,3.508772,12,12.5,5.633803,8.955224,85.211266,14,93,"Templestowe Lower",121,8,142,7.4626865,5.263158,13,"21160",4.464286,9.154929,112,10,5,104,112,"207021160",83.03571,134,83.58209,6,91.22807
174,17,9.770115,12,6.060606,6.395349,7.5,80.81396,12,171,"Box Hill",139,11,172,3.125,2.2988505,22,"21163",7.5757575,12.790698,143,5,15,153,198,"207031163",86.36364,160,89.375,4,87.93104
175,40,22.857143,5,4.6153846,4.7619047,4.1666665,87.30159,6,117,"Doncaster East (North)",110,6,126,3.3333333,7.428571,10,"21424",5.3846154,7.9365077,111,4,7,122,130,"207021424",90.0,120,92.5,13,69.71429
206,39,18.93204,10,11.029411,6.0150375,7.4626865,83.45865,15,116,"Doncaster East (South)",111,8,133,2.238806,6.7961164,14,"21425",3.6764705,10.526316,121,3,5,153,136,"207021425",85.29412,134,90.29851,14,74.27184
238,25,10.504202,9,7.894737,5.936073,3.9130435,83.561646,18,195,"Blackburn",183,13,219,5.2173915,8.823529,23,"21161",6.5789475,10.502283,209,12,15,192,228,"207031161",85.52631,230,90.86957,21,80.67227
208,18,8.653846,19,4.3689322,2.0304568,9.59596,88.83249,9,191,"Box Hill North",175,4,197,5.5555553,3.8461537,18,"21164",2.9126213,9.137055,168,11,6,182,206,"207031164",92.718445,198,84.84849,8,87.5
81,4,4.9382715,1,8.0,3.2258065,1.3333334,83.870964,8,88,"Burwood",78,3,93,5.3333335,2.4691358,12,"21165",4.0,12.903226,70,4,4,75,100,"207031165",88.0,75,93.333336,2,92.59259
100,6,6.0,2,7.216495,2.7027028,2.9411764,93.24324,7,88,"Burwood East",69,2,74,0.0,6.0,3,"21166",2.0618556,4.0540543,66,0,2,88,97,"207031166",90.72165,68,97.05882,6,88.0
161,6,3.7267082,9,10.326087,3.4013605,5.5214725,85.71429,19,152,"Beaumaris",126,5,147,6.7484665,4.347826,16,"21168",7.0652175,10.884354,143,11,13,148,184,"208011168",82.608696,163,87.730064,7,91.92547
162,13,8.024692,23,12.765958,4.347826,11.386139,85.71429,24,156,"Caulfield - South",138,7,161,6.4356437,4.9382715,16,"21178",4.255319,9.937888,166,13,8,141,188,"208021178",82.97872,202,82.178215,8,87.03704
221,12,5.4298644,17,7.0539417,2.8301888,7.3913045,88.679245,17,211,"Brighton (Vic.)",282,9,318,3.4782608,3.1674209,27,"21169",5.394191,8.490566,205,8,13,202,241,"208011169",87.551865,230,89.13043,7,91.40272
93,0,0.0,7,7.4074073,6.4220185,6.25,76.14679,10,117,"Elsternwick",83,7,109,3.5714285,1.0752689,19,"21179",5.9259257,17.431192,101,4,8,92,135,"208021179",86.666664,112,90.17857,1,98.92473
160,10,6.25,15,8.86076,1.5463917,7.8125,90.206184,21,212,"Sandringham - Black Rock",175,3,194,2.0833333,1.875,16,"21173",1.6877637,8.247422,173,4,4,147,237,"208011173",89.45148,192,90.104164,3,91.875
144,13,9.027778,24,32.666668,6.818182,20.0,88.63636,49,91,"Carrum - Patterson Lakes",117,9,132,3.3333333,4.861111,6,"21185",6.6666665,4.5454545,92,4,10,124,150,"208031185",60.666668,120,76.666664,7,86.111115
177,24,13.559322,17,5.263158,3.8095238,11.038961,87.61905,7,122,"Chelsea - Bonbeach",92,4,105,3.8961039,6.2146893,9,"21186",3.0075188,8.571428,131,6,4,142,133,"208031186",91.729324,154,85.06493,11,80.22599
253,33,13.043478,15,17.842323,1.3824885,5.3003535,90.32258,43,178,"Cheltenham - Highett (East)",196,3,217,3.8869257,4.743083,18,"21188",8.298756,8.29493,257,11,20,208,241,"208031188",73.858925,283,90.81272,12,82.21344
135,13,9.62963,7,6.3492064,12.598425,5.3030305,75.59055,8,108,"Mentone",96,16,127,3.7878788,2.2222223,15,"21190",7.9365077,11.811024,120,5,10,119,126,"208031190",85.71429,132,90.90909,3,88.14815
157,23,14.649681,41,13.450293,4.255319,22.162163,88.65248,23,141,"Edithvale - Aspendale",125,6,141,5.4054055,8.917197,10,"21189",4.0935674,7.0921984,134,10,7,120,171,"208031189",82.45614,185,72.432434,14,76.43312
82,5,6.097561,6,13.709678,4.385965,6.818182,86.8421,17,96,"Bundoora - East",99,5,114,7.9545455,9.756098,10,"21196",8.870968,8.77193,75,7,11,69,124,"209011196",77.41936,88,85.22727,8,84.14634
104,8,7.6923075,7,9.523809,4.4444447,6.6666665,87.77778,10,88,"Watsonia",79,4,90,6.6666665,6.730769,7,"21204",6.6666665,7.7777777,91,7,7,89,105,"209011204",83.809525,105,86.666664,7,85.57692
88,5,5.681818,6,10.784314,6.5934067,6.976744,87.91209,11,80,"Kingsbury",80,6,91,3.488372,11.363636,5,"21205",10.784314,5.4945054,77,3,11,73,102,"209021205",78.43137,86,89.53488,10,82.954544
284,50,17.605635,24,9.022556,8.733624,8.602151,76.855896,24,228,"Reservoir - East",176,20,229,6.09319,8.450705,33,"21207",5.263158,14.41048,238,17,14,210,266,"209021207",85.71429,279,85.30466,24,73.943665
269,22,8.178438,24,5.4474707,8.333333,9.338521,80.55556,14,226,"Reservoir - West",174,18,216,6.225681,5.204461,24,"21208",6.614786,11.111111,217,16,17,233,257,"209021208",87.937744,257,84.4358,14,86.6171
95,17,17.894737,11,7.352941,10.0,15.277778,80.0,5,60,"Coburg North",40,5,50,16.666666,7.368421,5,"21236",4.4117646,10.0,49,12,3,71,68,"210031236",88.23529,72,68.05556,7,74.73684
220,25,11.363636,32,11.176471,6.060606,16.753927,80.30303,19,142,"Fawkner",106,8,132,16.230366,7.2727275,18,"21237",5.2941175,13.636364,128,31,9,179,170,"210031237",83.52941,191,67.01571,16,81.36364
151,18,11.920529,13,6.962025,3.2085562,7.142857,92.51337,11,144,"Malvern - Glen Iris",173,6,187,4.945055,6.6225166,8,"21194",1.8987342,4.2780747,160,9,3,123,158,"208041194",91.139244,182,87.91209,10,81.456955
212,25,11.792453,16,9.313725,11.111111,8.465609,73.333336,19,168,"Ringwood",99,15,135,8.994709,5.6603775,21,"21266",8.333333,15.555555,156,17,17,175,204,"211031266",82.35294,189,82.53968,12,82.54717
213,13,6.1032863,12,9.333333,8.713693,5.4054055,81.327805,21,195,"Malvern East",196,21,241,5.4054055,7.0422535,24,"21195",4.0,9.958507,198,12,9,185,225,"208041195",86.666664,222,89.189186,15,86.85446
265,32,12.075472,35,13.531353,2.3809524,11.864407,91.666664,41,252,"Eltham",308,8,336,4.0677967,6.4150944,20,"21209",3.30033,5.952381,248,12,10,216,303,"209031209",83.16832,295,84.067795,17,81.50944
54,3,5.5555553,8,7.8431373,2.0833333,17.021276,91.666664,4,47,"Hurstbridge",44,1,48,6.382979,3.7037036,3,"21210",0.0,6.25,36,3,0,49,51,"209031210",92.15686,47,76.59574,2,90.74074
45,1,2.2222223,8,16.981133,6.818182,14.814815,75.0,9,35,"Kinglake",33,3,44,7.4074073,8.888889,8,"21211",16.981133,18.181818,42,4,9,40,53,"209031211",66.037735,54,77.77778,4,88.888885
36,7,19.444445,3,9.230769,1.754386,5.882353,89.47369,6,57,"Panton Hill - St Andrews",51,1,57,0.0,2.7777777,5,"21212",3.0769231,8.77193,48,0,2,28,65,"209031212",87.69231,51,94.117645,1,77.77778
106,4,3.7735848,10,5.785124,8.333333,8.695652,80.0,7,111,"Plenty - Yarrambat",96,10,120,6.0869565,1.8867924,14,"21213",2.479339,11.666667,98,7,3,100,121,"209031213",91.735535,115,85.21739,2,94.33962
81,3,3.7037036,7,34.234234,1.2820513,8.974359,92.30769,38,71,"Research - North Warrandyte",72,1,78,0.0,1.2345679,5,"21214",1.8018018,6.4102564,71,0,2,77,111,"209031214",63.963963,78,91.02564,1,95.06173
196,13,6.632653,10,19.463087,1.3605442,5.524862,91.15646,29,107,"Heidelberg - Rosanna",134,2,147,5.524862,5.612245,11,"21198",8.724833,7.482993,161,10,13,172,149,"209011198",71.81208,181,88.95028,11,87.755104
42,11,26.190475,5,11.864407,7.6923075,13.157895,88.46154,7,46,"Bundoora - West",46,4,52,7.894737,7.142857,2,"21217",10.169492,3.8461537,30,3,6,28,59,"209041217",77.9661,38,78.947365,3,66.666664
239,33,13.807531,39,18.97436,10.0,15.175097,78.4,37,133,"Lalor",196,25,250,10.505836,7.112971,29,"21219",12.820513,11.6,191,27,25,189,195,"209041219",68.20513,257,74.31907,17,79.0795
167,14,8.383233,29,10.429448,10.084034,18.354431,81.5126,17,115,"Heidelberg West",97,12,119,8.86076,11.377246,10,"21199",19.018404,8.403361,115,14,31,134,163,"209011199",70.55215,158,72.78481,19,80.23952
115,7,6.0869565,12,10.294118,5.0,10.434783,90.833336,14,114,"Ivanhoe",109,6,120,2.6086957,1.7391304,5,"21200",5.882353,4.1666665,100,3,8,106,136,"209011200",83.82353,115,86.95652,2,92.17391
86,10,11.627907,7,14.545455,6.060606,8.86076,72.72727,16,89,"Ivanhoe East - Eaglemont",72,6,99,11.392406,3.488372,21,"21201",4.5454545,21.212122,63,9,5,73,110,"209011201",80.90909,79,79.74683,3,84.88372
197,47,23.857868,13,20.108696,5.780347,6.8062825,83.815025,37,133,"Montmorency - Briar Hill",145,10,173,6.8062825,4.5685277,18,"21202",7.6086955,10.404624,165,13,14,141,184,"209011202",72.28261,191,86.387436,9,71.5736
243,27,11.111111,14,12.093023,4.464286,5.62249,86.60714,26,179,"Viewbank - Yallambie",194,10,224,4.4176707,4.526749,20,"21203",4.6511626,8.928572,224,11,10,205,215,"209011203",83.25581,249,89.95984,11,84.36214
196,22,11.22449,20,13.186813,10.169492,9.852217,74.57627,24,147,"Preston - East",132,18,177,5.4187193,9.183674,27,"21428",6.0439563,15.254237,172,11,11,156,182,"209021428",80.76923,203,84.729065,18,79.591835
162,15,9.259259,11,9.036144,6.3492064,6.508876,86.772484,15,143,"Wattle Glen - Diamond Creek",164,12,189,3.5502958,3.0864198,13,"21215",4.8192773,6.878307,152,6,8,142,166,"209031215",86.14458,169,89.94083,5,87.65432
171,23,13.450293,26,14.778325,6.6666665,13.541667,77.57576,30,148,"Epping - East",128,11,165,5.2083335,14.619883,26,"21431",12.315271,15.757576,156,10,25,123,203,"209041431",72.9064,192,81.25,25,71.929825
