participated, ptic_pr100, yr, sa2_code, invited, sa2_name
1046,42.7,"2016-2017","207011152",2452,"Hawthorn East"
637,46.4,"2016-2017","207011154",1373,"Kew East"
2719,46.3,"2016-2017","207021158",5871,"Doncaster East"
1670,44.8,"2016-2017","207021159",3730,"Templestowe"
1304,46.3,"2016-2017","207021160",2819,"Templestowe Lower"
1794,48.9,"2016-2017","207031161",3668,"Blackburn"
1172,42.3,"2016-2017","207031163",2768,"Box Hill"
1996,37.4,"2016-2017","213051367",5343,"Werribee"
882,40.9,"2016-2017","213051368",2155,"Werribee - South"
885,35.8,"2016-2017","213051369",2472,"Wyndham Vale"
813,46.2,"2016-2017","207031167",1760,"Surrey Hills (East) - Mont Albert"
1431,45.6,"2016-2017","207031164",3136,"Box Hill North"
675,41.5,"2016-2017","207031165",1625,"Burwood"
1546,47.9,"2016-2017","208011168",3225,"Beaumaris"
1340,45.1,"2016-2017","208011170",2968,"Brighton East"
2186,45.1,"2016-2017","208011169",4850,"Brighton (Vic.)"
986,43.9,"2016-2017","208011171",2248,"Cheltenham - Highett (West)"
1573,45.1,"2016-2017","208011173",3486,"Sandringham - Black Rock"
1432,35.2,"2016-2017","208021177",4068,"Caulfield - North"
714,43.4,"2016-2017","208021179",1646,"Elsternwick"
1113,39.9,"2016-2017","208031185",2791,"Carrum - Patterson Lakes"
657,42.0,"2016-2017","212031303",1565,"Cranbourne South"
978,44.5,"2016-2017","208031186",2199,"Chelsea - Bonbeach"
1461,41.8,"2016-2017","208031188",3494,"Cheltenham - Highett (East)"
1102,44.8,"2016-2017","208031190",2459,"Mentone"
954,45.9,"2016-2017","208031189",2078,"Edithvale - Aspendale"
868,46.3,"2016-2017","209011196",1873,"Bundoora - East"
591,37.5,"2016-2017","208031191",1575,"Moorabbin - Heatherton"
null,null,"2016-2017","208031192",null,"Moorabbin Airport"
714,46.7,"2016-2017","209011204",1529,"Watsonia"
1414,44.8,"2016-2017","208031193",3155,"Mordialloc - Parkdale"
628,34.7,"2016-2017","210031237",1812,"Fawkner"
615,43.6,"2016-2017","209021205",1411,"Kingsbury"
460,37.3,"2016-2017","210031236",1232,"Coburg North"
1286,42.8,"2016-2017","208041194",3008,"Malvern - Glen Iris"
880,50.2,"2016-2017","209031214",1754,"Research - North Warrandyte"
1398,42.9,"2016-2017","208041195",3257,"Malvern East"
857,41.1,"2016-2017","212031301",2086,"Cranbourne East"
1195,50.4,"2016-2017","209011198",2371,"Heidelberg - Rosanna"
1931,38.1,"2016-2017","209041218",5067,"Epping"
644,40.0,"2016-2017","212031308",1609,"Pearcedale - Tooradin"
544,43.1,"2016-2017","209041217",1263,"Bundoora - West"
788,36.7,"2016-2017","209011199",2145,"Heidelberg West"
1057,45.7,"2016-2017","209011200",2311,"Ivanhoe"
863,50.0,"2016-2017","209011201",1725,"Ivanhoe East - Eaglemont"
1575,48.5,"2016-2017","209011202",3247,"Montmorency - Briar Hill"
1619,49.6,"2016-2017","209011203",3264,"Viewbank - Yallambie"
1858,38.7,"2016-2017","209021206",4804,"Preston"
1440,38.4,"2016-2017","209021207",3746,"Reservoir - East"
1490,37.0,"2016-2017","209021208",4026,"Reservoir - West"
2237,49.0,"2016-2017","209031209",4568,"Eltham"
394,47.1,"2016-2017","209031210",837,"Hurstbridge"
564,43.7,"2016-2017","209031211",1290,"Kinglake"
525,45.8,"2016-2017","209031212",1146,"Panton Hill - St Andrews"
836,48.6,"2016-2017","209031213",1721,"Plenty - Yarrambat"
1222,47.1,"2016-2017","209031215",2592,"Wattle Glen - Diamond Creek"
491,41.7,"2016-2017","210011226",1178,"Airport West"
388,41.7,"2016-2017","209041216",930,"Bundoora - North"
null,null,"2016-2017","210011227",null,"Essendon Airport"
1443,37.2,"2016-2017","209041219",3884,"Lalor"
1402,40.3,"2016-2017","209041220",3475,"Mill Park - North"
877,38.1,"2016-2017","209041221",2303,"Mill Park - South"
950,39.2,"2016-2017","212041309",2423,"Clarinda - Oakleigh South"
2629,39.9,"2016-2017","209041222",6585,"South Morang"
1411,36.0,"2016-2017","209041223",3917,"Thomastown"
1025,40.8,"2016-2017","209041224",2511,"Wallan"
637,44.5,"2016-2017","209041225",1433,"Whittlesea"
885,46.5,"2016-2017","210011228",1904,"Keilor"
2133,43.5,"2016-2017","210011229",4900,"Keilor East"
654,43.4,"2016-2017","210011230",1508,"Niddrie - Essendon West"
857,48.0,"2016-2017","210011231",1787,"Strathmore"
1210,48.8,"2016-2017","210021232",2480,"Gisborne"
373,49.0,"2016-2017","210021233",761,"Macedon"
418,47.5,"2016-2017","210021234",880,"Riddells Creek"
820,42.2,"2016-2017","210021235",1943,"Romsey"
1578,38.5,"2016-2017","210031238",4100,"Glenroy - Hadfield"
806,32.4,"2016-2017","210051247",2489,"Meadow Heights"
null,null,"2016-2017","210051248",null,"Melbourne Airport"
1213,39.0,"2016-2017","210031239",3110,"Pascoe Vale"
1135,45.1,"2016-2017","210041240",2518,"Sunbury"
1895,43.5,"2016-2017","210041241",4359,"Sunbury - South"
951,40.8,"2016-2017","211011251",2332,"Bayswater"
2079,43.8,"2016-2017","211011252",4745,"Boronia - The Basin"
555,32.1,"2016-2017","210051242",1729,"Broadmeadows"
577,43.4,"2016-2017","211011257",1331,"Rowville - North"
926,32.0,"2016-2017","210051243",2898,"Campbellfield - Coolaroo"
2122,36.5,"2016-2017","210051244",5820,"Craigieburn - Mickleham"
1560,42.5,"2016-2017","210051245",3668,"Gladstone Park - Westmeadows"
1232,43.1,"2016-2017","210051246",2856,"Greenvale - Bulla"
1636,47.7,"2016-2017","211031265",3430,"Croydon Hills - Warranwood"
1059,32.9,"2016-2017","210051249",3215,"Roxburgh Park - Somerton"
489,40.4,"2016-2017","210051250",1211,"Tullamarine"
2220,42.5,"2016-2017","211011253",5222,"Ferntree Gully"
1301,45.7,"2016-2017","211011254",2846,"Knoxfield - Scoresby"
522,41.2,"2016-2017","211011255",1267,"Lysterfield"
935,51.1,"2016-2017","211031268",1830,"Ringwood North"
1271,42.2,"2016-2017","211011256",3014,"Rowville - Central"
907,43.8,"2016-2017","211011258",2071,"Rowville - South"
1254,45.9,"2016-2017","211011259",2734,"Wantirna"
1584,44.5,"2016-2017","211011260",3556,"Wantirna South"
1644,47.4,"2016-2017","211021261",3472,"Donvale - Park Orchards"
1100,50.1,"2016-2017","211021262",2195,"Warrandyte - Wonga Park"
848,43.6,"2016-2017","211031263",1943,"Bayswater North"
2538,45.9,"2016-2017","211031264",5528,"Croydon"
1135,43.2,"2016-2017","211031266",2627,"Ringwood"
1584,45.5,"2016-2017","211031267",3480,"Ringwood East"
933,45.7,"2016-2017","211041269",2042,"Forest Hill"
1207,44.9,"2016-2017","211041270",2687,"Mitcham (Vic.)"
981,49.1,"2016-2017","211041272",1997,"Vermont"
831,48.3,"2016-2017","211051277",1719,"Kilsyth"
1334,49.3,"2016-2017","211041273",2705,"Vermont South"
1521,45.2,"2016-2017","211051278",3367,"Lilydale - Coldstream"
810,47.9,"2016-2017","211041271",1692,"Nunawading"
635,44.3,"2016-2017","211051279",1434,"Monbulk - Silvan"
857,40.6,"2016-2017","211051274",2109,"Belgrave - Selby"
987,48.1,"2016-2017","211051275",2050,"Chirnside Park"
1133,44.8,"2016-2017","211051276",2529,"Healesville - Yarra Glen"
627,46.9,"2016-2017","211051280",1338,"Montrose"
1655,44.5,"2016-2017","211051281",3720,"Mooroolbark"
1078,46.8,"2016-2017","211051282",2305,"Mount Dandenong - Olinda"
717,37.5,"2016-2017","212011291",1910,"Pakenham - North"
781,44.2,"2016-2017","211051283",1766,"Mount Evelyn"
1461,39.5,"2016-2017","212011292",3703,"Pakenham - South"
759,40.6,"2016-2017","211051284",1870,"Upwey - Tecoma"
654,45.5,"2016-2017","211051285",1436,"Wandin - Seville"
1318,39.6,"2016-2017","211051286",3326,"Yarra Valley"
840,41.6,"2016-2017","212011287",2021,"Beaconsfield - Officer"
772,43.1,"2016-2017","212011288",1793,"Bunyip - Garfield"
1359,42.3,"2016-2017","212011289",3214,"Emerald - Cockatoo"
599,42.8,"2016-2017","212011290",1401,"Koo Wee Rup"
1979,44.9,"2016-2017","212021293",4409,"Berwick - North"
1279,39.2,"2016-2017","212021294",3259,"Berwick - South"
523,30.9,"2016-2017","212021295",1692,"Doveton"
664,36.2,"2016-2017","212021297",1834,"Hallam"
845,36.5,"2016-2017","212031302",2317,"Cranbourne North"
2035,39.6,"2016-2017","212021296",5140,"Endeavour Hills"
1679,37.1,"2016-2017","212021298",4521,"Narre Warren"
667,42.7,"2016-2017","212021299",1562,"Narre Warren North"
1152,35.5,"2016-2017","212031300",3246,"Cranbourne"
1438,35.6,"2016-2017","212031307",4043,"Narre Warren South"
1015,30.8,"2016-2017","212041311",3300,"Dandenong"
1577,37.5,"2016-2017","212041312",4202,"Dandenong North"
925,44.5,"2016-2017","212041313",2079,"Dingley Village"
1843,42.1,"2016-2017","212041314",4374,"Keysborough"
1379,41.1,"2016-2017","212041317",3356,"Springvale"
1732,37.8,"2016-2017","212041315",4588,"Noble Park"
930,43.1,"2016-2017","212041318",2160,"Springvale South"
577,36.2,"2016-2017","212041316",1595,"Noble Park North"
1159,41.0,"2016-2017","212051319",2827,"Ashwood - Chadstone"
626,34.7,"2016-2017","212051320",1805,"Clayton"
2160,47.7,"2016-2017","212051321",4530,"Glen Waverley - East"
1533,45.6,"2016-2017","212051322",3363,"Glen Waverley - West"
1454,42.5,"2016-2017","213021342",3425,"Altona Meadows"
1538,46.1,"2016-2017","212051324",3337,"Mount Waverley - South"
1258,37.0,"2016-2017","212051326",3404,"Oakleigh - Huntingdale"
1497,42.1,"2016-2017","212051325",3560,"Mulgrave"
367,37.3,"2016-2017","213011328",983,"Ardeer - Albion"
2044,46.2,"2016-2017","212051327",4420,"Wheelers Hill"
614,42.4,"2016-2017","213011329",1449,"Cairnlea"
1242,36.5,"2016-2017","213011330",3402,"Deer Park - Derrimut"
1235,40.9,"2016-2017","213011332",3023,"Keilor Downs"
1103,38.8,"2016-2017","213011333",2845,"Kings Park (Vic.)"
1234,38.0,"2016-2017","213011334",3251,"St Albans - North"
1200,40.1,"2016-2017","213011335",2994,"St Albans - South"
823,43.7,"2016-2017","213011337",1884,"Sunshine North"
579,39.6,"2016-2017","213011336",1463,"Sunshine"
629,37.8,"2016-2017","213011339",1666,"Sydenham"
1280,37.7,"2016-2017","213011338",3392,"Sunshine West"
1622,41.9,"2016-2017","213011340",3872,"Taylors Lakes"
1104,45.5,"2016-2017","213021341",2429,"Altona"
803,37.1,"2016-2017","213021343",2166,"Altona North"
357,43.4,"2016-2017","213021345",823,"Seabrook"
1553,43.7,"2016-2017","213041353",3556,"Bacchus Marsh"
1465,46.6,"2016-2017","213021346",3143,"Williamstown"
1140,40.1,"2016-2017","213021344",2842,"Newport"
977,41.7,"2016-2017","213031347",2344,"Braybrook"
791,40.7,"2016-2017","213031352",1943,"Yarraville"
582,37.5,"2016-2017","213031348",1553,"Footscray"
876,44.1,"2016-2017","213031349",1987,"Maribyrnong"
619,35.8,"2016-2017","213031350",1727,"Seddon - Kingsville"
1414,37.5,"2016-2017","213041354",3766,"Caroline Springs"
981,38.1,"2016-2017","213041355",2575,"Hillside"
1254,37.7,"2016-2017","213041356",3326,"Melton"
1176,37.3,"2016-2017","213041357",3152,"Melton South"
865,35.9,"2016-2017","213041358",2410,"Melton West"
163,38.7,"2016-2017","213041359",421,"Rockbank - Mount Cottrell"
1299,39.3,"2016-2017","213051361",3307,"Hoppers Crossing - North"
1449,41.3,"2016-2017","213051362",3505,"Hoppers Crossing - South"
345,33.0,"2016-2017","213051363",1044,"Laverton"
1412,35.9,"2016-2017","214011372",3929,"Frankston North"
1796,37.3,"2016-2017","213051364",4810,"Point Cook"
1032,35.3,"2016-2017","213051365",2921,"Tarneit"
1161,36.3,"2016-2017","214011370",3199,"Carrum Downs"
362,29.6,"2016-2017","213051366",1224,"Truganina"
1444,38.2,"2016-2017","214011371",3779,"Frankston"
1694,46.2,"2016-2017","214011373",3670,"Frankston South"
1783,42.2,"2016-2017","214011374",4226,"Langwarrin"
1241,38.2,"2016-2017","214011375",3245,"Seaford (Vic.)"
750,38.3,"2016-2017","214011376",1960,"Skye - Sandhurst"
1229,47.3,"2016-2017","214021377",2599,"Dromana"
910,48.3,"2016-2017","214021378",1886,"Flinders"
1742,43.3,"2016-2017","214021379",4025,"Hastings - Somers"
2487,47.1,"2016-2017","214021380",5277,"Mornington"
1761,45.6,"2016-2017","214021381",3866,"Mount Eliza"
1724,48.2,"2016-2017","214021382",3580,"Mount Martha"
1797,43.1,"2016-2017","214021383",4172,"Point Nepean"
2031,46.8,"2016-2017","214021384",4341,"Rosebud - McCrae"
1554,42.9,"2016-2017","214021385",3620,"Somerville"
