rgstrd_mtr_vhcls_yr_mnfctre_31_jnry_lss_5_yrs_nm, number_businesses_industry_30_june_arts_recreation_services_num, business_exits_year_ended_30_june_number_non_employing_num, tourist_accommodation_establishments_30_june_15_rooms_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_pblc_admnstr_sfty_pc, rgstrd_mtr_vhcls_type_vhcle_31_jnry_hvy_rgd_trcks_nm, rgstrd_mtr_vhcls_yr_mnfctre_31_jnry_10_yrs_nm, rgstrd_mtr_vhcls_type_vhcle_31_jnry_mtrcycls_nm, registered_motor_vehicles_type_vehicle_31_january_total_num, number_of_businesses_by_industry_as_at_30_june_retail_trade_num, bldng_apprvls_yr_endd_30_jne_ttl_vle_prvte_sctr_dwllng_unts_m, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_edctn_trnng_pc, nmbr_bsnsss_indstry_30_jne_admnstrtve_spprt_srvcs_nm, bldng_apprvls_yr_endd_30_jne_vle_prvte_sctr_hss_m, rsdntl_prprty_prcs_yr_endd_30_jne_hss_mdn_sle_prce, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_mnfctrng_pc, rsdntl_prprty_prcs_yr_endd_30_jne_hss_nmbr_trnsfrs_nm, nmbr_bsnsss_indstry_30_jne_elctrcty_gs_wtr_wste_srvcs_nm, number_businesses_industry_30_june_currently_unknown_num, number_businesses_30_june_total_number_of_businesses_num, sa2_name_2016, bsnss_exts_yr_endd_30_jne_nmbr_emplyng_20_emplys_nm, bldng_apprvls_yr_endd_30_jne_prvte_sctr_dwllngs_excldng_hss_nm, bldng_aprvls_yr_end_30_jne_vle_prvte_sctr_dwlngs_excldng_hs_m, rgstrd_mtr_vhcls_yr_mnfctre_31_jnry_5_10_yrs_nm, number_businesses_30_june_of_employing_5_19_employees_num, business_entries_year_ended_30_june_total_number_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_infrmt_mda_tlcmns_pc, indstry_emplynt_prtn_of_emplyd_prsn_cns_elctry_gs_wtr_wste_srvc, rgstrd_mtr_vhcls_type_vhcle_31_jnry_lght_rgd_trcks_nm, number_businesses_30_june_of_employing_20_employees_num, number_businesses_industry_30_june_wholesale_trade_num, building_approvals_year_ended_30_june_private_sector_houses_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_fncl_insrce_srvc_pc, number_of_businesses_by_industry_as_at_30_june_construction_num, nmbr_bsnsss_indstry_30_jne_pblc_admnstrtn_sfty_nm, nmbr_bsnsss_indstry_30_jne_hlth_cre_scl_assstnce_nm, bsnss_exts_yr_endd_30_jne_nmbr_emplyng_5_19_emplys_nm, number_businesses_30_june_of_employing_1_4_employees_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_admnstrve_sprt_srvc_pc, registered_motor_vehicles_type_fuel_31_january_electric_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_acmdtn_fd_srvc_pc, bsnss_entrs_yr_endd_30_jne_nmbr_emplyng_5_19_emplys_nm, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_whlsle_trde_pc, indstry_emplynt_prtn_of_emplyd_prsn_cns_arts_rctn_srvc_pc, bsnss_exts_yr_endd_30_jne_nmbr_emplyng_1_4_emplys_nm, number_businesses_industry_30_june_manufacturing_num, rgstrd_mtr_vhcls_type_vhcle_31_jnry_nn_frght_crryng_trcks_nm, rgstrd_mtr_vhcls_type_vhcle_31_jnry_cmprvns_nm, indstry_emplynt_prtn_of_emplyd_prsn_cns_prfsnl_scntf_tchnl_srvc, nmbr_bsnsss_indstry_30_jne_agrcltre_frstry_fshng_nm, nmbr_bsnsss_indstry_30_jne_fnncl_insrnce_srvcs_nm, building_approvals_year_ended_30_june_value_non_residential_m, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_srvcs_pc, nmbr_bsnsss_indstry_30_jne_infrmtn_mda_tlcmmnctns_nm, registered_motor_vehicles_type_vehicle_31_january_buses_num, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_rtl_trde_pc, building_approvals_year_ended_30_june_total_dwelling_units_num, bsnss_entrs_yr_endd_30_jne_nmbr_emplyng_1_4_emplys_nm, number_businesses_industry_30_june_of_by_total_num, business_entries_year_ended_30_june_number_non_employing_num, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_cnstrctn_pc, building_approvals_year_ended_30_june_value_of_total_building_m, number_businesses_30_june_of_non_employing_num, building_approvals_year_ended_30_june_value_residential_m, registered_motor_vehicles_type_vehicle_31_january_passenger_num, number_businesses_industry_30_june_services_num, nmbr_bsnsss_indstry_30_jne_trnsprt_pstl_wrhsng_nm, number_of_businesses_by_industry_as_at_30_june_mining_num, business_exits_year_ended_30_june_total_number_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_trnsp_pstl_wrhsng_pc, indstry_emplynt_prtn_of_emplyd_prsn_cns_indqtly_dscrb_std_pc, nmbr_bsnsss_indstry_30_jne_accmmdtn_fd_srvcs_nm, rsdntl_prty_prcs_yr_end_30_jne_atchd_dwlngs_nmbr_trnsf_nm, indstry_emplynt_prtn_of_emplyd_prsn_cns_agrclte_frsty_fshng_pc, rgstrd_mtr_vhcls_type_vhcle_31_jnry_artcltd_trcks_nm, indstry_emplynt_prtn_of_emplyd_prsn_cns_hlt_cre_scl_astnce_pc, rgstrd_mtr_vhcls_type_vhcle_31_jnry_lght_cmmrcl_nm, registered_motor_vehicles_type_fuel_31_january_lpgdualother_num, sa2_maincode_2016, bsnss_entrs_yr_endd_30_jne_nmbr_emplyng_20_emplys_nm, nmbr_bsnsss_indstry_30_jne_rntl_hrng_rl_estte_srvcs_nm, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_mnng_pc, indstry_emplymnt_prprtn_of_emplyd_prsns_cnss_ttl_nm, rsdntl_prprty_prcs_yr_endd_30_jne_attchd_dwllngs_mdn_sle_prce, yr, registered_motor_vehicles_type_fuel_31_january_petrol_num, number_businesses_industry_30_june_education_training_num, nmbr_bsnsss_indstry_30_jne_prfssnl_scntfc_tchncl_srvcs_nm, bldng_apprvls_yr_endd_30_jne_ttl_prvte_sctr_dwllng_unts_nm, registered_motor_vehicles_type_fuel_31_january_diesel_num, indstry_emplynt_prtn_of_emplyd_prsn_cns_rntl_hrng_rl_est_srvc_p
3393,29,105,null,null,14,1183,130,5710,31,9,null,59,9,2300000.0,null,22,3,8,1510,"East Melbourne",null,null,null,1132,145,157,null,null,71,59,28,1,null,55,3,393,9,360,null,9,null,4,null,null,18,14,126,3,null,31,244,99,null,21,75,null,1,20,1510,127,null,110,947,11,4748,15,8,3,132,null,null,46,110,null,null,null,538,111,"206041119",null,201,null,null,725000.0,2019,4161,33,290,1,1426,null
3472,12,124,null,null,339,9181,1237,16349,85,15,null,46,15,500000.0,null,218,10,3,1310,"Yarra Valley",null,null,null,3665,101,173,null,null,146,18,38,42,null,424,null,38,null,405,null,5,null,null,null,null,29,67,16,74,null,162,56,1,null,6,108,null,42,49,1310,120,null,17,792,16,10580,71,65,3,152,null,null,45,11,null,52,null,3788,925,"211051286",null,70,null,null,474000.0,2019,10794,16,100,42,4619,null
5286,20,135,null,null,202,5080,704,14680,77,203,null,54,203,580000.0,null,311,5,null,1460,"Beaconsfield - Officer",null,2,null,4302,125,275,null,null,75,14,37,704,null,422,6,61,4,407,null,6,null,9,null,null,40,40,6,32,null,31,105,22,null,16,63,null,706,62,1460,206,null,226,920,204,11567,74,155,null,182,null,null,46,37,null,18,null,2000,418,"212011287",null,113,null,null,430000.0,2019,11044,18,188,706,3211,null
2463,19,95,null,null,395,4715,718,9551,38,44,null,30,40,518000.0,null,46,3,3,1173,"Bunyip - Garfield",3,15,3,2369,71,133,null,null,113,12,30,108,null,348,3,10,3,359,null,3,null,3,null,null,26,46,8,33,null,264,60,10,null,3,55,null,123,43,1173,84,null,55,731,45,5829,53,77,null,130,null,null,20,13,null,85,null,2310,485,"212011288",null,80,null,null,372500.0,2019,5696,16,73,123,3373,null
15,7,5,null,null,null,19,null,47,null,null,null,null,null,null,null,null,null,null,23,"Flemington Racecourse",null,null,null,14,3,null,null,null,null,4,null,null,null,null,null,6,null,3,null,null,null,null,null,null,null,null,null,null,null,3,null,5,null,null,null,null,null,null,23,null,null,5,16,null,41,null,null,null,5,null,null,3,6,null,null,null,4,null,"206041120",null,null,null,null,432500.0,2019,40,null,3,null,7,null
25262,197,2417,null,null,780,3678,1093,33902,915,274,null,1014,null,425000.0,null,16,95,113,24445,"Melbourne",48,610,274,4968,2338,3643,null,null,552,1108,724,null,null,1671,52,615,137,5189,null,55,null,126,null,null,519,413,169,30,null,258,6424,2309,null,324,582,null,610,830,24445,2671,null,2590,15813,281,23062,505,300,153,3121,null,null,1323,1439,null,69,null,7566,522,"206041122",27,3262,null,null,448000.0,2019,20447,501,5568,610,12877,null
2414,86,182,null,null,30,2128,287,6022,175,3,null,84,3,1012500.0,null,38,10,13,2304,"Collingwood",10,null,null,1476,285,351,null,null,48,111,139,1,null,147,4,65,17,633,null,8,null,6,null,null,38,106,5,7,null,6,150,44,null,107,15,null,1,119,2304,220,null,54,1267,9,4960,69,97,8,244,null,null,109,186,null,null,null,668,126,"206071141",null,278,null,null,581500.0,2019,4907,34,602,1,984,null
1686,76,207,null,null,10,2440,231,5700,158,84,null,73,17,1400000.0,null,66,null,9,2105,"Fitzroy",null,151,67,1567,271,280,null,null,27,86,68,3,null,92,4,236,16,516,null,11,null,8,null,null,58,82,11,9,null,13,146,238,null,90,31,null,154,77,2105,197,null,339,1234,101,4960,57,85,3,280,null,null,201,118,null,6,null,409,100,"206071142",null,222,null,null,750000.0,2019,4784,36,463,154,805,null
2892,17,146,null,null,82,1177,131,5209,53,19,null,57,11,3687500.0,null,12,3,11,1581,"South Yarra - West",3,14,8,1138,105,222,null,null,20,56,30,2,null,114,null,180,7,284,null,10,null,4,null,null,28,24,5,5,null,30,338,23,null,21,17,null,16,48,1581,171,null,44,1140,21,4598,23,23,4,184,null,null,62,154,null,5,null,344,33,"206041125",null,295,null,null,795000.0,2019,4198,22,267,16,968,null
1718,48,75,null,null,28,2425,204,5798,47,64,null,37,18,1337000.0,null,67,3,5,1022,"Yarra - North",null,106,46,1656,65,139,null,null,27,28,35,5,null,84,null,144,null,228,null,7,null,3,null,null,8,37,3,5,null,13,94,7,null,22,199,null,111,32,1022,104,null,72,692,65,4892,23,23,null,89,null,null,29,53,null,null,null,438,82,"206071145",3,105,null,null,681250.0,2019,4648,28,236,111,1066,null
4443,29,159,null,null,356,8217,1372,17198,80,31,null,63,31,625000.0,null,190,4,3,1783,"Emerald - Cockatoo",3,3,1,4494,129,235,null,null,135,17,50,47,null,614,5,50,3,569,null,9,null,3,null,null,46,86,12,63,null,115,128,10,null,13,36,null,50,56,1783,170,null,43,1060,33,11819,78,78,null,203,null,null,53,10,null,32,null,3382,732,"212011289",null,158,null,null,457500.0,2019,11552,23,166,50,4900,null
7324,107,295,null,null,124,6838,753,18190,235,68,null,106,27,1022000.0,null,203,null,9,2925,"Brunswick",3,114,41,4021,281,510,null,null,149,87,123,14,null,302,10,241,17,684,null,8,null,17,null,null,83,175,18,25,null,15,173,17,null,73,110,null,128,105,2925,394,null,86,1874,69,15159,121,152,null,394,null,null,182,309,null,4,null,1845,430,"206011105",null,322,null,null,519000.0,2019,14535,62,519,128,3216,null
3809,94,353,null,null,9,3895,466,10866,219,83,null,126,37,1425000.0,null,151,5,7,3115,"Prahran - Windsor",7,126,46,3157,318,485,null,null,30,65,100,12,null,256,8,285,25,768,null,8,null,20,null,null,68,81,null,8,null,18,306,26,null,92,16,null,138,109,3115,358,null,111,1966,85,9712,144,85,8,459,null,null,178,282,null,null,null,623,116,"206061136",3,318,null,null,530000.0,2019,9185,53,727,138,1551,null
2074,9,73,null,null,304,4081,473,8219,30,95,null,25,95,530000.0,null,91,4,3,975,"Koo Wee Rup",3,3,1,2062,66,111,null,null,105,12,20,316,null,250,null,11,null,269,null,null,null,null,null,null,27,30,8,27,null,276,39,11,null,null,139,null,319,33,975,81,null,107,627,96,5221,47,84,null,100,null,null,16,11,null,100,null,1854,419,"212011290",null,54,null,null,340000.0,2019,5189,14,54,319,2605,null
6451,28,218,null,null,135,6109,703,17863,136,34,null,80,28,711000.0,null,276,3,3,2301,"Berwick - North",3,18,6,5289,197,344,null,null,95,33,81,44,null,497,5,196,7,645,null,12,null,4,null,null,61,71,7,39,null,39,230,18,null,14,26,null,62,77,2301,256,null,53,1427,35,14866,121,126,null,296,null,null,56,79,null,16,null,1977,440,"212021293",3,259,null,null,545000.0,2019,13989,41,322,62,3423,null
7272,18,209,null,null,157,6951,803,20215,109,61,null,117,55,650000.0,null,336,3,3,1809,"Berwick - South",null,27,7,5976,82,414,null,null,107,14,58,138,null,444,13,119,7,471,null,14,null,null,null,null,42,40,8,45,null,14,112,12,null,23,30,null,165,83,1809,334,null,74,1236,62,16790,70,238,3,266,null,null,54,16,null,19,null,2257,501,"212021294",null,100,null,null,487500.0,2019,15810,21,262,165,3891,null
1586,4,134,null,null,150,4417,189,7961,38,22,null,53,10,485000.0,null,127,null,3,782,"Doveton",null,52,12,1952,41,251,null,null,64,9,21,32,null,268,null,19,null,108,null,4,null,null,null,null,15,31,67,19,null,null,15,1,null,null,15,null,86,28,782,226,null,24,622,23,6555,31,213,null,150,null,null,15,47,null,27,null,871,416,"212021295",null,17,null,null,414000.0,2019,6403,6,31,84,1139,null
1340,12,48,null,null,115,1834,145,4396,60,282,null,30,275,572000.0,null,90,3,3,780,"Rockbank - Mount Cottrell",null,22,7,1216,101,183,null,null,30,33,60,893,null,157,5,6,null,191,null,null,null,3,null,null,18,36,5,5,null,24,32,133,null,4,13,null,915,39,780,144,null,415,462,282,3451,60,147,null,71,null,null,10,null,null,46,null,578,164,"213041359",3,77,null,null,null,2019,3378,17,35,915,849,null
1731,45,124,null,null,53,2939,267,6422,65,32,null,37,13,1050000.0,null,76,3,5,1038,"Brunswick East",3,59,19,1750,115,202,null,null,31,24,36,7,null,116,3,64,8,255,null,3,null,5,null,null,28,56,null,13,null,null,66,1,null,34,13,null,66,43,1038,151,null,35,650,34,5506,38,51,null,160,null,null,63,235,null,3,null,539,128,"206011106",null,98,null,null,510000.0,2019,5432,27,220,66,861,null
1972,31,131,null,null,22,3639,349,7820,31,25,null,38,13,1105000.0,null,86,3,3,887,"Brunswick West",null,43,13,2204,47,193,null,null,16,13,22,18,null,129,null,66,5,175,null,null,null,3,null,null,9,27,4,13,null,6,67,1,null,21,5,null,61,23,887,164,null,28,652,27,6851,40,101,null,145,null,null,45,175,null,null,null,552,200,"206011107",null,80,null,null,430000.0,2019,6742,19,167,61,880,null
4722,39,299,null,null,220,8434,644,18380,166,108,null,103,28,930000.0,null,217,3,13,2273,"Coburg",null,258,80,5217,148,422,null,null,142,34,54,38,null,384,9,204,9,542,null,13,null,13,null,null,52,70,15,50,null,10,168,10,null,32,85,null,296,84,2273,325,null,119,1556,109,15238,76,221,null,357,null,null,113,181,null,13,null,1973,778,"206011108",3,227,null,null,535000.0,2019,14827,44,347,296,2759,null
1961,16,86,null,null,48,2895,233,6790,34,29,null,22,14,935000.0,null,92,null,3,732,"Pascoe Vale South",null,49,14,1931,43,111,null,null,30,5,20,19,null,152,3,40,3,184,null,null,null,null,null,null,22,19,3,9,null,5,61,5,null,7,7,null,68,27,732,92,null,34,504,29,5857,28,56,null,105,null,null,25,40,null,null,null,604,164,"206011109",null,88,null,null,596000.0,2019,5716,6,133,68,905,null
