agnurspsbupano_f, agbroadcrpallaha_f, agothcrop_ahacan_f, mangoes_yield_f, sorghum_yield_f, agfloerupano_f, agfrutmcdmakg_f, mushrooms_yield_f, agewesmateanooth_f, agvegecapsakgund_f, agfrutothorctnb_f, sugarcutcrushing_yield_f, canola_yield_f, agdaircales1_f, agfloers_aha_f, tomatoesmku_yield_f, agbeefcatlano_f, agfrutolivtnb_f, mandarins_yield_f, tomatoesmko_yield_f, aglambslt1ano_f, agfrutothnutttb_f, agfrutothstre_f, agcereal_ahamai_f, agdaircowsano_f, peasfreshmkt_yield_f, agvegeonioaha_f, agfrutapptba_f, apples_yield_f, cotirrigatedlint_yield_f, agfrutmacatba_f, agbewesothge1ano_f, potatotot_yield_f, agfrutothcittr_f, agcereal_atooat_f, capsicumtot_yield_f, agvegepotaatopro_f, agfrutothcittba_f, agvegepotaaha_f, agturfrollupano_f, agfrutchertnb_f, agvegecapsam2und_f, agvegebrocakg_f, agfrutmacnum_f, agnursery_ahaout_f, agnurseryundaha_f, agsheeplmbano_f, agfrutnecttnb_f, aglandtotlaha_f, agothcrop_akgpnt_f, pasture_hay_yield_f, agvegeletahaout_f, agvegecapsakg_f, othpulses_yield_f, agfrutavotba_f, agvegecaulato_f, agcottlintakgnon_f, agdairy_ano_f, agfrutnutotaha_f, ageggprodado_f, agothlstokanohld_f, agvegbeanaha_f, grapeswine_yield_f, agfrutothpomtba_f, agvegecornato_f, caulifloers_yield_f, agvegecabbato_f, agfrutaprtnb_f, agbeefcalle1_f, agpasceothsilato_f, agfrutpeactnb_f, agpigs_ano_f, agpigbsow_ano_f, agfrutothcittnb_f, agothcrop_ahaoil_f, agfrutnecttba_f, lettuceund_yield_f, agcereal_atooth_f, onions_yield_f, agpasthay_aha_f, agothcrop_atoopu_f, agfrutpeactba_f, agsugnfcrushaha_f, agvegecarrato_f, pineapples_yield_f, agvege_aha_f, aggrape_ahanyb_f, agbewes1ano_f, agcatldispano_f, agfrutalmnum_f, agfrutavotree_f, agfrutcherakg_f, agvegeletakgout_f, agfrutstrwahabea_f, oth_hay_yield_f, bananas_yield_f, agvegelettakg_f, cabbages_yield_f, agfloersundaha_f, agvegecaulaha_f, agfrutothorctba_f, agbeefallot_f, capsicumund_yield_f, agcottlintakgirr_f, agothcrop_atocan_f, cherries_yield_f, agvegepeasakgpro_f, agnurshvupano_f, aggrapewinahanyb_f, agcereal_atomai_f, agfrutmangtnb_f, lettucetot_yield_f, aglucrnhay_ato_f, aggrape_aha_f, agdairallot_f, agvegetomaahamko_f, agfrutmangakg_f, agfrutmantree_f, agvegemushakg_f, agfrutothnum_f, agvegepeasakgmkt_f, agvegecapsaha_f, rice_yield_f, agfrutotsttba_f, aggrapeothaha_f, dairy_totcattle_rt_f, agfrutmandakg_f, cereals_hay_yield_f, sweetcorn_yield_f, nectarines_yield_f, sa4_name16, agdairheifanogt2_f, agfrutorngtnb_f, agothsheepano_f, agfrutpineato_f, agfrutaprtre_f, cottontot_yield_f, potatoespro_yield_f, agpigbopigano_f, agfrutapplakg_f, brussels_yield_f, agvegemusham2_f, agothcrhayato_f, agfrutapptree_f, agvegepotaahamkt_f, broccoli_yield_f, peaches_yield_f, aggrapewinahabea_f, agvegemelnaha_f, agfrutalmoakg_f, agfrutnaspearakg_f, agvegecabbaha_f, agcereal_ahawht_f, carrots_yield_f, triticale_yield_f, agcottlintakg_f, aggrapeothahanyb_f, agothcrop_ahaopu_f, apricots_yield_f, agfrutalmotba_f, agcottpltdahairr_f, aggrapewinaha_f, lucerne_yield_f, capsicumout_yield_f, agvegebrusakg_f, agothpltryano_f, agfrutnectree_f, agpasthay_ato_f, agchickensanolay_f, agbeefcowsano_f, agfrutorngakg_f, ageweslmbmark_f, agfrutotsttnb_f, agfrutmandtre_f, oats_yield_f, agdairheifanole2_f, agewesmateanomer_f, agvegetomaato_f, agvegecapsahaout_f, agcroptotaha_f, agfrutothpomtr_f, agsugarcrsaha_f, meat_totcattle_rt_f, peanuts_yield_f, agfrutolivtba_f, agcereal_atosor_f, aglucrnhay_aha_f, tomatotot_yield_f, agothcrhayaha_f, agvegeletam2und_f, agfrutnaspeartnb_f, agpascrhayaha_f, agfrutothrahanyb_f, strawberries_yield_f, agothcrop_aha_f, agchickensanomea_f, agcereal_atotri_f, agvegepeasahamkt_f, agnursbpcupano_f, agfrutbanaato_f, agfrutoorcano_f, agfrutpeatree_f, agvegebrocaha_f, agsugarcrsato_f, agvegepumpaha_f, agorchardsaha_f, agfrutbanaaha_f, agfrutmandtnb_f, agfrutorcba_f, almonds_yield_f, agvegetomaam2mku_f, aggrape_ato_f, agothcrop_ahapnt_f, cotnonirriglint_yield_f, aggrapeothahabea_f, agcereal_atobar_f, agcereal_atowht_f, agcottpltdahanon_f, agfrutothpomtnb_f, agnursfnvupano_f, agvegepeasakg_f, grapestot_yield_f, agfrutpineaha_f, oranges_yield_f, agfrutpineahabea_f, agvegbeankg_f, agfrutavocakg_f, agvegetomaahamkt_f, agfrutstrwakg_f, agfrutapriakg_f, agpasceothsilaha_f, agfloers_ahaout_f, agvegepotaato_f, agothchickenano_f, agfrutalmotnb_f, agfrutothrahabea_f, aglambmarked_f, agvegepeasaha_f, agvegemelnato_f, agvegetomaahapro_f, agfrutorcnyb_f, agsugarcanaha_f, macadamias_yield_f, agfrutnasptree_f, agnursinplupano_f, agpascrhayato_f, agcereal_ahatri_f, agvegeletakgund_f, agfrutorngtba_f, agfrutorngtree_f, agbewesmerge1ano_f, aggrape_ahabea_f, agcottpltdaha_f, agcereal_aharic_f, agcerehay_ato_f, agcerehay_aha_f, agfrutchertree_f, agfrutavotnb_f, agfrutpechakg_f, agvegeonioato_f, silage_yield_f, agnurspropupano_f, agcereal_ahasor_f, peastot_yield_f, agfrutmacatnb_f, agcereal_ahabar_f, pears_yield_f, agfrutpineahanyb_f, agvegepeasahapro_f, agfrutnectakg_f, agfrutolitree_f, agvegepumpato_f, agvegepotaatomkt_f, agcereal_atoric_f, agfrutothnuttnb_f, agvegetomaaha_f, agnursery_aha_f, othroilseeds_yield_f, tomatoespro_yield_f, aggrapewinato_f, wheat_yield_f, olives_yield_f, peasprcs_yield_f, lettuceout_yield_f, agvegeoth_aha_f, agfrutolivakg_f, agvegebrusaha_f, grapesoth_yield_f, agfrutmangtba_f, agfrutapptnb_f, potatoesfresh_yield_f, aglambmarkmerano_f, agfrutothha_f, othcerealgrnseed_yield_f, agfrutorctot_f, agvegepotaahapro_f, agvegetomaatopro_f, aggrapeothato_f, melons_yield_f, agfrutmandtba_f, agvegetomaakgmku_f, agvegetomaatomkt_f, agvegetomaatomko_f, agvegecapsakgout_f, aglambmarkothano_f, avocados_yield_f, agfrutchertba_f, agcereal_ahaoat_f, maize_yield_f, agfrutbanaahabea_f, agvegecornaha_f, agfrutbanaahanyb_f, agfrutaprtba_f, beans_yield_f, sa4_code16, agothcrop_atooil_f, pumpkins_yield_f, agvegelettaha_f, agturf_aha_f, agfrutnaspeartba_f, agvegecarraha_f, barley_yield_f, agnursptsupano_f, agnurflwtuaha_f, agcereal_ahaoth_f
null,null,null,null,null,7875,null,null,null,null,null,null,null,null,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,2,null,null,93,null,null,null,null,null,null,null,null,null,null,1586356,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Newcastle and Lake Macquarie",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,68700,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,133,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"111",null,null,null,null,null,null,null,109,null,null
null,null,null,5,null,5146,17589070,null,368,974257,284,132,null,5598,null,10,null,null,3,5,346,6713,null,492,19899,1200,null,null,null,null,2038684,728,11,12104,null,null,null,10921,13,333747,null,108377,3680,2123688,147,null,1382,206,null,null,null,1,976321,2,40647,10,null,32191,8719,255498,3316,5,null,21,37,null,10,null,null,18362,206,null,null,1183,null,8069,18,530,null,null,null,null,null,19,null,null,null,764,null,44516,59698,null,5884,null,14,null,716366,null,10,2,43040,null,9,null,null,null,null,573,null,2815,8161,null,590,null,990,4,53687,19152,null,7260,1239,12,3,null,null,18,2982,14,2,9,"Richmond - Tweed",1245,null,272,null,null,null,null,null,null,null,null,1715,null,13,null,65,null,20,263034,null,1,103,15,null,null,null,null,null,44516,null,null,13,2500,null,143127,8275,3422,15505,null,2513,656,null,1150,null,4458,288,145,1,30744,21,null,82,null,null,null,45,30,120,39471,null,1551,7,null,1488,null,null,1,null,1600,43325,null,3,null,26,8185,null,null,2209649,6,12831,null,null,null,null,null,125,null,null,1171,1239,null,null,7,null,4113,1584438,5,null,null,766,null,142,566,null,null,459,1,559,null,null,null,9,null,674,10887,null,710483,374,498,36,null,null,290,5160,358,null,19052,304546,null,24,9945,null,1200,85004,null,null,null,null,72318,null,45,142,891,547,5,null,2,null,null,1,null,null,8000,212,null,null,null,10991,null,11,null,null,2,2324559,null,null,null,null,1006,128309,145,17,2064,459,39,null,null,null,null,15,28,null,836,"112",4780,2,5,207,null,1,null,1150,451,312
1282,1329741,245214,null,7,null,null,null,1342014,80000,14939,null,2,2703,2,64,525287,43108,39,null,1397177,607698,null,null,7742,null,null,793502,23,2000,null,1026896,26,null,111604,20000,663,null,1706,991,null,40000,1896888,null,75,null,3898920,null,4237123,null,4,8,80000,2,null,0,531078,14175,17127,334427,20742,null,17,null,null,0,41,null,135115,null,null,44664,4704,22612,4446,null,19,null,24,null,101700,null,null,407,null,4375,738,2221266,539462,1569092,2470,421640,111976,null,4,null,290835,33,null,5,37896,168721,2,72012669,398302,4,null,94,722,null,null,31305,null,18335,786,null,null,null,null,609330,null,4,10,null,128,3,2740259,5,null,null,"Riverina",817,155198,null,null,null,2004,20,39960,18237195,null,null,null,960019,1672,7237,null,17485,null,6396989,922,1,655082,9,3,72543747,null,59118,null,1197784,35999,18207,6,null,null,null,null,null,16788,221451,126568923,1861970,44659,113877,2,2128,null,2555,null,1433255,null,null,97,null,null,6780,null,639,null,9588,null,55699,null,null,null,null,14244,null,76,null,52835,null,262,null,545,17064,null,null,5801309,5,40000,303963,null,2724,112,602933,2253153,195,null,279,null,17,null,50,null,null,null,4,null,null,null,2,45048,25,371308,null,1925851,null,40076,null,883352,null,null,49,null,261663,4848,178859,2517869,2673066,1194370,17597,36194,36844,null,19950,null,2470,null,5803,12,1117,null,null,null,220651,19,null,null,null,null,null,44385,373960,1633,4,78,2,null,302191,3,16,null,13440,322,null,null,16,null,166517,27,null,null,4,6684661,34,null,1772,33,69422,2555100,2555,null,null,1437602,null,null,50026,10,null,null,null,null,null,"113",null,26,9,56,49,43,3,null,136,null
2,970,253,null,null,310,null,null,246,null,null,null,3,6218,41,7,null,null,null,24,627,6,null,105,null,710,null,204,11,null,null,376,33,null,null,null,null,null,null,769,null,null,2172,null,8,1,4311,95,71984,null,null,0,506,2,null,null,null,null,39,3627482,2719,0,5,null,1,null,2,null,8074,55871,310,2,2,null,null,553,2,null,null,1570,118,1330,null,null,null,null,4,1874,null,null,null,null,683,1,null,null,5410,20,null,null,null,null,null,null,635,null,null,null,4,2936,null,null,811,112,452,0,null,null,38999,6,84,0,null,null,null,null,null,7,3,36,"Southern Highlands and Shoalhaven",3025,null,1810,null,null,null,37,null,2260,3930,1725,null,204,null,null,36,108,null,null,50,0,115,null,null,null,null,78,null,null,null,112,12,null,464,null,648,5000,120916,18736,null,246,null,null,null,4340,null,60,0,null,null,null,null,null,5755,null,68,null,null,2364,null,1877,null,4600,419,300000,null,0,2,null,null,1640,1,null,0,33,null,null,null,null,3545,567,null,null,null,null,513,null,null,null,84,5,null,null,null,481,null,null,5436,null,4288,41,null,42,null,5,265,0,null,1,404,null,null,12,null,7432,null,4727,null,null,1498,108,null,null,1621,null,null,null,48362,null,null,null,null,710,null,null,4,null,null,20037,5755,1,null,null,null,null,9,null,40,567,null,6,null,5780,29,36260,0,null,null,null,27,null,5,null,null,89,24,null,null,null,24817,36,11,506,265,null,null,null,28,null,0,null,null,4070,"114",null,10,0,151,12,null,null,94457,201,null
25,null,null,null,null,11917,null,44,null,674,null,null,null,null,null,13,768,null,63,27,27,null,10712,null,null,null,7,68902,15,null,null,null,26,2899,null,3996,1900,2655,null,455834,null,2184,107827,null,null,31,27,1685,null,null,2,82,179658,null,null,null,null,null,null,5416667,96,1,null,null,307,null,2999,null,null,null,405,17,11,244,null,null,null,null,0,34,null,null,null,null,null,null,null,null,768,null,null,2939,123035,null,null,null,2575737,null,null,110,8392,161,0,null,null,5,null,5753,null,null,null,25992,285,null,null,7,null,null,7266113,null,null,45,null,5817,null,null,147412,1,4,7,"Sydney - Baulkham Hills and Hawkesbury",null,null,null,null,202,null,32,6,1041124,null,164957,null,75203,54,5390,12,null,10,null,2480,143,null,null,null,null,null,null,1,null,null,null,2,4000,null,18944,null,57,238691,491,50306,null,4895,2356,null,null,null,491,45,null,null,null,100,null,null,null,161,54,null,168917,null,224,null,null,null,165631,null,null,1373,null,8392,null,20,null,61,null,null,null,null,null,24263,null,null,null,null,null,null,null,null,72,null,null,null,37,null,1467,null,9,null,209,null,null,null,120000,null,30,27,null,257,null,13530,null,null,314,129,382,null,2452702,1348,1348,null,null,null,null,40,29,603,null,null,3,null,550,null,null,null,null,8,null,null,null,null,448,1053,null,null,9,null,null,null,null,null,null,null,null,385,null,null,null,null,6301,null,null,34,null,null,60,null,null,25,2356,310022,491,181,178983,27,null,603,null,null,null,80,null,202,1200,"115",null,7,99,738,314,null,null,7673,null,null
null,null,null,null,null,880,null,null,null,null,null,null,null,38,2,null,1123,null,null,null,null,null,null,null,118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2096,null,null,null,null,null,null,null,null,167,null,4462375,null,null,null,null,null,null,null,null,83,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,112,null,null,1290,null,null,null,null,null,null,null,null,null,1,null,null,16,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,null,null,null,null,null,null,13,null,null,null,null,"Sydney - Blacktown",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,210385,1025,null,null,null,null,null,8,null,null,null,114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1180029,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"116",null,null,null,null,null,null,null,null,2,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Sydney - Inner South West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"119",null,null,null,null,null,null,null,null,null,null
18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,642,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11,null,null,null,76,null,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,214,null,null,null,null,null,null,null,null,null,null,14,null,null,null,null,null,null,null,null,642,null,null,null,null,null,null,null,null,null,null,null,null,285,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Sydney - North Sydney and Hornsby",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29,null,143,null,null,null,null,null,null,null,null,null,25,null,null,100,null,null,null,null,null,null,null,null,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"121",null,null,null,null,null,null,null,null,11,null
null,2050,null,null,3,null,null,null,15,null,null,null,null,null,null,null,9904,null,null,null,304,null,null,null,null,null,null,null,null,null,null,37,null,null,150,null,null,null,null,null,null,null,null,null,1,0,821,null,30972,null,3,null,null,null,null,null,139466,null,null,null,129,null,null,null,null,null,null,null,745,250,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,510,9904,null,null,null,null,null,null,null,null,null,null,null,null,2139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Sydney - Northern Beaches",null,null,7,null,null,465,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,139466,null,null,null,null,null,null,null,null,null,null,null,250,null,7020,null,488,null,null,3,null,473,null,null,2252,null,null,100,null,null,4000,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,465,null,1200,null,300,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,320,null,null,null,null,null,null,null,null,250,null,null,null,null,473,null,300,null,null,null,null,null,null,null,3,null,1400,null,null,300,null,null,null,null,null,null,null,null,null,null,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,313,null,null,null,null,null,null,null,null,null,null,null,null,7,null,null,50,null,null,null,null,null,null,"122",null,null,null,null,null,null,4,36,2,null
1702,121,null,null,null,319,null,138,273,5811,null,null,null,752,22,15,5032,null,10,5,339,null,876,null,2169,5000,null,4889,1,null,null,971,32,54,null,5805,3188,54,100,123668,null,291,92229,null,58,null,1453,null,null,null,2,96,25468,null,null,242,null,3650,46,1542780,3923,null,null,null,240,12,5285,null,1360,1234,null,null,null,null,null,13369,20,295,null,65,null,12399,null,null,null,null,null,971,null,null,null,null,521209,1,null,null,1891265,null,2,20,null,410,20,null,null,null,null,1000,null,null,null,18405,167,null,223,13,null,null,342359,null,42319,4,null,876,null,42,135,4,10,null,"Sydney - Outer South West",199,null,142,null,108,null,32,null,6111,null,2476,null,5159,null,6007,null,null,3,null,674,null,null,null,null,null,null,null,13,null,null,null,7,4510,null,585503,13369,111,82268,3262,270,273,null,13,null,306,null,528,4,null,null,null,null,null,null,null,24,33,null,69304,null,148,null,60000,47,null,null,8,60,null,null,12399,15,null,2,37,null,null,31769,null,31496,null,null,null,null,null,null,null,null,5,42319,null,null,13,null,null,null,16,36668,1348,166,20,3188,null,null,9,333,8,86,null,270,null,null,40,null,499,null,1370056,20,20,null,null,null,null,221,59,null,null,39190,null,7,6642,null,5000,null,null,17,null,null,20852,null,27,null,null,null,16,68,null,null,null,null,null,null,5439,52,null,null,null,null,270,null,null,9,4,32038,100,null,null,25,13,464295,528,63,19657,333,null,null,null,null,null,24,null,108,null,"123",null,16,103,51,40,null,null,181,null,74
null,70,null,null,null,null,9173,35,2146,null,null,null,null,140,5,23,2338,null,5,null,271,2,152,null,null,null,null,null,null,null,3058,2099,35,4,null,3601,148,4,4,2926,null,null,4232,3058,64,8,6463,null,6058,null,null,41,30468,null,2,106,null,420,240,14201051,82,4,null,null,136,25,3678,null,814,null,null,null,null,null,null,1524,18,null,null,null,null,1901,null,null,null,null,null,4599,2758,null,2,null,272881,null,null,null,889406,null,null,4,1467,532,null,null,null,null,null,null,null,null,null,20172,47,null,217,null,null,null,1922926,2,null,8,null,152,null,15,1222,15,4,24,"Sydney - Outer West and Blue Mountains",null,null,1593,null,null,null,35,null,null,null,55219,null,null,null,1667,22,null,1,null,null,120,null,null,3,null,null,null,null,null,null,null,2,3601,null,42816,1524,null,null,993,558744,2146,null,244,null,62,null,631,8,null,null,null,null,null,18358,null,23,230,null,34251,null,28,null,null,null,947191,211,null,null,null,1467,1901,3,null,31,225,null,null,63945,null,27401,null,null,null,null,null,null,null,null,null,null,null,null,15,null,5078,11,3,null,null,null,5,148,null,null,15,2332,null,81,null,null,null,3,null,null,110,70,616525,37232,37232,2500,null,null,null,63,4,null,null,42070,null,null,1266,null,null,null,null,null,null,null,35867,18358,257,null,null,null,3,71,null,null,null,null,6,null,6710,175,104901,null,null,null,null,null,null,15,null,63945,4,null,null,56,244,631253,631,null,30468,2332,5,null,null,null,null,35,null,null,1200,"124",null,8,44,481,null,null,null,5424,558,null
120,2305,405,null,null,107667,null,70,null,null,null,null,2,957,22,11,null,null,null,34,10,null,null,null,2345,null,null,null,null,null,null,30,null,null,null,null,null,null,null,null,null,null,3106,null,50,null,40,null,null,null,2,null,null,1,null,8,null,3807,5,6766816,114,4,null,null,null,5,142,null,88,null,null,null,null,null,null,null,null,null,null,50,74,null,null,null,null,null,null,30,5529,null,null,null,null,5,3,null,1994137,25,11,2,8,764,null,null,646,null,null,200423,null,null,null,null,13738,null,410,12,null,null,null,null,null,null,null,null,null,69,null,null,null,null,"Sydney - South West",null,null,null,null,null,null,null,null,null,null,56631,468,null,null,1974,null,null,20,null,null,6,825,null,null,null,null,50,null,null,null,null,7,null,null,193745,null,104,316716,870,null,null,null,null,null,95,null,1355,null,4862,null,null,null,null,93,null,1834,66,150,133503,null,2034,null,10816,null,null,null,null,518,null,8,null,2,null,2,0,null,null,102,null,82541,null,null,null,null,4100,2504,null,null,null,null,null,null,null,null,5078,null,21,50069,null,null,12,null,54000,null,null,null,null,794,null,null,null,null,null,null,14310,null,1994137,null,null,null,null,null,null,null,null,null,null,null,null,null,3409,null,null,null,1025,null,null,null,null,93,11,null,null,null,21,60,null,null,null,3,6,null,null,361,542,null,null,null,null,null,null,null,null,102,null,null,null,40,null,938683,1355,417,null,null,null,null,null,null,null,null,null,null,1200,"127",null,7,13,null,null,null,4,2364,83,null
1,null,null,null,null,85,null,27,null,null,null,null,2,3544,12,null,null,null,null,10,null,58,null,null,7188,null,null,87,21,null,null,null,39,null,null,null,null,null,null,null,null,null,41464,null,60,1,null,null,null,null,null,0,null,null,null,46,null,14835,8,3997464,1650,null,null,96,null,3,13,null,21803,12509,null,52590,4522,null,307,null,null,null,null,18620,35339,null,null,1984,null,null,null,null,null,null,null,null,372,1,6,null,372,5,null,15,null,7791,null,null,null,null,null,1,null,null,null,3000,10292,502,858,0,null,null,2303653,58,null,null,null,null,null,19,null,6,null,null,"Ballarat",954,null,null,null,null,null,43,48068,1822,null,84460,4825,87,657,2661,null,502,null,null,1503,3,null,76,null,null,null,12575,null,null,null,502,null,null,null,9253,null,102554,150724,null,null,null,null,null,null,2290,null,2,null,null,96,null,null,null,1445,null,2859,10,809,null,null,null,2,20,2792,1224313,1849,null,1,null,null,null,16,null,null,2,null,null,1734,null,null,2427,null,null,null,null,340762,null,null,1,null,null,null,null,null,null,null,0,25,null,1872,12,null,null,null,2,null,null,null,null,null,null,null,48,null,null,703,null,null,null,null,502,null,null,null,null,null,null,null,null,7,169,null,null,null,null,31,null,null,null,1445,null,16353,null,null,0,61,1,null,2427,5,4,null,3000,31,5781,null,null,null,null,25,null,4,null,1734,null,null,null,null,null,null,2,2,null,null,null,null,null,null,null,null,null,null,null,"201",427,null,0,null,48,26,null,20991,72,null
null,null,null,null,null,20000,null,10,null,null,null,null,2,7360,2,56,null,284034,null,10,null,10216,null,921,22495,null,null,null,null,null,null,null,null,null,70916,null,null,null,null,null,14764,null,null,null,3,0,null,null,null,null,null,null,null,1,null,null,null,39659,3660,6977534,26218,null,null,null,null,null,null,null,null,37081,null,null,null,null,null,null,null,null,null,null,17617,null,null,null,null,null,null,null,77873,98,null,73082,null,null,null,null,null,null,null,null,141,4151,null,null,null,2,null,null,null,7345,null,null,39315,null,872,1,null,null,36416,16728,null,null,null,null,null,51,null,null,null,null,"Bendigo",690,null,187037,null,null,null,null,null,null,null,3642,21128,null,null,null,null,null,null,0,45112,null,null,null,null,null,null,12606,null,98,null,null,null,null,null,559,null,62860,256141,null,null,null,null,null,3,8242,269605,null,null,null,null,null,49,null,880714,null,null,97,5324,null,null,null,null,null,12022,null,null,null,null,null,141,null,null,null,null,3660,null,null,1171750,0,12386,5466,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,null,null,6056,2,null,598788,null,null,null,null,null,null,318338,null,null,1657,null,null,null,null,null,null,null,null,null,null,null,null,45745,null,null,null,null,180,null,null,null,null,27,null,null,null,1164749,null,null,null,6512,null,3,null,93,5466,4,33,null,null,2,28989225,null,null,null,13027,null,249268,null,null,1490087,null,null,null,null,null,693455,706,12,null,null,null,30981,null,8,null,null,null,null,null,"202",null,null,null,null,1657,null,4,null,5,null
