_2016_deaths, _2019_est_res_population, _2015_deaths, _2018_est_res_population, _2017_std_death_rate, _2013_deaths, _2012_std_death_rate, _2016_est_res_population, sa2_name16, _2018_std_death_rate, _2012_deaths, _2015_std_death_rate, _2013_std_death_rate, _2016_std_death_rate, _2013_est_res_population, _2019_deaths, _2019_std_death_rate, _2012_est_res_population, _2014_deaths, _2015_est_res_population, _2014_std_death_rate, _2017_deaths, _2017_est_res_population, _2018_deaths, sa2_code16, _2014_est_res_population
27,9496,33,9489,3.9,32,null,9427,"Aspendale Gardens - Waterways",3.7,16,4.1,3.4,3.8,9281,35,3.7,9216,31,9366,3.6,37,9451,27,"208031183",9358
60,10100,63,9992,5.4,60,6.3,9809,"Murrumbeena",5.7,71,5.6,6.3,5.4,9283,63,5.8,9143,69,9640,5.9,67,9915,75,"208021181",9458
0,60,0,60,null,0,null,60,"Braeside",null,0,null,null,null,36,0,null,28,0,52,null,0,60,0,"208031184",44
24,26324,11,24424,null,21,null,20288,"Southbank",null,11,null,3.7,2.3,15964,25,1.3,13746,16,18626,null,11,22210,14,"206041126",17355
27,5621,18,5596,4.0,21,null,5538,"Chelsea Heights",4.3,14,null,4.7,4.3,5391,27,4.1,5358,23,5485,4.2,21,5586,26,"208031187",5443
118,20562,111,20137,4.7,111,5.8,19091,"Carnegie",4.8,137,5.0,5.4,5.0,17775,123,4.8,17367,127,18645,5.4,115,19570,118,"208021176",18192
144,29202,157,28660,4.5,152,5.6,27802,"Coburg",4.3,155,5.1,5.4,4.9,26843,159,4.4,26540,166,27420,5.3,147,28240,146,"206011108",27127
81,15543,88,15169,5.2,81,5.2,14523,"Brunswick West",4.9,71,5.8,5.1,5.6,14057,86,5.0,13963,90,14344,5.3,79,14763,81,"206011107",14192
38,10008,40,9774,4.2,46,4.7,9434,"Alphington - Fairfield",3.9,47,4.9,5.0,4.5,8827,41,3.8,8706,45,9134,5.2,37,9650,32,"206021110",8944
50,14727,47,14525,4.0,48,4.2,14057,"Ormond - Glen Huntly",3.8,52,3.8,4.2,4.0,13403,49,3.7,13205,47,13742,4.0,46,14283,50,"208021182",13597
144,27913,150,27523,4.9,136,5.6,26424,"Northcote",4.6,167,4.9,5.3,5.0,24982,135,4.2,24419,140,25992,5.3,147,26989,130,"206021111",25551
0,3,0,3,null,0,null,3,"West Melbourne",null,0,null,null,null,0,0,null,0,0,0,null,0,3,0,"206041127",0
145,20381,131,20144,5.6,125,5.8,19578,"Thornbury",5.6,129,5.9,5.7,6.0,18773,142,5.5,18484,144,19254,6.0,128,19880,130,"206021112",18985
80,18049,78,17842,4.3,54,4.8,17469,"Port Melbourne",4.0,58,4.2,4.0,4.5,16498,84,3.9,15964,63,17254,3.9,68,17682,75,"206051130",16915
63,16508,66,16256,4.8,55,4.7,15497,"Ascot Vale",4.3,61,4.9,4.6,5.1,14491,45,3.7,14309,74,15219,4.9,61,15906,57,"206031113",14870
163,30927,193,30375,4.6,188,5.4,28946,"Essendon - Aberfeldie",4.2,191,5.0,5.2,4.7,26631,172,4.2,26169,155,28065,4.9,153,29749,161,"206031114",27304
51,11345,60,11194,5.8,56,7.2,10734,"Flemington",5.7,58,7.0,7.2,6.8,10068,43,5.2,9791,59,10531,7.2,43,10858,54,"206031115",10311
99,16051,93,15728,4.5,100,5.3,15158,"Moonee Ponds",4.6,87,5.1,5.2,5.0,14666,116,4.7,14436,114,14949,5.1,91,15441,107,"206031116",14820
43,24692,69,23261,5.7,36,5.6,20242,"Carlton",4.7,22,5.3,5.0,5.1,16719,76,5.8,15605,31,18983,4.1,62,21835,49,"206041117",17843
57,12173,55,11866,6.8,45,6.5,11530,"Kensington (Vic.)",6.3,36,6.4,6.3,6.7,10762,46,5.6,10487,42,11291,5.8,48,11673,37,"206041121",11030
40,51894,36,49247,2.5,28,null,40181,"Melbourne",2.4,19,2.5,2.5,2.5,29650,32,2.0,24882,23,37162,2.6,34,45327,30,"206041122",33626
57,10501,58,10306,5.0,60,4.3,9619,"Armadale",5.0,51,4.8,4.4,4.6,9338,58,4.9,9308,62,9485,4.7,75,9783,59,"206061135",9387
49,26459,52,25367,4.1,53,5.2,22106,"North Melbourne",3.9,50,4.9,5.1,4.7,18636,61,4.1,17412,53,20779,5.0,45,23673,55,"206041123",19644
73,8756,34,8447,6.6,35,4.7,7898,"Parkville",7.6,30,4.0,4.3,5.9,7174,144,11.5,6872,35,7682,4.3,52,8283,35,"206041124",7447
54,17806,72,17208,3.6,64,5.5,16490,"Albert Park",3.3,79,4.1,4.4,3.9,15282,69,3.4,15142,81,16053,4.4,80,16738,63,"206051128",15592
32,16754,37,16631,3.2,39,4.2,16382,"Elwood",3.4,41,3.5,4.3,3.0,15910,46,3.7,15807,30,16145,3.9,38,16566,45,"206051129",16063
0,438,0,259,null,0,null,25,"Port Melbourne Industrial",null,0,null,null,null,19,0,null,17,0,23,null,0,25,0,"206051131",21
78,13509,81,13169,5.9,63,6.1,12492,"South Melbourne",5.8,65,4.9,5.4,5.2,11521,93,5.9,10989,57,12253,5.0,106,12761,72,"206051132",11972
162,30447,196,29886,6.9,165,7.5,28166,"St Kilda",6.3,158,7.5,7.6,7.1,26027,187,6.7,25233,179,27349,7.2,167,28934,161,"206051133",26760
49,18583,53,18262,3.9,45,4.5,17613,"St Kilda East",3.9,56,3.9,4.2,3.9,16912,46,3.7,16755,47,17315,4.1,53,17916,58,"206051134",17139
56,25051,60,24654,3.5,56,4.0,22350,"South Yarra - East",3.2,56,4.1,4.0,4.0,18062,69,3.2,17116,76,20587,4.2,65,23657,55,"206061137",19382
86,14271,91,14187,3.1,104,3.7,14036,"Toorak",2.9,95,3.7,3.7,3.4,13841,103,2.9,13795,95,13939,3.8,88,14126,79,"206061138",13878
48,10088,44,9855,6.8,29,7.3,8770,"Abbotsford",5.9,42,5.9,6.2,7.0,6539,53,6.0,5544,35,8078,6.6,33,9453,27,"206071139",7411
21,9207,29,9180,3.2,33,4.8,9058,"Carlton North - Princes Hill",3.2,39,3.8,4.3,3.3,8835,32,3.4,8800,36,8964,4.3,37,9127,34,"206071140",8893
55,13929,58,13615,4.2,53,4.9,13129,"Fitzroy North",3.8,52,4.6,4.6,4.6,12446,76,4.1,12312,60,12901,4.7,47,13354,48,"206071143",12658
136,35852,114,34659,4.7,84,4.9,32686,"Richmond (Vic.)",4.5,102,4.2,4.5,4.7,29816,136,4.2,28874,98,31722,4.3,119,33697,105,"206071144",30936
50,10290,49,9882,5.5,41,5.6,9606,"Yarra - North",4.9,39,6.0,5.4,6.2,9001,47,4.7,8814,43,9449,5.6,35,9733,41,"206071145",9237
66,8298,52,8250,5.1,65,4.7,8104,"Ashburton (Vic.)",5.7,56,4.9,5.1,4.6,7948,58,5.9,7912,54,8018,5.1,72,8181,71,"207011146",7970
121,17144,128,17071,3.8,116,3.8,16679,"Balwyn",3.7,96,4.0,3.6,4.0,16382,125,3.9,16319,138,16573,3.6,112,16915,120,"207011147",16477
249,23164,257,23021,5.9,240,5.6,22646,"Camberwell",5.4,223,5.9,5.8,5.8,21381,249,5.6,21144,236,22179,5.7,257,22902,210,"207011149",21739
134,21823,107,21701,3.4,138,3.9,21440,"Balwyn North",3.3,122,3.8,3.9,3.7,21155,132,3.2,21005,142,21332,3.9,116,21578,97,"207011148",21245
201,27190,224,26915,5.0,186,5.5,26504,"Kew",4.8,205,5.0,5.3,5.1,25460,208,4.8,25123,196,26223,4.9,201,26774,191,"207011153",25957
71,17713,60,17552,3.3,51,3.8,17182,"Glen Iris - East",3.3,68,3.3,3.4,3.6,16962,54,2.8,16817,69,17075,3.4,53,17423,58,"207011150",17034
61,26161,85,25532,3.4,75,3.7,24548,"Hawthorn",3.0,74,3.6,3.8,3.3,23046,62,2.9,22356,71,24047,3.6,81,25048,68,"207011151",23629
78,17244,84,16994,4.5,72,4.5,16192,"Hawthorn East",4.0,62,4.5,4.4,4.5,14732,82,3.9,14531,65,15601,4.1,79,16625,63,"207011152",15066
25,6977,24,6916,3.0,27,3.0,6855,"Kew East",3.3,26,3.1,2.9,2.9,6627,26,3.2,6581,28,6742,3.3,33,6909,31,"207011154",6679
139,17458,115,17397,4.1,139,4.2,17126,"Surrey Hills (West) - Canterbury",4.3,117,4.4,4.3,4.3,16792,139,4.3,16695,119,16963,4.5,121,17295,137,"207011155",16864
77,11832,80,11765,3.5,57,3.8,11565,"Bulleen",3.4,68,3.3,3.5,3.5,11434,78,3.2,11397,63,11504,3.3,73,11652,75,"207021156",11468
110,24465,119,23405,3.2,110,3.3,21885,"Doncaster",2.9,103,3.4,3.2,3.3,20097,130,3.0,19659,129,21076,3.3,130,22718,98,"207021157",20505
181,17765,161,17734,5.4,146,5.2,17682,"Templestowe",5.3,129,5.0,5.0,5.1,17427,204,5.6,17381,146,17550,5.1,188,17738,161,"207021159",17469
175,14484,174,14451,5.2,142,5.9,14305,"Templestowe Lower",4.7,176,5.1,5.5,5.1,13914,167,4.5,13844,140,14155,5.3,165,14402,134,"207021160",14006
71,15749,70,15571,3.4,57,4.6,15328,"Doncaster East (North)",3.3,68,3.1,3.8,3.2,15055,102,3.6,15020,60,15242,3.2,79,15438,71,"207021424",15146
104,15798,119,15139,4.4,86,4.4,14596,"Doncaster East (South)",4.3,102,4.2,4.5,4.2,13733,110,4.2,13558,100,14302,4.2,124,14933,124,"207021425",14019
171,23394,160,23055,4.1,174,4.1,22291,"Blackburn",3.7,162,4.9,4.5,4.7,21247,177,3.7,20920,169,21850,4.9,132,22738,123,"207031161",21503
136,23320,139,22627,4.3,126,5.1,20839,"Box Hill",3.7,123,5.1,5.0,5.1,19169,179,4.3,18697,131,20170,5.1,80,21703,95,"207031163",19618
150,23523,144,23273,4.2,152,5.1,22288,"Caulfield - North",4.0,148,4.2,4.6,4.1,21277,169,4.2,20930,137,21956,4.3,159,22949,148,"208021177",21614
78,19219,82,18970,3.3,92,3.9,18466,"Box Hill North",3.1,101,3.7,3.8,3.5,17543,107,3.4,17239,100,18205,4.0,92,18702,70,"207031164",17940
103,14652,74,14198,4.8,79,4.8,12900,"Burwood",4.6,73,4.5,4.5,5.0,11846,77,4.0,11564,112,12493,4.4,90,13646,70,"207031165",12174
85,11086,60,10976,4.2,65,4.4,10772,"Burwood East",4.3,65,3.7,4.3,4.0,10667,54,3.7,10636,55,10713,4.0,70,10871,64,"207031166",10685
72,16532,79,16029,3.6,75,3.8,15482,"Bentleigh East (North)",3.3,60,3.7,3.5,3.5,14648,64,3.3,14411,70,15198,3.3,75,15732,73,"208021426",14930
56,14772,73,14606,2.7,62,3.2,14250,"Beaumaris",2.2,68,3.2,3.1,3.0,13631,68,2.4,13472,78,13995,3.2,68,14458,44,"208011168",13831
191,18926,190,18765,6.3,151,5.8,18393,"Caulfield - South",6.0,168,5.3,5.4,5.7,17636,172,5.9,17430,160,18156,4.9,228,18589,168,"208021178",17921
212,25125,245,24979,4.5,221,5.5,24353,"Brighton (Vic.)",4.1,233,4.8,5.1,4.5,22989,181,3.9,22651,202,23933,4.8,215,24699,189,"208011169",23467
55,12671,75,12499,4.2,75,4.3,12110,"Elsternwick",4.2,68,4.5,4.6,4.0,11476,69,4.4,11352,61,11825,4.7,71,12304,73,"208021179",11687
158,18313,155,18032,4.3,143,5.1,17517,"Sandringham - Black Rock",4.1,168,3.9,4.7,4.1,16444,195,4.3,16098,122,17184,4.2,155,17733,134,"208011173",16811
62,12660,60,12550,4.3,70,4.3,12111,"Carrum - Patterson Lakes",4.4,62,4.3,4.4,4.1,11743,67,4.3,11676,64,11953,4.2,80,12319,70,"208031185",11844
152,15600,163,15389,6.5,167,7.4,14833,"Chelsea - Bonbeach",6.6,164,6.8,7.1,6.7,13914,179,7.1,13680,192,14396,6.9,174,15136,159,"208031186",14091
168,25050,192,24586,4.3,175,5.3,23449,"Cheltenham - Highett (East)",4.3,186,4.4,4.8,4.3,22048,202,4.5,21556,161,22962,4.4,182,23921,192,"208031188",22533
85,14185,83,14006,4.0,118,4.5,13695,"Mentone",4.3,83,4.9,4.7,4.2,12768,103,4.6,12573,113,13332,4.9,107,13872,110,"208031190",13031
101,14025,77,13756,5.1,113,5.4,13376,"Edithvale - Aspendale",5.1,94,5.7,5.9,5.3,12784,88,4.8,12645,94,13152,6.0,81,13518,83,"208031189",12907
55,10553,67,10461,4.5,74,5.0,10292,"Bundoora - East",4.2,63,4.6,5.2,4.0,9997,81,4.7,9948,55,10136,4.6,74,10385,59,"209011196",10057
52,9747,59,9566,4.7,43,4.6,9253,"Moorabbin - Heatherton",4.7,49,4.2,4.4,4.4,8607,67,4.9,8487,43,8952,4.0,60,9398,62,"208031191",8763
0,0,0,0,null,0,null,0,"Moorabbin Airport",null,0,null,null,null,0,0,null,0,0,0,null,0,0,0,"208031192",0
117,21667,130,21563,4.8,135,6.0,21348,"Greensborough",4.6,158,5.3,5.8,5.0,21072,141,4.8,21008,152,21224,5.8,148,21484,118,"209011197",21140
43,9697,44,9678,3.8,42,4.1,9542,"Watsonia",3.7,48,3.8,4.0,3.7,9371,40,3.4,9333,45,9459,3.9,48,9613,51,"209011204",9412
129,21957,160,21579,5.2,126,5.8,20969,"Mordialloc - Parkdale",4.8,150,5.3,5.4,5.3,20077,155,5.0,19832,147,20560,5.1,161,21287,136,"208031193",20316
73,13254,71,13048,5.7,59,5.6,11965,"Kingsbury",5.2,66,5.4,5.3,5.6,11349,79,5.5,11106,59,11730,5.4,77,12583,60,"209021205",11516
245,30027,311,29560,6.4,225,6.2,28420,"Reservoir - East",5.9,233,6.2,6.0,6.3,26842,274,6.0,26379,279,27735,5.8,303,29034,249,"209021207",27285
216,26086,219,25837,5.4,178,5.8,25246,"Reservoir - West",5.0,241,5.4,5.5,5.6,24453,209,4.9,24190,225,24910,5.7,210,25599,169,"209021208",24676
0,0,0,0,null,0,null,0,"Essendon Airport",null,0,null,null,null,0,0,null,0,0,0,null,0,0,0,"210011227",0
165,21866,133,21617,4.3,151,4.5,21148,"Malvern - Glen Iris",4.0,132,4.4,4.5,4.4,20729,160,4.0,20519,128,21009,4.5,144,21443,115,"208041194",20898
49,13608,65,13366,4.0,52,5.0,12867,"Preston - West",4.1,54,4.4,4.7,4.2,12269,57,4.2,12151,60,12616,4.1,58,13152,72,"209021429",12427
133,23845,137,23477,4.8,128,4.1,22575,"Malvern East",4.9,96,4.7,4.3,4.6,21540,167,5.2,21271,119,22174,4.2,134,23021,150,"208041195",21868
99,24282,103,24206,4.7,91,5.0,24008,"Eltham",4.2,87,4.8,5.0,4.7,23738,99,4.0,23671,84,23849,4.7,97,24111,85,"209031209",23785
5,3624,14,3625,null,5,null,3605,"Hurstbridge",null,8,null,null,null,3629,3,null,3645,16,3603,null,11,3624,13,"209031210",3611
20,4156,4,4122,null,7,null,3984,"Kinglake",null,10,null,null,null,3810,24,null,3752,15,3922,null,11,4048,12,"209031211",3856
22,5490,11,5496,null,14,5.1,5409,"Panton Hill - St Andrews",null,23,null,null,3.5,5269,26,2.8,5242,23,5342,4.7,10,5441,12,"209031212",5300
57,9985,44,9930,4.9,46,6.1,9794,"Plenty - Yarrambat",5.6,44,5.6,6.0,5.7,9580,67,6.2,9512,44,9706,5.8,31,9882,64,"209031213",9666
21,7055,16,7054,3.7,21,null,7007,"Research - North Warrandyte",null,16,null,3.5,3.8,6900,19,null,6878,27,6954,3.8,23,7044,11,"209031214",6921
146,16477,157,16130,5.3,118,5.1,15532,"Heidelberg - Rosanna",4.9,122,4.5,4.6,4.9,14804,255,6.4,14498,119,15245,4.2,158,15877,134,"209011198",15047
32,6708,34,6625,3.9,29,4.7,6456,"Bundoora - West",3.7,35,4.1,4.5,4.2,6473,34,3.5,6485,38,6440,4.3,32,6532,31,"209041217",6450
123,25073,141,24761,4.4,113,5.7,23874,"Lalor",4.0,121,4.6,5.0,4.6,22013,116,3.7,21313,133,23290,4.6,131,24421,126,"209041219",22612
131,15764,134,15349,6.7,126,7.9,14806,"Heidelberg West",6.8,147,7.0,7.7,7.1,14267,136,6.9,14121,147,14634,7.4,135,15118,134,"209011199",14457
61,12927,61,12679,4.1,61,4.6,11998,"Ivanhoe",4.1,59,4.5,4.4,4.6,11693,65,3.8,11655,61,11851,4.3,45,12437,68,"209011200",11734
49,8295,52,8253,4.2,48,3.9,8119,"Ivanhoe East - Eaglemont",3.8,31,4.1,3.8,4.1,8068,22,3.0,8057,43,8088,3.4,54,8231,34,"209011201",8079
87,17078,96,16991,4.4,95,4.1,16792,"Montmorency - Briar Hill",4.6,86,4.6,4.5,4.3,16222,112,4.9,16182,89,16508,4.4,101,16922,112,"209011202",16299
110,19242,142,19215,4.1,125,5.0,19018,"Viewbank - Yallambie",4.1,126,4.7,4.7,4.5,18820,132,4.2,18782,139,18943,4.5,120,19117,143,"209011203",18882
119,22907,138,22401,5.6,117,5.8,21192,"Preston - East",5.1,114,5.7,5.8,5.6,19777,129,5.2,19551,130,20603,5.5,139,21864,119,"209021428",20127
63,14589,56,14561,5.0,51,5.0,14351,"Wattle Glen - Diamond Creek",5.1,51,5.9,4.7,6.1,14058,72,5.3,13987,81,14221,5.9,54,14447,68,"209031215",14150
95,14051,98,14008,7.2,110,7.3,13738,"Epping - East",7.5,98,7.5,8.2,7.0,13087,128,8.3,12857,99,13480,7.7,116,13909,121,"209041431",13272
49,8767,49,8780,6.2,39,6.1,8690,"Epping - South",6.2,33,6.2,5.8,6.2,8533,162,10.8,8499,44,8627,5.6,52,8763,58,"209041432",8557
23,8610,24,8494,null,21,null,7959,"Bundoora - North",3.6,17,3.7,3.6,3.7,6564,26,3.6,6072,25,7511,3.6,19,8229,32,"209041216",7065
13,13105,14,12770,null,12,null,11484,"Epping - West",null,8,null,null,null,8359,19,null,7253,11,10437,null,8,12278,10,"209041433",9351
31,23359,23,21488,3.5,16,null,17171,"Mernda",3.7,13,3.8,null,3.2,10628,32,3.4,8412,18,14699,null,35,19617,40,"209041434",12565
24,13438,16,13232,null,20,null,12675,"South Morang (North)",null,16,null,3.6,null,11465,18,null,10880,22,12240,4.5,25,13002,28,"209041435",11838
106,18708,103,18747,6.4,99,7.1,18712,"Mill Park - North",6.1,82,6.5,7.5,6.0,18656,103,6.0,18841,83,18653,6.6,118,18710,96,"209041220",18710
47,12404,41,12485,5.0,38,4.3,12526,"Mill Park - South",4.5,40,5.4,4.7,5.4,12625,60,4.3,12723,40,12510,5.3,43,12530,40,"209041221",12540
49,8559,50,8280,4.4,62,3.9,7903,"Airport West",4.0,36,4.8,4.3,4.3,7390,49,3.8,7301,56,7694,4.5,65,8032,49,"210011226",7521
136,21603,156,21596,5.1,144,5.3,21485,"Thomastown",4.5,127,5.3,5.2,5.0,21430,155,4.6,21420,133,21442,5.0,148,21533,123,"209041223",21432
38,19654,35,18445,4.3,29,5.5,16747,"Wallan",4.5,41,3.8,4.4,4.0,14058,66,4.8,13090,36,15686,4.4,61,17466,57,"209041224",14859
95,8911,66,8768,7.8,62,6.4,8436,"Whittlesea",7.7,60,6.5,6.4,7.4,7920,91,7.4,7762,69,8221,6.6,87,8607,66,"209041225",8049
37,26712,29,25171,4.5,24,null,21801,"Doreen",4.1,16,5.1,null,3.9,15902,50,4.0,13588,26,19641,5.0,48,23390,36,"209041430",17955
95,12716,108,12698,6.9,100,7.0,12558,"South Morang (South)",7.4,92,8.0,8.8,7.2,12230,142,8.7,12061,106,12452,8.0,113,12662,125,"209041436",12354
12,16073,11,13724,null,0,null,9493,"Wollert",4.5,5,null,null,null,3387,20,4.7,1827,7,7204,null,14,11503,25,"209041437",5149
50,9113,43,9065,3.3,56,3.8,8993,"Keilor",3.1,33,3.7,3.9,3.4,8724,67,3.2,8662,42,8886,3.6,37,9052,43,"210011228",8806
231,28673,253,28106,5.0,242,6.1,27399,"Keilor East",4.7,252,5.3,5.9,5.0,25964,261,4.8,25636,240,26960,5.6,272,27758,233,"210011229",26449
37,7748,43,7604,3.7,36,4.6,7250,"Niddrie - Essendon West",3.5,49,4.0,4.5,4.1,6742,30,3.1,6594,42,7069,4.5,30,7414,36,"210011230",6896
39,10474,45,10372,3.4,38,3.5,9968,"Strathmore",3.2,44,3.4,3.5,3.4,9499,39,2.9,9424,41,9729,3.5,49,10206,39,"210011231",9578
68,14211,77,13963,5.3,55,4.6,13312,"Gisborne",4.8,49,4.7,4.7,4.8,12087,98,5.5,11783,54,12850,4.2,83,13635,65,"210021232",12404
87,21309,98,21271,4.8,80,5.9,20888,"Cranbourne",4.7,77,5.1,5.3,5.1,19926,106,4.8,19510,89,20568,4.9,84,21130,94,"212031300",20250
84,49199,80,41381,4.7,50,6.4,26754,"Cranbourne East",4.5,52,5.1,5.5,5.1,12532,121,4.5,10356,71,21199,5.2,100,34130,106,"212031301",16034
17,3611,4,3606,null,12,null,3525,"Macedon",null,10,null,null,null,3394,18,null,3354,18,3476,null,9,3565,16,"210021233",3443
18,4319,11,4281,null,15,null,4174,"Riddells Creek",null,9,null,null,null,4008,18,null,3929,16,4113,null,10,4240,15,"210021234",4066
36,10288,26,10042,3.4,40,5.4,9663,"Romsey",4.5,45,4.1,5.6,3.5,9091,40,4.4,8994,41,9389,5.3,39,9866,61,"210021235",9248
74,8866,63,8668,5.7,73,6.2,8112,"Coburg North",6.1,67,5.2,5.9,5.3,7171,75,6.2,6969,66,7789,5.6,79,8410,73,"210031236",7474
142,15280,143,14968,5.8,121,5.7,14460,"Fawkner",5.7,121,5.6,5.2,6.1,13527,131,5.4,13316,151,14185,5.5,143,14756,131,"210031237",13876
252,24986,276,24515,7.5,231,6.6,23153,"Glenroy",7.4,240,7.0,6.8,7.2,21404,247,7.3,20983,237,22479,6.7,261,23834,250,"210031438",21969
198,26957,187,26419,4.9,173,4.9,24829,"Pascoe Vale",4.8,159,4.8,4.7,5.0,22609,158,4.4,22091,172,23913,4.8,182,25638,153,"210031239",23257
10,3129,10,3120,null,9,null,3042,"Gowanbrae",null,8,null,null,null,2928,18,null,2907,9,2999,null,12,3091,12,"210031439",2956
101,14574,93,14429,7.4,65,7.2,13916,"Broadmeadows",6.7,88,6.0,6.6,7.0,12759,71,5.7,12486,73,13529,5.9,92,14225,70,"210051242",13136
44,15770,67,15837,6.4,33,7.1,15779,"Meadow Heights",6.1,56,6.0,6.5,6.5,15752,70,6.5,15739,49,15755,6.0,53,15829,66,"210051247",15764
0,194,0,194,null,0,null,194,"Melbourne Airport",null,0,null,null,null,173,0,null,165,0,187,null,0,194,0,"210051248",179
100,17205,119,17221,6.0,90,7.0,17122,"Campbellfield - Coolaroo",5.5,98,6.2,6.4,6.3,16836,105,5.4,16760,117,17013,6.1,103,17183,103,"210051243",16921
105,18732,98,18656,5.0,115,6.4,18353,"Gladstone Park - Westmeadows",4.7,93,5.4,6.2,5.0,17894,143,5.1,17829,90,18135,5.4,110,18476,93,"210051245",17997
48,20176,45,19380,4.7,37,4.4,17123,"Greenvale - Bulla",4.7,36,4.5,4.1,4.4,13991,47,4.3,13732,35,15629,4.3,57,18210,62,"210051246",14584
22,4950,15,4916,4.1,22,6.7,4856,"Croydon South",4.3,27,null,5.0,4.7,4728,27,4.2,4692,28,4824,5.2,20,4899,21,"211031452",4785
80,25060,63,24433,6.9,49,7.2,23041,"Roxburgh Park - Somerton",6.7,54,7.1,6.9,7.5,21154,62,5.9,20576,69,22332,7.1,80,23753,72,"210051249",21727
36,6842,45,6825,4.8,36,4.6,6698,"Tullamarine",3.9,31,5.5,4.8,5.3,6576,48,4.2,6550,41,6674,5.1,33,6758,27,"210051250",6636
