m1_carasdriv_maopdv, m1_tram_inc_lr_tot, m2_trncaraspa_tot, m1_train_lab, m2_trncaraspa_mng, m1_train_maopdv, m1_wlkonly_claw, m1_tot_m1_mng, m2_trnoth_tot, m1_oth_tot, m1_caraspas_idns, m1_carasdriv_mng, m2_trnoth_lab, m1_taxi_idns, m2_trnoth_mng, m2_trntrm_inc_lr_mng, m2_trnfer_claw, m1_train_pro, m2_trnbus_claw, m2_trncarasdriv_mng, m1_wlkonly_idns, m2_trn_and_tot_lab, m1_ferry_swks, m1_truck_swks, m1_bicycle_mng, m2_trn_and_tot_pro, m1_tram_inc_lr_mng, m1_tram_inc_lr_claw, m2_trnoth_pro, m2_trncaraspa_copsw, m2_trnoth_tectw, m2_trnbus_idns, m1_ferry_copsw, m1_carasdriv_copsw, m1_train_tot, m2_trncaraspa_idns, m2_trnbus_maopdv, m1_caraspas_copsw, m2_trnfer_mng, m1_tot_m1_claw, m1_caraspas_tot, m1_taxi_maopdv, m1_bus_mng, m2_trncarasdriv_claw, m2_trn_and_tot_copsw, m1_carasdriv_pro, m1_bicycle_claw, m1_mbikescoot_copsw, m1_bicycle_idns, m1_ferry_tot, m2_trnbus_pro, m1_bicycle_maopdv, m2_trnoth_claw, m1_oth_lab, m1_tram_inc_lr_tectw, m1_ferry_lab, m1_taxi_tectw, m1_taxi_claw, m1_oth_pro, m1_train_mng, m2_trntrm_inc_lr_maopdv, m1_truck_tot, sa4_name16, m1_caraspas_mng, m1_wlkonly_pro, m1_oth_maopdv, m1_caraspas_swks, m2_trn_and_tot_maopdv, m1_caraspas_claw, m1_tram_inc_lr_copsw, m1_mbikescoot_claw, m1_wlkonly_lab, m1_train_idns, m1_tram_inc_lr_idns, m2_trn_and_tot_swks, m2_trncaraspa_tectw, m1_bus_lab, m2_trncaraspa_swks, m1_mbikescoot_tectw, m1_bicycle_copsw, m2_trnbus_tectw, m2_trn_and_tot_claw, m1_oth_claw, m2_trnfer_copsw, m1_bus_tot, m1_bus_idns, m1_truck_mng, m1_truck_claw, m2_trnbus_lab, m2_trntrm_inc_lr_lab, m2_trn_and_tot_tot, m2_trnfer_tectw, m2_trncaraspa_lab, m2_trntrm_inc_lr_idns, m2_trnbus_tot, m1_caraspas_pro, m2_trnfer_maopdv, m2_trntrm_inc_lr_tot, m1_bus_copsw, m2_trnfer_pro, m1_bus_claw, m1_oth_mng, m2_trnbus_swks, m2_trncaraspa_maopdv, m1_truck_maopdv, m1_wlkonly_tectw, m1_train_tectw, m1_bicycle_pro, m2_trncarasdriv_maopdv, m2_trnoth_swks, m1_carasdriv_idns, m1_wlkonly_swks, m1_carasdriv_lab, m2_trncarasdriv_copsw, m2_trncaraspa_pro, m2_trnoth_maopdv, m1_ferry_pro, m1_ferry_claw, m1_bus_maopdv, m2_trnfer_idns, m1_tot_m1_idns, m1_wlkonly_copsw, m1_carasdriv_tot, m1_tot_m1_tot, m1_train_claw, m1_tram_inc_lr_swks, m1_oth_tectw, m1_wlkonly_tot, m1_tot_m1_copsw, m1_mbikescoot_idns, m2_trncarasdriv_pro, m2_trntrm_inc_lr_copsw, m2_trnfer_tot, m2_trn_and_tot_idns, m1_tot_m1_tectw, m1_train_swks, m2_trntrm_inc_lr_pro, m1_ferry_tectw, m1_ferry_maopdv, m1_wlkonly_maopdv, m2_trncarasdriv_idns, m1_taxi_lab, m1_bicycle_swks, m1_bus_swks, m1_carasdriv_tectw, m2_trnfer_swks, m1_mbikescoot_lab, m1_taxi_pro, m1_mbikescoot_maopdv, m1_ferry_idns, m1_bicycle_tot, m1_caraspas_lab, m2_trncarasdriv_swks, m1_tot_m1_swks, m1_truck_copsw, m1_bicycle_lab, m1_mbikescoot_mng, m1_carasdriv_claw, m1_truck_idns, m1_mbikescoot_pro, m1_caraspas_maopdv, m1_train_copsw, m2_trntrm_inc_lr_swks, m1_mbikescoot_tot, m1_bus_pro, m1_oth_copsw, m1_tot_m1_maopdv, m1_tram_inc_lr_lab, m1_mbikescoot_swks, m1_tot_m1_pro, m1_taxi_swks, m2_trn_and_tot_tectw, m1_oth_idns, m2_trncarasdriv_tectw, m2_trncarasdriv_tot, m1_tram_inc_lr_pro, m2_trnbus_copsw, m1_ferry_mng, m2_trnfer_lab, m2_trnbus_mng, m2_trncarasdriv_lab, m1_oth_swks, m1_truck_lab, m1_tot_m1_lab, m1_bus_tectw, m1_caraspas_tectw, m2_trnoth_copsw, m1_carasdriv_swks, m1_truck_pro, m1_taxi_copsw, m1_bicycle_tectw, m1_tram_inc_lr_maopdv, m2_trn_and_tot_mng, m1_wlkonly_mng, m1_taxi_mng, m1_truck_tectw, m2_trnoth_idns, m2_trntrm_inc_lr_tectw, sa4_code16, m2_trntrm_inc_lr_claw, m2_trncaraspa_claw, m1_taxi_tot
7335,11,48,97,3,23,464,13178,46,515,70,11793,10,4,10,0,0,161,65,23,38,73,4,45,168,149,3,3,11,0,4,4,8,12819,587,0,3,801,0,19214,6850,28,99,30,59,25465,162,113,19,81,64,62,7,54,0,4,14,11,106,49,0,1043,"Newcastle and Lake Macquarie",390,935,56,1333,19,808,0,113,462,13,3,40,3,366,3,198,142,27,111,67,0,2320,40,92,41,38,0,552,0,7,0,281,935,0,0,306,0,422,67,24,3,329,399,60,689,5,3,1275,460,9209,13,10,3,23,18,74,0,1515,630,110881,129090,80,3,60,3892,14931,16,61,0,0,8,18417,56,0,14,0,113,5,22,74,379,16133,0,114,28,109,0,1638,1472,9,12307,3,121,101,17026,14,273,237,50,0,1117,411,51,8357,0,85,29041,14,51,20,16,178,0,32,11,0,16,14,30,206,12124,223,811,4,9833,14,11,204,0,49,397,24,304,0,0,"111",0,4,152
3245,8,0,4,0,0,254,8060,5,483,46,6598,0,0,0,0,0,17,5,7,30,0,0,31,93,4,0,0,3,0,0,0,0,7497,43,0,3,454,0,8235,3969,9,16,3,6,11839,52,44,12,12,4,61,0,51,3,0,8,6,83,12,0,845,"Richmond - Tweed",279,423,21,815,3,380,0,33,454,0,0,4,0,114,0,117,141,0,8,40,0,426,10,185,10,0,0,43,0,0,0,15,434,0,0,62,0,27,153,0,0,249,320,7,163,0,0,624,364,6394,0,0,0,0,0,20,0,757,462,57563,68015,5,0,60,3080,8732,9,0,0,0,3,9402,3,0,3,0,119,3,14,89,110,8015,0,81,14,63,0,952,963,4,7450,10,183,59,7423,12,67,114,7,0,537,24,47,3901,0,66,13070,8,6,16,3,22,3,3,0,0,3,0,23,142,8408,36,484,0,5944,6,9,152,0,12,662,8,196,0,0,"112",0,0,88
3630,3,3,7,0,3,262,7767,5,841,54,6253,0,0,0,0,0,10,0,0,48,6,3,17,37,5,0,0,0,0,0,0,0,5084,41,0,0,298,0,6440,3945,23,5,0,9,8230,25,28,3,10,0,23,0,54,0,0,4,8,60,3,0,629,"Riverina",245,545,32,692,4,244,0,26,375,4,0,3,0,81,0,42,26,0,0,38,0,202,4,162,25,0,0,35,0,0,0,7,328,0,0,27,0,16,170,0,0,220,451,0,61,0,0,505,274,5995,3,0,0,0,0,17,0,674,583,46697,56628,3,0,56,3476,6463,6,3,0,0,3,8438,0,0,0,3,132,0,16,25,29,7162,0,40,18,37,0,343,1393,0,5124,3,54,76,5796,16,33,198,3,0,313,19,389,4332,0,21,9313,14,0,24,0,17,0,10,0,0,0,3,23,76,8090,13,503,0,4035,3,14,86,0,3,809,10,110,0,0,"113",0,0,115
2024,10,16,24,0,0,133,4904,8,241,38,4147,0,4,0,0,0,24,3,3,22,3,0,15,30,22,3,0,0,3,0,0,0,4800,142,0,0,322,0,4534,2498,10,3,5,16,6506,19,25,3,5,0,16,0,24,0,0,3,0,37,9,0,566,"Southern Highlands and Shoalhaven",167,236,10,536,0,172,0,18,208,8,0,10,4,56,4,56,38,0,6,20,0,168,0,75,12,0,0,80,0,0,0,16,249,0,0,27,0,8,52,3,0,186,245,31,62,0,0,386,183,3435,8,3,0,0,0,8,0,476,226,35219,41137,13,3,43,1676,5510,3,15,0,0,3,7114,17,0,0,0,57,0,14,29,38,6121,0,37,3,23,0,303,585,3,4493,0,43,44,4150,6,33,80,19,0,243,12,29,2418,0,19,7165,8,6,11,0,41,3,3,0,0,0,3,4,86,4525,15,353,0,3646,7,12,60,0,6,366,3,178,0,0,"114",0,0,61
2314,10,24,110,3,12,188,9623,6,366,38,8709,0,0,0,0,0,104,56,18,22,105,0,11,25,207,5,0,3,3,5,7,0,5674,462,0,23,475,0,8446,3512,15,147,4,87,13409,14,17,0,6,167,5,0,32,0,0,0,4,49,31,0,815,"Sydney - Baulkham Hills and Hawkesbury",227,197,22,714,24,371,0,23,191,13,0,67,3,219,0,53,17,57,62,68,0,1956,23,105,21,79,0,698,0,15,0,552,411,0,0,293,0,180,78,52,4,274,150,75,45,0,0,789,187,3761,10,0,0,0,0,47,0,921,200,55688,64720,29,3,48,1433,6753,5,38,0,0,7,8671,41,0,3,0,46,0,13,13,377,7480,0,33,4,31,0,146,717,10,7391,0,22,40,7551,12,68,112,54,0,289,525,23,2880,0,18,14823,0,79,13,17,108,0,69,0,0,40,9,23,120,5215,141,443,0,6003,6,0,16,0,68,251,4,261,0,0,"115",0,0,46
12484,3,148,348,10,167,151,10838,55,483,88,9921,8,9,4,0,0,405,131,21,22,259,0,25,14,293,0,0,23,19,5,19,0,6179,2147,0,150,543,0,12172,5969,133,86,44,176,13080,24,36,3,3,176,46,4,44,0,0,5,9,46,131,0,1345,"Sydney - Blacktown",346,217,80,1152,199,541,0,68,265,55,0,166,18,363,19,84,26,102,205,80,0,1723,33,101,67,213,0,1550,0,17,0,1104,454,0,0,234,0,178,45,124,16,604,122,243,37,17,0,1253,279,6964,19,27,9,0,0,200,0,1524,276,77383,91554,252,0,80,1591,7585,9,68,0,0,24,11774,327,0,0,0,112,3,26,14,354,10203,0,38,7,112,0,244,1419,19,8692,3,34,40,10803,25,41,860,225,0,442,150,56,14808,3,18,14440,9,144,25,21,240,0,131,0,0,57,29,29,215,9715,134,562,3,6491,9,8,37,0,82,142,4,305,0,0,"116",0,21,213
9584,2257,5402,7541,804,1600,4079,79314,1831,3164,235,30393,56,45,333,120,167,61043,5103,3702,494,2434,322,23,1553,21700,406,341,820,214,133,541,102,10378,155685,89,493,963,274,71802,13067,135,13082,5131,2953,34676,784,491,139,6808,9849,214,248,99,119,21,71,185,783,21459,5,1233,"Sydney - City and Inner South",2290,13548,125,1130,798,2038,203,478,1530,3107,43,3533,243,2273,338,697,492,1569,12234,273,25,73766,1231,138,95,1734,100,56834,36,136,13,26372,3732,3,1201,3925,544,13564,604,2004,49,491,2448,10117,4268,221,80,2331,2558,7205,833,2134,32,3380,881,560,19,8020,3752,140766,448088,31422,122,498,34505,30116,80,7920,165,1132,988,35954,10417,428,105,6,370,307,47,314,4961,16705,49,179,1053,239,137,8658,1182,985,32127,10,264,1241,17660,26,2009,414,8975,75,5650,31010,519,13748,59,240,156473,97,3501,152,1410,20897,948,1615,1854,12,3464,400,118,127,20527,3166,1079,99,11829,18,311,637,8,8687,5717,579,306,22,114,"117",196,1396,2528
1014,16,164,628,14,124,814,9336,96,536,41,6183,3,9,11,3,0,1302,526,63,89,518,3,3,132,1621,3,0,30,28,7,47,4,5416,6061,3,108,501,5,7393,3018,6,668,79,734,13246,49,200,16,43,1402,38,14,35,0,0,22,10,167,564,0,345,"Sydney - Eastern Suburbs",313,2647,8,359,135,410,0,50,460,129,0,591,23,637,30,148,158,413,645,56,0,7491,87,67,3,468,0,5199,0,8,0,4411,763,0,14,1366,14,899,91,487,3,53,584,657,673,21,7,528,791,1925,43,30,4,17,4,103,0,932,1495,40623,68730,700,3,51,8033,10094,13,143,0,24,59,7630,1101,3,3,0,118,9,4,42,1049,5000,0,39,63,45,3,1288,265,58,6356,6,59,199,4393,0,311,43,851,3,1053,2099,68,1558,3,46,21298,3,501,26,41,487,7,649,4,0,307,28,27,60,4125,588,326,11,2918,3,29,106,0,409,1039,70,144,3,3,"118",0,26,214
8049,16,299,877,22,260,627,14480,101,799,159,12601,13,10,12,4,0,1688,305,78,88,491,0,50,33,854,3,0,39,43,11,38,0,9761,6895,0,162,900,5,16934,7367,206,98,104,499,21245,22,38,16,18,515,49,13,58,0,3,4,14,129,523,0,1449,"Sydney - Inner South West",453,1132,99,1263,204,944,0,71,694,155,0,336,26,465,38,96,35,225,477,127,0,2668,50,149,86,399,3,3557,0,36,0,2413,906,0,27,464,5,327,86,245,12,573,523,761,115,24,5,1537,986,7704,69,70,6,4,0,168,0,2085,1014,97536,123777,934,3,105,5811,13276,6,213,3,17,52,17426,758,13,8,0,309,16,31,18,479,14376,0,36,26,76,0,395,1426,45,12114,3,60,62,13790,25,81,406,945,3,503,387,90,10203,7,25,25727,11,358,45,100,698,3,375,0,0,152,47,56,188,11540,220,910,11,8466,15,18,59,0,276,449,23,369,0,0,"119",0,51,329
3324,128,431,811,37,220,634,12081,125,516,77,9722,6,0,13,9,3,2710,629,171,84,389,4,21,70,1431,13,13,50,41,4,42,3,5411,9423,15,104,459,12,13113,3867,23,266,300,550,15720,42,62,6,46,851,34,22,30,11,0,11,18,122,809,0,659,"Sydney - Inner West",338,1175,26,657,150,662,21,76,420,203,0,517,37,323,38,101,84,281,1074,51,3,3470,48,98,35,330,3,5121,4,17,3,3317,591,0,61,668,14,469,88,404,10,211,420,808,274,25,6,854,782,3340,61,121,5,14,9,86,0,1342,980,60176,84939,2039,15,74,5171,8676,8,369,14,43,81,9555,904,16,3,0,126,17,11,40,618,7181,0,37,45,40,3,675,523,56,8699,3,49,102,9060,13,171,139,909,3,652,712,61,4235,9,51,21581,17,444,40,117,1143,34,415,5,0,255,31,27,103,5656,289,419,12,5562,8,11,70,0,490,551,26,163,3,7,"120",11,111,162
