m_2013_14_median_employment_income_per_employed_person_aud, m_2017_18_median_employment_income_per_employed_person_aud, f_2012_13_median_employment_income_per_employed_person_aud, p_2012_13_median_employment_income_per_employed_person_aud, m_2017_18_employed_persons_000, f_2013_14_employed_persons_000, f_2011_12_employed_persons_000, m_2012_13_employed_persons_000, sa2_name16, p_2015_16_employed_persons_000, p_2011_12_median_employment_income_per_employed_person_aud, m_2011_12_employed_persons_000, p_2016_17_employed_persons_000, p_2012_13_employed_persons_000, f_2016_17_median_employment_income_per_employed_person_aud, m_2016_17_median_employment_income_per_employed_person_aud, m_2011_12_median_employment_income_per_employed_person_aud, p_2017_18_employed_persons_000, f_2016_17_employed_persons_000, f_2017_18_employed_persons_000, f_2012_13_employed_persons_000, f_2015_16_employed_persons_000, f_2013_14_median_employment_income_per_employed_person_aud, f_2011_12_median_employment_income_per_employed_person_aud, f_2017_18_median_employment_income_per_employed_person_aud, m_2012_13_median_employment_income_per_employed_person_aud, p_2013_14_median_employment_income_per_employed_person_aud, m_2015_16_employed_persons_000, m_2014_15_median_employment_income_per_employed_person_aud, p_2015_16_median_employment_income_per_employed_person_aud, f_2015_16_median_employment_income_per_employed_person_aud, p_2014_15_median_employment_income_per_employed_person_aud, p_2013_14_employed_persons_000, f_2014_15_employed_persons_000, p_2014_15_employed_persons_000, m_2016_17_employed_persons_000, p_2011_12_employed_persons_000, m_2015_16_median_employment_income_per_employed_person_aud, p_2016_17_median_employment_income_per_employed_person_aud, f_2014_15_median_employment_income_per_employed_person_aud, p_2017_18_median_employment_income_per_employed_person_aud, sa2_main16, m_2013_14_employed_persons_000, m_2014_15_employed_persons_000
25697.0,25761.0,18884.0,22892.0,16.279,9.965,8.087,11.402,"Melbourne",26.196,24735.0,10.066,28.829,20.57,17981.5,24795.0,29059.0,31.265,13.626,14.984,9.169,12.215,17894.5,20055.0,18649.0,27208.5,21529.0,13.983,25187.5,21200.0,17692.0,21774.0,21.921,11.026,24.069,15.203,18.15,25471.0,21002.0,18367.0,21773.0,206041122,11.96,13.044
39560.0,46184.0,35004.0,36724.0,7.63,5.863,5.486,6.118,"North Melbourne",13.084,38124.0,5.861,14.167,11.774,36701.0,42822.5,40807.0,14.975,6.92,7.345,5.65,6.338,35160.0,35393.0,38317.5,38439.0,37395.0,6.746,40253.5,39896.5,36385.0,38514.5,12.126,6.13,12.621,7.248,11.346,42976.5,39884.0,36586.5,42289.0,206041123,6.263,6.492
37012.0,45114.0,31199.5,34436.0,2.054,1.688,1.583,1.643,"Parkville",3.616,32984.5,1.605,3.833,3.268,38373.0,42249.0,35820.5,4.13,1.937,2.078,1.621,1.842,32785.0,30445.5,37713.0,37687.0,35015.0,1.768,39919.0,40278.0,37689.0,35992.0,3.403,1.802,3.561,1.893,3.189,45024.0,39872.0,33463.0,41911.0,206041124,1.717,1.764
61827.0,83880.5,50459.5,55598.0,4.868,2.053,2.051,2.131,"South Yarra - West",3.959,54703.5,2.073,4.34,4.113,52474.5,64200.0,60786.0,7.765,2.158,2.891,1.985,1.992,49808.0,49255.5,62501.0,62318.5,54920.0,1.971,62965.0,58455.0,53152.0,56051.5,4.077,1.967,3.967,2.183,4.127,64024.0,58297.0,50000.0,76660.0,206041125,2.026,1.994
55674.0,53946.5,44055.0,49725.0,7.98,5.416,4.342,5.938,"Southbank",13.286,46560.0,5.126,13.97,10.815,40938.0,53991.0,52012.0,15.178,6.544,7.196,4.874,6.177,44062.5,41420.0,41579.0,55591.0,49679.0,7.111,55623.5,50724.0,43959.0,49580.0,11.851,5.841,12.642,7.427,9.465,57159.5,47499.5,43523.0,47307.0,206041126,6.433,6.797
null,79598.0,null,null,0.009,null,null,null,"West Melbourne",null,null,null,0.006,null,null,35064.0,null,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.004,null,null,46543.5,null,74838.0,206041127,null,null
70000.0,73848.0,50409.5,58338.0,5.33,5.013,4.921,5.194,"Albert Park",10.056,57418.0,5.196,10.311,10.138,52933.0,71283.0,66503.0,10.54,5.065,5.21,4.953,4.98,50177.5,50093.5,54989.0,69163.0,59100.0,5.076,70000.0,61856.5,53986.5,60000.0,10.171,5.017,10.132,5.247,10.117,73384.0,61374.0,52528.5,63219.5,206051128,5.157,5.111
61472.0,68485.5,51163.0,55772.0,5.273,5.733,5.694,5.273,"Elwood",11.13,54232.0,5.245,11.205,10.936,56548.5,66110.0,59482.0,11.137,5.923,5.86,5.657,5.88,52396.0,50087.0,59435.0,61206.0,56075.5,5.25,62583.0,59745.0,54692.0,57300.0,10.977,5.814,11.056,5.279,10.94,66588.0,60555.0,53148.5,62811.0,206051129,5.243,5.245
75153.0,85287.0,55626.5,63954.5,5.27,5.555,5.222,5.215,"Port Melbourne",10.59,61843.0,5.097,10.719,10.63,62350.0,81225.0,72042.0,10.728,5.453,5.456,5.411,5.357,57096.0,54679.5,63290.0,74553.5,64314.0,5.226,77013.0,69272.5,61447.0,66720.5,10.875,5.529,10.874,5.265,10.317,80363.0,70454.0,59887.0,73101.5,206051130,5.322,5.347
54084.0,46714.5,50419.0,52619.0,0.24,0.042,0.043,0.098,"Port Melbourne Industrial",0.146,50000.0,0.083,0.244,0.15,37121.5,52385.0,55034.5,0.41,0.093,0.17,0.051,0.049,48135.0,41600.0,31537.0,54822.0,53492.0,0.094,50195.0,54439.0,57838.0,52488.0,0.173,0.037,0.127,0.143,0.125,53180.0,46961.5,56053.5,42152.0,206051131,0.128,0.09
64926.0,69373.0,49504.0,55455.5,4.305,3.763,3.386,3.704,"South Melbourne",7.901,54936.5,3.524,8.126,7.268,54268.0,65141.0,61915.0,8.509,3.971,4.21,3.569,3.897,50167.5,48794.0,55424.0,63358.0,56995.0,4.002,65000.0,58278.5,52565.0,57463.0,7.725,3.842,7.85,4.156,6.912,66831.0,59243.0,51519.5,61325.5,206051132,3.96,4.011
47789.5,53976.0,42661.0,45405.0,11.459,9.935,9.314,10.275,"St Kilda",20.871,45159.5,9.827,21.849,20.005,45309.0,51413.0,47661.0,22.493,10.726,11.033,9.73,10.183,43100.0,42793.0,47148.0,48388.0,45397.0,10.694,50307.0,47970.0,45339.5,47215.0,20.498,9.976,20.402,11.123,19.139,50691.0,48066.0,44239.0,50384.0,206051133,10.561,10.43
50060.0,56489.0,45112.0,47292.0,6.434,6.042,5.868,6.155,"St Kilda East",11.992,46854.0,6.133,12.55,12.112,49336.0,54781.0,48464.5,12.935,6.349,6.503,5.958,5.953,45168.0,45523.0,51967.5,49673.0,47661.0,6.041,52225.5,51076.0,48668.0,50127.0,12.202,5.951,12.053,6.204,12.003,53734.0,51817.5,47554.0,54000.0,206051134,6.163,6.105
62955.0,66322.0,46303.5,52600.0,2.953,2.94,2.913,2.823,"Armadale",5.677,50490.0,2.841,5.87,5.752,50032.0,65399.5,57084.5,6.12,3.042,3.164,2.927,2.929,47340.0,45151.0,53083.0,61033.0,53773.0,2.745,62801.5,56281.0,49918.0,54132.5,5.752,2.927,5.732,2.826,5.748,65132.0,56070.0,47306.0,59134.0,206061135,2.814,2.802
56400.5,65802.0,48894.5,52052.5,7.887,7.09,6.445,6.922,"Prahran - Windsor",16.296,50214.0,6.789,15.766,13.525,51767.0,60494.5,53838.0,15.643,7.814,7.76,6.604,8.055,47684.5,46978.0,56114.0,55632.0,51999.0,8.247,58438.5,51150.0,47465.0,53787.5,14.276,7.282,14.596,7.948,13.231,55187.5,55861.5,50048.5,60471.0,206061136,7.19,7.317
57861.0,66359.0,46726.0,50888.0,8.097,6.704,5.954,6.599,"South Yarra - East",14.717,49163.5,6.369,15.577,12.928,52543.0,63236.0,54551.0,16.222,7.832,8.123,6.328,7.342,47760.0,45115.5,55524.0,56473.5,52743.5,7.369,59496.0,55946.5,51571.0,54623.0,13.571,6.954,13.964,7.743,12.319,60657.0,57738.0,50481.5,60471.5,206061137,6.86,7.009
58515.5,66732.5,37521.0,45516.0,4.073,4.151,4.06,4.182,"Toorak",8.085,46292.5,4.224,8.047,8.253,45000.0,63756.0,55561.0,8.065,4.034,3.994,4.066,4.064,40492.0,38634.0,47416.0,56023.0,47852.0,4.023,61486.0,51334.5,43960.0,51066.0,8.329,4.133,8.234,4.013,8.288,63036.0,52295.0,42096.0,55649.5,206061138,4.173,4.105
53933.0,65000.0,43487.0,47399.0,3.454,2.465,1.837,2.128,"Abbotsford",6.13,46417.0,2.015,6.693,4.074,50923.0,60134.0,51691.0,6.739,3.237,3.29,1.943,2.982,42884.0,41481.5,54210.0,51437.0,48756.0,3.148,56298.5,54398.0,50063.0,51703.0,5.122,2.733,5.659,3.456,3.853,58775.0,55764.0,46284.0,59247.0,206071139,2.659,2.924
53724.0,57605.0,42396.0,45780.0,2.88,3.171,3.086,2.885,"Carlton North - Princes Hill",5.917,45150.0,2.821,6.008,6.022,48169.0,55116.0,50047.0,6.06,3.13,3.183,3.133,3.104,44006.0,41916.0,50347.0,49261.0,47821.5,2.817,54127.0,50961.0,46311.0,49954.0,5.999,3.114,5.983,2.879,5.908,56818.5,51157.0,46334.0,53903.5,206071140,2.827,2.871
47695.0,59890.0,39933.5,42691.0,3.499,2.276,2.159,2.524,"Collingwood",5.895,42705.5,2.554,6.343,4.704,48402.5,55744.0,44404.0,6.574,3.039,3.076,2.18,2.816,40963.0,41026.0,53431.0,44978.5,44567.5,3.082,49522.5,50129.0,46652.5,46331.0,4.867,2.449,5.19,3.305,4.714,53053.0,52171.0,43500.0,56860.0,206071141,2.589,2.747
46531.0,57137.5,40711.0,43357.5,3.886,3.543,3.394,3.659,"Fitzroy",7.445,43089.5,3.565,7.596,7.227,46477.0,53787.0,45479.0,7.676,3.736,3.793,3.569,3.696,42876.0,40219.0,48212.0,46356.0,44636.5,3.747,49957.5,48866.0,45183.0,47204.0,7.219,3.605,7.262,3.861,6.963,52152.0,50106.0,44872.0,52237.5,206071142,3.669,3.66
56783.0,65913.0,45512.0,49411.0,4.145,4.376,4.211,3.95,"Fitzroy North",8.505,49512.0,3.971,8.762,8.243,52083.0,61698.5,55010.0,8.709,4.601,4.573,4.3,4.441,46132.0,45150.0,54287.0,55119.0,50538.0,4.065,58136.0,54268.0,49714.0,51809.0,8.324,4.429,8.458,4.161,8.186,60388.0,56409.0,47474.5,59587.5,206071143,3.953,4.033
60000.0,69798.0,49951.0,54386.0,11.719,10.472,9.778,10.563,"Richmond (Vic.)",22.15,52788.0,10.329,22.67,20.808,57213.0,66385.0,57175.0,23.152,11.157,11.431,10.244,10.897,51679.0,49045.0,59447.0,59540.5,55383.0,11.25,62883.0,60273.0,55996.0,57923.0,21.35,10.721,21.763,11.513,20.11,65282.0,61523.0,53729.0,64607.5,206071144,10.873,11.048
62626.0,71582.0,50981.0,55508.0,3.007,3.039,2.915,2.855,"Yarra - North",5.994,54229.5,2.781,6.074,5.841,56943.5,67269.0,59791.5,6.148,3.119,3.146,2.991,3.094,51726.5,49425.5,59767.0,61190.0,56489.0,2.904,64024.0,60003.5,55339.0,58354.0,5.973,3.045,5.909,2.95,5.692,66044.0,61778.0,53409.5,64808.0,206071145,2.936,2.861
66218.0,77169.0,42285.0,50677.0,2.264,2.055,2.052,2.254,"Ashburton (Vic.)",4.301,47286.0,2.245,4.343,4.32,49666.0,72366.0,59896.0,4.448,2.145,2.19,2.068,2.117,43734.0,39414.0,50446.5,63872.0,52940.0,2.182,68950.0,57566.0,47523.0,53829.0,4.34,2.109,4.36,2.198,4.297,71472.0,58424.5,43947.5,60606.0,207011146,2.282,2.255
56626.0,59090.0,34841.0,43143.0,4.379,4.338,4.4,4.456,"Balwyn",8.698,42235.0,4.513,8.87,8.855,39821.5,57447.0,52445.5,8.911,4.47,4.531,4.401,4.358,36521.0,35199.0,40252.5,54999.0,44626.5,4.337,56801.5,47182.0,38416.5,45732.5,8.698,4.335,8.642,4.398,8.913,58195.0,47079.0,37842.5,48114.0,207011147,4.363,4.314
55106.5,60776.5,36089.0,44038.0,5.71,5.608,5.53,5.761,"Balwyn North",11.193,43204.5,5.818,11.228,11.372,40169.0,59700.0,54557.0,11.263,5.542,5.55,5.613,5.531,37000.0,35422.0,43054.5,55969.5,44431.0,5.66,58463.0,47347.5,38864.0,46675.0,11.388,5.557,11.252,5.685,11.35,58809.0,48156.0,38788.5,50380.0,207011148,5.78,5.692
65449.0,72770.0,39359.0,48552.0,6.1,6.162,6.094,6.1,"Camberwell",12.292,47786.5,6.16,12.326,12.248,44058.0,70131.5,61810.0,12.414,6.241,6.311,6.146,6.22,40000.0,38356.0,47420.0,63024.0,50186.0,6.072,67601.0,53463.5,42607.0,51461.5,12.256,6.178,12.2,6.089,12.263,69432.0,54216.5,40840.0,57754.5,207011149,6.097,6.023
74561.0,79864.0,41224.0,52894.5,5.03,4.846,4.882,5.016,"Glen Iris - East",9.72,51162.5,5.085,10.003,9.877,49462.0,80640.0,69320.0,10.11,5.025,5.08,4.867,4.864,42956.0,39708.0,51429.0,72540.0,54874.0,4.856,75043.0,59214.0,46842.0,56502.0,9.799,4.858,9.748,4.972,9.967,79309.0,60461.0,44942.5,61851.5,207011150,4.947,4.89
57075.0,61672.0,43564.5,48428.0,7.608,7.155,6.917,7.226,"Hawthorn",14.803,46806.0,7.214,15.165,14.295,50089.0,60439.0,51794.0,15.353,7.657,7.743,7.066,7.461,46811.0,41565.5,53140.0,53894.0,51618.0,7.339,57988.5,53836.5,48541.0,52151.0,14.443,7.277,14.584,7.509,14.137,60833.5,54548.0,47124.0,56598.0,207011151,7.288,7.305
58171.0,65235.0,43262.0,49750.0,4.929,4.48,4.565,4.62,"Hawthorn East",9.397,47883.0,4.655,9.739,9.105,50044.0,61575.0,54814.5,9.907,4.888,4.982,4.489,4.667,43309.5,41432.0,52075.5,56495.0,49944.0,4.734,58110.0,53577.0,47520.0,51489.0,9.043,4.473,9.045,4.852,9.221,60806.0,55486.0,45178.5,57912.0,207011152,4.562,4.569
60000.0,64910.0,41507.0,49161.5,7.406,7.263,7.219,7.312,"Kew",14.589,48524.5,7.304,14.82,14.527,46730.0,62790.0,57892.0,14.886,7.451,7.476,7.211,7.319,41798.0,40938.0,49214.0,59185.0,49530.5,7.271,61438.0,52764.0,45802.5,51006.0,14.527,7.281,14.526,7.364,14.522,61801.0,53732.5,43678.5,55978.5,207011153,7.267,7.242
62930.0,68865.0,41878.0,50226.0,1.872,1.87,1.879,1.878,"Kew East",3.747,48000.0,1.888,3.812,3.753,45953.0,65062.0,59362.0,3.762,1.907,1.89,1.878,1.866,43697.0,40322.5,49226.5,60384.0,50955.5,1.883,64242.0,52500.0,46641.0,51984.0,3.722,1.891,3.724,1.9,3.761,63954.5,53470.0,45617.5,56829.0,207011154,1.857,1.833
69757.0,78096.5,37539.5,49040.0,4.64,4.742,4.866,4.861,"Surrey Hills (West) - Canterbury",9.34,47794.0,4.927,9.4,9.692,45331.0,76434.0,66737.5,9.416,4.74,4.774,4.832,4.699,37971.0,36113.0,48496.0,67290.0,50491.0,4.637,71752.0,54127.0,43354.0,52544.0,9.586,4.796,9.485,4.655,9.797,73230.0,57911.0,40422.5,60007.0,207011155,4.846,4.696
50970.0,55953.5,36289.0,42838.5,3.085,2.883,2.877,3.108,"Bulleen",5.947,41716.5,3.148,6.036,5.989,39642.0,53357.0,49200.0,6.036,2.958,2.952,2.881,2.912,37000.0,35859.0,41560.0,50725.5,43514.0,3.032,53076.0,46774.5,40365.0,43387.0,5.967,2.923,5.973,3.082,6.024,53884.0,45847.0,37190.0,48376.0,207021156,3.085,3.049
45306.0,49732.0,32336.0,38011.5,5.973,5.268,5.129,5.525,"Doncaster",10.915,37958.0,5.473,11.314,10.74,36200.0,48684.0,43850.0,11.72,5.539,5.748,5.214,5.387,33091.0,33196.5,37746.0,43959.0,38500.0,5.532,46834.0,40033.5,34443.0,40051.0,10.729,5.254,10.673,5.778,10.602,47385.0,41399.5,34444.0,43457.5,207021157,5.467,5.419
54400.0,58818.0,35155.5,42204.0,4.582,4.707,4.826,4.925,"Templestowe",9.246,41888.0,5.033,9.157,9.695,39275.5,57138.0,52611.0,9.11,4.58,4.522,4.766,4.576,36746.0,34996.0,40561.0,52883.0,43767.0,4.667,55289.0,46046.0,38874.0,45000.0,9.523,4.627,9.318,4.577,9.861,56667.0,46997.5,38056.0,47865.0,207021159,4.82,4.696
53922.0,58760.0,36593.0,44368.0,3.644,3.471,3.521,3.63,"Templestowe Lower",7.045,43056.0,3.702,7.097,7.119,39485.0,59319.0,52000.0,7.1,3.472,3.463,3.486,3.451,37319.5,36190.0,42172.5,54248.0,44868.0,3.6,55713.0,47119.0,38865.0,45301.0,7.102,3.501,7.092,3.625,7.219,58915.0,48421.0,37763.0,49912.0,207021160,3.633,3.588
52192.0,57937.5,34598.5,42117.5,4.273,4.009,4.157,4.324,"Doncaster East (North)",8.102,41163.5,4.387,8.205,8.382,38124.0,54817.0,50575.0,8.352,4.007,4.079,4.062,3.962,35000.0,33719.0,39548.5,51856.0,42338.5,4.135,53649.0,44142.0,36900.0,43460.0,8.247,4.037,8.227,4.197,8.542,54573.0,45372.0,35862.0,47310.5,207021424,4.237,4.188
50127.5,53944.5,35241.0,41536.5,3.661,3.348,3.346,3.507,"Doncaster East (South)",7.041,41122.0,3.469,7.136,6.919,38912.0,52620.0,48871.0,7.323,3.552,3.665,3.412,3.501,35874.5,34451.0,38634.5,48720.0,41999.5,3.538,50176.5,45000.0,39220.0,42864.0,6.839,3.422,6.894,3.583,6.815,52037.5,45430.0,36361.5,45484.5,207021425,3.487,3.47
56689.0,62959.0,37000.0,45306.5,6.325,5.759,5.644,6.06,"Blackburn",12.053,43658.0,5.977,12.338,11.79,40899.0,61002.5,54683.5,12.541,6.097,6.215,5.727,5.923,38673.0,35483.0,42340.5,55507.0,46818.0,6.127,57292.0,48548.0,40305.0,47460.0,11.825,5.805,11.872,6.238,11.622,58997.0,49646.5,39353.5,51495.0,207031161,6.067,6.058
57484.5,61097.5,36254.5,44430.5,2.86,2.791,2.841,2.886,"Blackburn South",5.59,43659.0,2.889,5.645,5.73,40471.0,58871.0,55043.0,5.772,2.851,2.908,2.847,2.825,38626.0,34788.0,42175.0,55474.0,46038.5,2.765,59442.0,47966.0,39294.0,47424.0,5.641,2.829,5.618,2.791,5.726,60009.5,47955.0,39802.0,50186.0,207031162,2.848,2.785
44364.0,44268.5,31781.0,36978.0,5.953,5.171,5.097,5.285,"Box Hill",10.72,36591.5,5.256,11.701,10.368,32434.0,41858.0,42678.5,11.99,5.806,6.04,5.084,5.347,32408.5,31374.0,32869.5,42292.0,37907.0,5.374,43675.5,38887.0,33552.0,38336.0,10.4,5.227,10.524,5.892,10.354,44095.5,36832.0,33269.0,37758.0,207031163,5.224,5.296
52499.5,56903.5,37149.0,42532.0,5.039,4.814,4.78,4.868,"Box Hill North",9.624,42914.0,4.826,9.753,9.659,40854.0,55383.0,50335.0,10.015,4.862,4.974,4.791,4.816,37850.0,36750.0,42182.0,50618.5,44061.0,4.808,54547.5,46864.0,39778.0,45976.5,9.668,4.811,9.592,4.898,9.612,55443.5,47654.0,38516.5,48874.0,207031164,4.858,4.784
