estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, sa2_name_2016, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, sa2_maincode_2016, estimates_personal_income_year_ended_30_june_total_investment_m, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
null,null,null,599,null,"Altona Meadows",null,null,null,null,null,null,null,null,null,null,null,null,361,null,null,null,null,143,null,null,null,null,883,null,null,null,null,null,null,null,null,null,null,null,null,159,null,null,null,null,null,615,null,823,"213021342",null,null,2153,43,null,1088,null,null,null,759,null,2019,null,51,null,null,null,null,null
null,null,null,35,null,"South Yarra - West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55,null,null,null,null,null,null,null,null,null,null,null,null,55,null,null,null,null,null,51,null,155,"206041125",null,null,240,null,null,64,null,null,null,30,null,2019,null,null,null,null,null,null,null
null,null,null,490,null,"Port Melbourne",null,null,null,null,null,null,null,null,null,null,null,null,120,null,null,null,null,53,null,null,null,null,315,null,null,null,null,null,null,null,null,null,null,null,null,95,null,null,null,null,null,307,null,334,"206051130",null,null,1137,8,null,365,null,null,null,297,null,2019,null,null,null,null,null,null,null
null,null,null,467,null,"Fitzroy",null,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,107,null,null,null,null,357,null,null,null,null,null,null,null,null,null,null,null,null,165,null,null,null,null,null,405,null,547,"206071142",null,null,547,13,null,395,null,null,null,159,null,2019,null,38,null,null,null,null,null
null,null,null,256,null,"Yarra - North",null,null,null,null,null,null,null,null,null,null,null,null,30,null,null,null,null,13,null,null,null,null,105,null,null,null,null,null,null,null,null,null,null,null,null,114,null,null,null,null,null,140,null,357,"206071145",null,null,484,6,null,127,null,null,null,116,null,2019,null,null,null,null,null,null,null
null,null,null,294,null,"Cheltenham - Highett (West)",null,null,null,null,null,null,null,null,null,null,null,null,71,null,null,null,null,58,null,null,null,null,316,null,null,null,null,null,null,null,null,null,null,null,null,84,null,null,null,null,null,175,null,291,"208011171",null,null,1048,10,null,391,null,null,null,204,null,2019,null,11,null,null,null,null,null
null,null,null,121,null,"Chelsea Heights",null,null,null,null,null,null,null,null,null,null,null,null,48,null,null,null,null,38,null,null,null,null,205,null,null,null,null,null,null,null,null,null,null,null,null,35,null,null,null,null,null,95,null,280,"208031187",null,null,688,13,null,268,null,null,null,134,null,2019,null,null,null,null,null,null,null
null,null,null,214,null,"Brunswick East",null,null,null,null,null,null,null,null,null,null,null,null,55,null,null,null,null,25,null,null,null,null,187,null,null,null,null,null,null,null,null,null,null,null,null,245,null,null,null,null,null,205,null,561,"206011106",null,null,690,19,null,224,null,null,null,185,null,2019,null,8,null,null,null,null,null
null,null,null,193,null,"Elsternwick",null,null,null,null,null,null,null,null,null,null,null,null,35,null,null,null,null,20,null,null,null,null,201,null,null,null,null,null,null,null,null,null,null,null,null,69,null,null,null,null,null,129,null,395,"208021179",null,null,799,null,null,269,null,null,null,145,null,2019,null,13,null,null,null,null,null
null,null,null,154,null,"Hughesdale",null,null,null,null,null,null,null,null,null,null,null,null,57,null,null,null,null,11,null,null,null,null,179,null,null,null,null,null,null,null,null,null,null,null,null,84,null,null,null,null,null,109,null,241,"208021180",null,null,724,null,null,223,null,null,null,147,null,2019,null,null,null,null,null,null,null
null,null,null,110,null,"Surrey Hills (East) - Mont Albert",null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,null,null,19,null,null,null,null,134,null,null,null,null,null,null,null,null,null,null,null,null,102,null,null,null,null,null,70,null,225,"207031167",null,null,580,null,null,182,null,null,null,96,null,2019,null,null,null,null,null,null,null
null,null,null,429,null,"Brunswick West",null,null,null,null,null,null,null,null,null,null,null,null,115,null,null,null,null,56,null,null,null,null,312,null,null,null,null,null,null,null,null,null,null,null,null,268,null,null,null,null,null,326,null,751,"206011107",null,null,1121,22,null,377,null,null,null,348,null,2019,null,18,null,null,null,null,null
null,null,null,794,null,"Coburg",null,null,null,null,null,null,null,null,null,null,null,null,327,null,null,null,null,93,null,null,null,null,674,null,null,null,null,null,null,null,null,null,null,null,null,407,null,null,null,null,null,627,null,1138,"206011108",null,null,2664,31,null,857,null,null,null,917,null,2019,null,47,null,null,null,null,null
null,null,null,183,null,"Pascoe Vale South",null,null,null,null,null,null,null,null,null,null,null,null,97,null,null,null,null,39,null,null,null,null,233,null,null,null,null,null,null,null,null,null,null,null,null,98,null,null,null,null,null,158,null,269,"206011109",null,null,921,8,null,303,null,null,null,333,null,2019,null,8,null,null,null,null,null
null,null,null,449,null,"Prahran - Windsor",null,null,null,null,null,null,null,null,null,null,null,null,64,null,null,null,null,26,null,null,null,null,199,null,null,null,null,null,null,null,null,null,null,null,null,217,null,null,null,null,null,313,null,621,"206061136",null,null,1267,23,null,247,null,null,null,243,null,2019,null,null,null,null,null,null,null
null,null,null,278,null,"Alphington - Fairfield",null,null,null,null,null,null,null,null,null,null,null,null,38,null,null,null,null,27,null,null,null,null,158,null,null,null,null,null,null,null,null,null,null,null,null,137,null,null,null,null,null,128,null,368,"206021110",null,null,633,5,null,188,null,null,null,143,null,2019,null,null,null,null,null,null,null
null,null,null,290,null,"Blackburn South",null,null,null,null,null,null,null,null,null,null,null,null,62,null,null,null,null,32,null,null,null,null,316,null,null,null,null,null,null,null,null,null,null,null,null,96,null,null,null,null,null,164,null,482,"207031162",null,null,1390,17,null,410,null,null,null,250,null,2019,null,13,null,null,null,null,null
null,null,null,505,null,"Northcote",null,null,null,null,null,null,null,null,null,null,null,null,159,null,null,null,null,43,null,null,null,null,383,null,null,null,null,null,null,null,null,null,null,null,null,342,null,null,null,null,null,451,null,825,"206021111",null,null,2045,23,null,489,null,null,null,553,null,2019,null,13,null,null,null,null,null
null,null,null,235,null,"Elwood",null,null,null,null,null,null,null,null,null,null,null,null,33,null,null,null,null,65,null,null,null,null,307,null,null,null,null,null,null,null,null,null,null,null,null,103,null,null,null,null,null,227,null,596,"206051129",null,null,636,8,null,336,null,null,null,123,null,2019,null,5,null,null,null,null,null
null,null,null,388,null,"Flemington",null,null,null,null,null,null,null,null,null,null,null,null,118,null,null,null,null,113,null,null,null,null,418,null,null,null,null,null,null,null,null,null,null,null,null,184,null,null,null,null,null,440,null,348,"206031115",null,null,658,40,null,466,null,null,null,186,null,2019,null,44,null,null,null,null,null
null,null,null,530,null,"Thornbury",null,null,null,null,null,null,null,null,null,null,null,null,140,null,null,null,null,90,null,null,null,null,446,null,null,null,null,null,null,null,null,null,null,null,null,246,null,null,null,null,null,410,null,844,"206021112",null,null,1690,20,null,566,null,null,null,436,null,2019,null,12,null,null,null,null,null
null,null,null,429,null,"Carlton",null,null,null,null,null,null,null,null,null,null,null,null,101,null,null,null,null,93,null,null,null,null,355,null,null,null,null,null,null,null,null,null,null,null,null,479,null,null,null,null,null,421,null,609,"206041117",null,null,554,17,null,389,null,null,null,161,null,2019,null,39,null,null,null,null,null
null,null,null,422,null,"Ascot Vale",null,null,null,null,null,null,null,null,null,null,null,null,113,null,null,null,null,119,null,null,null,null,462,null,null,null,null,null,null,null,null,null,null,null,null,199,null,null,null,null,null,425,null,452,"206031113",null,null,1001,29,null,549,null,null,null,321,null,2019,null,52,null,null,null,null,null
null,null,null,429,null,"Essendon - Aberfeldie",null,null,null,null,null,null,null,null,null,null,null,null,129,null,null,null,null,70,null,null,null,null,531,null,null,null,null,null,null,null,null,null,null,null,null,251,null,null,null,null,null,357,null,966,"206031114",null,null,1919,18,null,686,null,null,null,518,null,2019,null,16,null,null,null,null,null
null,null,null,71,null,"Docklands",null,null,null,null,null,null,null,null,null,null,null,null,11,null,null,null,null,18,null,null,null,null,155,null,null,null,null,null,null,null,null,null,null,null,null,75,null,null,null,null,null,95,null,235,"206041118",null,null,190,7,null,175,null,null,null,45,null,2019,null,7,null,null,null,null,null
null,null,null,282,null,"Moonee Ponds",null,null,null,null,null,null,null,null,null,null,null,null,67,null,null,null,null,44,null,null,null,null,240,null,null,null,null,null,null,null,null,null,null,null,null,135,null,null,null,null,null,205,null,424,"206031116",null,null,1262,11,null,295,null,null,null,304,null,2019,null,7,null,null,null,null,null
null,null,null,308,null,"Kensington (Vic.)",null,null,null,null,null,null,null,null,null,null,null,null,68,null,null,null,null,50,null,null,null,null,241,null,null,null,null,null,null,null,null,null,null,null,null,191,null,null,null,null,null,233,null,318,"206041121",null,null,641,15,null,284,null,null,null,163,null,2019,null,21,null,null,null,null,null
null,null,null,85,null,"Parkville",null,null,null,null,null,null,null,null,null,null,null,null,15,null,null,null,null,15,null,null,null,null,86,null,null,null,null,null,null,null,null,null,null,null,null,474,null,null,null,null,null,80,null,614,"206041124",null,null,245,7,null,101,null,null,null,37,null,2019,null,10,null,null,null,null,null
null,null,null,532,null,"North Melbourne",null,null,null,null,null,null,null,null,null,null,null,null,92,null,null,null,null,124,null,null,null,null,527,null,null,null,null,null,null,null,null,null,null,null,null,483,null,null,null,null,null,613,null,963,"206041123",null,null,712,27,null,598,null,null,null,191,null,2019,null,50,null,null,null,null,null
null,null,null,89,null,"Southbank",null,null,null,null,null,null,null,null,null,null,null,null,18,null,null,null,null,9,null,null,null,null,192,null,null,null,null,null,null,null,null,null,null,null,null,134,null,null,null,null,null,158,null,321,"206041126",null,null,256,6,null,204,null,null,null,58,null,2019,null,null,null,null,null,null,null
null,null,null,213,null,"Albert Park",null,null,null,null,null,null,null,null,null,null,null,null,43,null,null,null,null,20,null,null,null,null,180,null,null,null,null,null,null,null,null,null,null,null,null,71,null,null,null,null,null,130,null,319,"206051128",null,null,923,9,null,210,null,null,null,180,null,2019,null,9,null,null,null,null,null
null,null,null,466,null,"St Kilda East",null,null,null,null,null,null,null,null,null,null,null,null,53,null,null,null,null,54,null,null,null,null,366,null,null,null,null,null,null,null,null,null,null,null,null,171,null,null,null,null,null,383,null,944,"206051134",null,null,823,13,null,436,null,null,null,156,null,2019,null,23,null,null,null,null,null
null,null,null,260,null,"Epping - West",null,null,null,null,null,null,null,null,null,null,null,null,181,null,null,null,null,110,null,null,null,null,870,null,null,null,null,null,null,null,null,null,null,null,null,126,null,null,null,null,null,270,null,527,"209041433",null,null,395,37,null,1107,null,null,null,355,null,2019,null,91,null,null,null,null,null
null,null,null,null,null,"Port Melbourne Industrial",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12,null,null,null,null,null,null,null,null,null,null,null,null,9,null,null,null,null,null,null,null,5,"206051131",null,null,null,null,null,12,null,null,null,null,null,2019,null,null,null,null,null,null,null
null,null,null,555,null,"South Melbourne",null,null,null,null,null,null,null,null,null,null,null,null,80,null,null,null,null,76,null,null,null,null,282,null,null,null,null,null,null,null,null,null,null,null,null,82,null,null,null,null,null,365,null,440,"206051132",null,null,760,25,null,318,null,null,null,192,null,2019,null,18,null,null,null,null,null
null,null,null,411,null,"Mernda",null,null,null,null,null,null,null,null,null,null,null,null,201,null,null,null,null,281,null,null,null,null,1503,null,null,null,null,null,null,null,null,null,null,null,null,121,null,null,null,null,null,422,null,991,"209041434",null,null,1040,51,null,1859,null,null,null,511,null,2019,null,97,null,null,null,null,null
null,null,null,1097,null,"St Kilda",null,null,null,null,null,null,null,null,null,null,null,null,91,null,null,null,null,67,null,null,null,null,392,null,null,null,null,null,null,null,null,null,null,null,null,211,null,null,null,null,null,758,null,1674,"206051133",null,null,1288,31,null,442,null,null,null,210,null,2019,null,10,null,null,null,null,null
