utility_median_emply_inc_job, fin_insur_num_jobs_000, pro_tech_servc_median_emply_inc_job, tot_num_jobs_000, whsl_trade_median_emply_inc_job, pro_tech_servc_num_jobs_000, agri_frsty_fish_median_emply_inc_job, admt_supp_num_jobs_000, arts_rec_num_jobs_000, oth_median_emply_inc_job, tot_median_emply_inc_job, cons_median_emply_inc_job, rtl_trade_num_jobs_000, fin_insur_median_emply_inc_job, agri_frsty_fish_num_jobs_000, hlth_care_soc_asst_num_jobs_000, pub_admt_safety_num_jobs_000, utility_num_jobs_000, info_med_telecommunications_num_jobs_000, whsl_trade_num_jobs_000, trns_pstl_whse_num_jobs_000, mining_num_jobs_000, accom_food_median_emply_inc_job, sa2_name, accom_food_num_jobs_000, trns_pstl_whse_median_emply_inc_job, admt_supp_median_emply_inc_job, rent_hiring_rlst_median_emply_inc_job, hlth_care_soc_asst_median_emply_inc_job, mining_median_emply_inc_job, arts_rec_median_emply_inc_job, edu_training_median_emply_inc_job, rtl_trade_median_emply_inc_job, info_med_telecommunications_median_emply_inc_job, cons_num_jobs_000, sa2_main16, manu_num_jobs_000, pub_admt_safety_median_emply_inc_job, oth_num_jobs_000, manu_median_emply_inc_job, rent_hiring_rlst_num_jobs_000, edu_training_num_jobs_000
57865.5,0.388,42541.0,8.767,33849.5,1.103,7738.0,1.177,0.26,22731.0,21892.0,35237.0,0.621,56446.0,0.047,0.963,0.427,0.059,0.289,0.282,0.204,0.014,6716.0,"Flemington",0.927,47039.5,7825.5,24386.5,37574.0,106191.5,14585.0,20581.5,14894.0,37033.0,0.232,206031115,0.263,66913.5,0.23,33512.0,0.145,0.903
67183.0,0.711,45988.0,12.305,55776.0,1.461,8563.0,1.184,0.378,27592.0,32666.0,43498.0,0.968,63121.0,0.061,1.264,0.801,0.071,0.318,0.487,0.406,0.025,6588.0,"Moonee Ponds",0.964,70041.0,11417.0,41873.0,47180.0,129231.0,9662.0,28187.0,16686.5,53923.0,0.541,206031116,0.465,73696.0,0.374,53842.0,0.201,1.297
69232.5,0.52,30163.0,14.199,18892.0,1.924,2886.5,1.729,0.283,13258.0,12628.0,23224.5,1.054,40709.0,0.241,1.197,0.444,0.058,0.373,0.385,0.185,0.01,5487.0,"Carlton",2.465,19866.5,5438.0,10451.0,34036.0,86420.5,13293.5,10105.5,10146.0,24324.0,0.273,206041117,0.336,52907.0,0.368,14867.0,0.234,1.725
69415.0,0.915,54794.5,13.818,41800.0,3.708,3300.0,1.617,0.228,15246.5,26209.5,38742.0,0.793,64021.5,0.182,0.56,0.359,0.091,0.365,0.516,0.269,0.02,5820.0,"Docklands",1.856,42280.5,10328.0,23260.5,32283.0,132024.0,22499.5,22117.0,15054.0,51121.5,0.388,206041118,0.381,80119.0,0.284,41632.0,0.301,0.528
97840.0,0.302,54864.0,4.871,35964.0,0.77,3716.0,0.51,0.14,31922.5,32309.0,61096.0,0.258,58549.0,0.112,0.605,0.235,0.034,0.171,0.128,0.083,0.012,7061.0,"East Melbourne",0.405,70373.5,8062.0,29540.0,51659.0,54794.0,25827.0,27666.0,24208.0,23515.0,0.093,206041119,0.125,76700.0,0.133,47217.0,0.093,0.499
null,0.004,18885.0,0.087,null,0.016,null,0.009,0.009,null,15398.0,58901.5,null,61384.5,null,null,null,null,0.001,null,null,null,7533.0,"Flemington Racecourse",0.018,null,6392.0,10593.5,null,null,25451.0,11841.0,null,2314.5,0.001,206041120,0.003,null,null,85197.5,0.006,0.003
72643.0,0.576,54597.0,10.237,54903.0,1.376,3297.0,1.078,0.362,32300.0,35444.0,48543.5,0.597,75020.0,0.09,1.189,0.566,0.092,0.332,0.313,0.286,0.017,9278.0,"Kensington (Vic.)",0.902,70570.0,10684.0,34458.0,51055.0,118993.0,18990.0,33029.5,20964.0,56243.0,0.28,206041121,0.343,72984.0,0.278,44573.5,0.181,1.107
51791.0,1.764,38422.0,45.027,12650.0,6.178,2293.5,6.436,0.733,8142.0,9462.0,11248.0,2.828,45894.5,1.855,1.67,0.689,0.14,0.769,1.391,0.662,0.063,5528.5,"Melbourne",12.372,11486.5,5092.5,8584.0,23931.0,105918.0,13509.0,11111.0,10600.0,34730.0,0.877,206041122,1.047,65541.0,1.03,10573.0,0.988,2.127
77452.0,0.946,40020.0,21.376,25392.0,2.894,2392.5,2.618,0.427,15677.5,16969.5,28339.0,1.419,58986.5,0.472,2.072,0.839,0.112,0.572,0.623,0.375,0.014,5992.0,"North Melbourne",3.342,38000.0,7165.5,13440.0,42680.5,103730.5,13118.0,16760.0,12232.0,41781.0,0.471,206041123,0.566,65122.0,0.539,22616.0,0.37,2.122
48049.0,0.234,27988.0,5.977,27552.0,0.718,4092.0,0.567,0.157,21521.5,16073.5,26590.0,0.43,46924.5,0.05,0.687,0.218,0.036,0.14,0.147,0.089,null,4160.0,"Parkville",0.718,44566.0,7791.0,23341.0,40018.5,null,10005.0,9350.0,12216.0,29608.0,0.123,206041124,0.141,57317.5,0.149,26188.0,0.076,1.127
63292.0,0.492,46423.0,9.411,53143.0,1.055,4609.0,0.725,0.188,29630.0,62215.0,40057.5,0.421,51731.0,0.086,0.657,3.127,0.023,0.199,0.223,0.115,0.018,6469.5,"South Yarra - West",0.629,48453.0,10954.0,32634.5,49832.0,67677.0,21247.5,25935.0,19807.5,33620.5,0.168,206041125,0.165,91262.5,0.151,39525.0,0.155,0.577
77911.0,1.329,49018.5,21.282,36154.5,3.34,2497.0,3.129,0.778,19904.0,20085.5,29308.0,1.317,61947.0,0.339,1.085,0.556,0.122,0.555,0.789,0.381,0.081,6680.0,"Southbank",3.523,39103.0,8477.0,22806.0,37972.5,48177.0,30754.0,21005.0,15363.0,56013.5,0.558,206041126,0.662,72264.0,0.435,40792.0,0.469,1.108
null,null,null,0.013,null,null,null,null,null,null,79676.0,null,null,null,null,null,null,null,null,null,null,null,null,"West Melbourne",null,null,null,null,null,null,null,null,null,null,null,206041127,null,null,null,null,null,null
69770.0,0.894,56620.0,13.653,63391.0,2.169,4090.5,1.427,0.423,27478.5,33377.0,51000.0,0.928,68927.0,0.085,1.2,0.546,0.094,0.716,0.573,0.267,0.044,6737.0,"Albert Park",1.126,74053.5,13344.5,36478.5,50394.0,131194.0,17176.0,24843.5,21789.5,13474.0,0.419,206051128,0.418,70131.0,0.321,61513.0,0.414,1.024
84521.0,0.807,54911.0,15.047,58020.0,1.915,3788.5,1.705,0.51,39513.0,33000.0,45151.0,1.065,67054.0,0.133,1.429,0.613,0.09,0.7,0.608,0.28,0.025,7826.0,"Elwood",1.263,61528.5,12175.0,43064.0,45908.0,96943.0,14950.0,29103.5,26270.0,27439.0,0.674,206051129,0.55,69149.5,0.407,59002.0,0.406,1.409
83232.0,1.008,68345.0,13.282,76465.0,1.99,4641.0,1.316,0.43,33211.5,47636.0,61750.0,0.91,80610.5,0.085,0.966,0.592,0.086,0.479,0.758,0.483,0.048,7711.5,"Port Melbourne",0.804,66835.0,21836.5,46848.5,47914.0,168533.0,21952.5,37708.0,28405.0,64090.0,0.62,206051130,0.616,72407.0,0.399,77171.0,0.339,0.877
null,0.02,31625.0,0.568,51756.5,0.065,4120.0,0.091,0.013,12795.0,17774.0,33900.0,0.046,43628.0,0.008,0.027,0.006,null,0.016,0.05,0.01,null,5100.5,"Port Melbourne Industrial",0.093,47766.5,6747.0,40942.0,22457.0,null,38095.5,12127.0,17730.5,41646.0,0.033,206051131,0.027,42867.0,0.009,43496.0,0.016,0.023
88208.0,0.766,56666.0,11.206,56638.0,1.835,5490.0,1.281,0.326,29888.0,33999.0,47788.0,0.732,71627.0,0.103,0.887,0.444,0.083,0.433,0.463,0.273,0.024,6937.0,"South Melbourne",1.075,53896.0,11984.0,33894.0,46520.0,83582.0,19760.0,22259.5,23437.0,56155.0,0.362,206051132,0.383,70441.5,0.283,56076.5,0.267,0.786
67422.0,1.588,44564.5,33.56,42029.0,4.081,2696.0,5.731,0.927,25278.0,18212.0,30968.0,2.063,54092.0,1.019,2.349,1.079,0.204,1.108,1.195,0.64,0.051,6633.0,"St Kilda",4.374,38088.0,7412.0,18847.0,36085.0,142421.5,13829.5,25282.5,20013.5,32766.0,1.371,206051133,1.048,64443.5,0.851,28147.0,0.83,2.186
55080.0,0.849,47833.0,18.507,41312.5,2.324,2982.0,2.591,0.511,21555.0,23785.0,37114.0,1.32,54709.0,0.275,1.647,0.698,0.114,0.728,0.641,0.324,0.015,7330.0,"St Kilda East",2.109,37012.0,9294.5,26633.0,42154.0,105205.0,9968.0,27354.0,23240.0,34367.0,0.695,206051134,0.58,66583.5,0.562,36852.0,0.384,1.631
74378.0,0.56,51880.0,7.922,49080.0,1.173,10378.0,0.808,0.206,19898.0,31952.5,48485.5,0.65,65878.0,0.042,0.822,0.292,0.039,0.232,0.312,0.13,0.028,6991.0,"Armadale",0.649,52377.5,13578.0,42182.0,43200.0,45662.0,15083.0,20554.0,23966.0,33579.5,0.257,206061135,0.281,65770.0,0.193,49329.5,0.259,0.729
72865.0,1.269,52264.0,21.795,48274.0,3.148,3902.5,2.813,0.56,26195.0,29445.0,47323.0,1.885,70215.5,0.265,1.96,0.659,0.141,0.754,0.885,0.413,0.055,7969.0,"Prahran - Windsor",2.394,54410.0,12072.0,40344.0,44901.0,91147.0,14058.5,26290.0,24842.0,44193.5,0.77,206061136,0.661,64153.5,0.512,42602.0,0.506,1.527
58935.0,1.397,51755.5,21.952,49691.0,3.625,4038.0,2.563,0.569,21907.5,31195.0,47087.0,1.794,70269.0,0.165,1.911,0.723,0.142,0.839,0.964,0.355,0.059,8189.0,"South Yarra - East",2.244,54204.0,13346.0,39153.5,43708.5,111325.5,20098.0,25913.0,24535.0,47227.5,0.706,206061137,0.714,65274.0,0.465,39789.0,0.526,1.543
62495.0,0.765,41161.0,10.24,48170.0,1.553,6666.0,0.963,0.242,25723.0,29159.0,57439.0,0.871,65159.5,0.09,1.084,0.305,0.058,0.329,0.443,0.152,0.031,6080.0,"Toorak",0.824,42418.0,13942.5,41929.5,49210.0,132694.0,15749.0,17720.0,20076.0,22825.0,0.34,206061138,0.347,68090.0,0.209,41710.0,0.347,0.782
69647.0,0.442,54409.0,9.318,40760.0,1.303,4913.0,0.95,0.237,33038.0,30000.0,46424.0,0.671,66088.0,0.098,1.054,0.406,0.082,0.339,0.356,0.19,0.016,8305.5,"Abbotsford",1.057,48189.5,14641.5,31327.5,43528.0,115031.5,12766.5,25952.0,20867.0,48557.0,0.28,206071139,0.322,70756.5,0.233,41873.5,0.167,0.866
64746.0,0.35,40503.0,8.341,31531.0,1.267,4708.0,0.757,0.224,24750.0,23951.5,31841.0,0.535,62148.0,0.072,0.855,0.438,0.038,0.365,0.209,0.119,0.015,7252.0,"Carlton North - Princes Hill",0.905,59577.0,8088.0,42638.0,44262.0,120379.0,10071.0,23936.0,17599.0,26845.0,0.189,206071140,0.228,64760.0,0.203,31867.0,0.115,1.212
66006.0,0.369,49231.0,9.129,43754.0,1.426,2185.0,1.078,0.249,25712.5,26932.5,36500.0,0.642,69271.0,0.123,0.887,0.406,0.071,0.399,0.317,0.147,0.016,7870.0,"Collingwood",1.039,45077.0,10651.0,27677.0,44994.5,75142.0,18050.0,26552.0,23831.0,29947.5,0.26,206071141,0.327,64497.5,0.249,32051.0,0.137,0.753
48936.0,0.35,48501.5,10.699,34953.5,1.574,2508.0,1.283,0.288,24896.0,23483.0,30523.0,0.766,68035.5,0.171,1.177,0.513,0.057,0.391,0.329,0.175,0.018,7258.0,"Fitzroy",1.313,58570.0,8975.0,27234.0,41575.0,102088.0,17911.0,23190.5,19799.0,30514.0,0.235,206071142,0.334,60258.0,0.254,29977.0,0.153,1.059
88667.0,0.492,46058.5,11.85,39648.5,1.73,4184.0,1.059,0.343,29536.0,29365.0,42969.0,0.751,68566.5,0.107,1.406,0.685,0.064,0.467,0.338,0.184,0.023,7309.0,"Fitzroy North",1.098,54145.0,10968.0,34275.0,48156.0,109425.0,16958.0,24134.0,18380.5,33341.5,0.313,206071143,0.37,70470.0,0.365,38000.0,0.174,1.558
75124.0,1.928,55396.0,31.481,51056.0,4.59,4679.5,3.733,0.913,30329.0,35521.0,52083.0,2.254,70198.0,0.234,3.133,1.388,0.23,1.255,1.273,0.522,0.07,8276.0,"Richmond (Vic.)",2.915,66804.0,14119.0,43315.0,47209.0,91773.0,27788.0,29220.0,24212.5,44682.5,1.177,206071144,1.121,68300.0,0.775,52706.0,0.662,2.442
82991.0,0.383,54396.0,8.12,48444.0,1.189,6191.5,0.614,0.256,33883.0,35984.0,47711.0,0.446,71115.0,0.045,1.16,0.51,0.062,0.294,0.248,0.124,0.007,7409.0,"Yarra - North",0.58,59976.0,13089.0,32977.0,48341.0,231872.0,9853.0,27715.5,18313.5,51993.0,0.228,206071145,0.25,59260.0,0.233,51249.0,0.106,1.169
90548.0,0.4,52333.0,5.571,74223.0,0.818,6721.5,0.392,0.139,26691.0,34994.5,46980.0,0.446,83448.0,0.011,0.642,0.249,0.046,0.161,0.265,0.124,0.014,5921.0,"Ashburton (Vic.)",0.373,64375.0,18339.0,30000.0,40476.0,243161.0,7522.0,26552.0,17703.0,57474.0,0.23,207011146,0.252,65854.0,0.133,71087.0,0.09,0.632
105855.0,0.647,46047.5,11.226,41088.0,1.353,7041.0,0.814,0.251,18952.0,25467.5,38890.0,1.103,57553.0,0.054,1.594,0.407,0.04,0.239,0.559,0.18,0.019,6206.5,"Balwyn",0.856,62963.5,12972.0,28146.5,41436.0,94454.0,8165.0,14808.0,16108.5,44519.0,0.33,207011147,0.394,63350.0,0.285,44937.0,0.321,1.287
96206.0,0.82,46186.5,13.988,46375.5,1.634,5427.0,0.975,0.308,16890.0,28121.5,36275.0,1.537,56846.0,0.039,1.747,0.513,0.075,0.317,0.701,0.327,0.019,5288.0,"Balwyn North",0.968,67086.0,13690.0,28496.0,42958.0,38339.0,10300.0,18398.0,17512.0,51196.0,0.465,207011148,0.604,62974.0,0.378,49109.0,0.382,1.611
74822.0,1.022,50987.0,15.764,51772.5,2.159,3095.0,1.206,0.378,24301.0,30501.0,46759.0,1.36,76533.0,0.058,1.944,0.616,0.101,0.456,0.684,0.248,0.032,4860.0,"Camberwell",1.08,71479.5,12774.5,34117.5,42476.0,193339.0,6437.0,22044.0,16626.0,39396.0,0.546,207011149,0.615,68830.0,0.409,60361.0,0.362,1.952
100207.0,0.868,55946.0,12.785,64221.5,1.768,4740.0,0.991,0.337,27364.0,35069.0,53791.0,1.135,81826.0,0.039,1.669,0.49,0.082,0.337,0.613,0.244,0.03,4986.0,"Glen Iris - East",0.709,71599.5,16581.5,45167.0,41470.0,202466.0,9822.0,22406.0,15855.5,62294.5,0.441,207011150,0.514,70807.0,0.296,73326.0,0.315,1.478
66439.0,1.317,47037.0,20.512,48641.0,2.878,8101.5,1.995,0.494,22738.5,28039.5,41496.0,1.707,68993.0,0.099,2.298,0.799,0.148,0.632,0.735,0.299,0.041,5548.5,"Hawthorn",2.078,45666.0,11328.0,38575.0,43804.0,91346.0,14918.0,23214.0,18575.0,46355.0,0.615,207011151,0.671,65898.0,0.469,44463.0,0.489,2.183
86857.5,0.827,50491.5,12.957,50000.0,1.812,5656.0,1.146,0.287,23724.5,30471.0,50165.5,1.204,68488.5,0.05,1.417,0.486,0.081,0.371,0.573,0.212,0.033,6073.0,"Hawthorn East",1.114,68930.5,12820.0,49255.0,44741.5,90550.5,13839.0,20734.0,19138.0,46027.0,0.419,207011152,0.426,67426.0,0.327,46159.0,0.285,1.436
89037.0,1.058,45745.0,19.213,53585.5,2.431,6147.5,1.562,0.501,20686.5,29490.0,50069.5,1.594,64761.0,0.077,2.824,0.763,0.102,0.494,0.767,0.308,0.043,6741.0,"Kew",1.59,66189.5,12356.5,31200.0,48000.0,113196.5,11185.0,20640.5,15942.5,37530.0,0.616,207011153,0.689,63281.0,0.461,50769.0,0.49,2.174
108715.0,0.257,46750.0,4.751,51102.5,0.54,33246.0,0.363,0.122,17359.0,31609.5,43545.0,0.397,77380.0,0.008,0.686,0.199,0.016,0.113,0.217,0.088,0.015,8213.0,"Kew East",0.32,91653.5,17653.0,24411.5,48551.0,157012.0,10050.0,18704.0,17308.0,59431.0,0.168,207011154,0.177,52308.0,0.138,54862.0,0.103,0.612
115662.0,0.864,52260.5,11.79,54058.0,1.604,8926.0,0.862,0.285,25083.0,33744.5,54356.0,0.971,87289.0,0.041,1.57,0.496,0.066,0.283,0.61,0.2,0.031,5670.0,"Surrey Hills (West) - Canterbury",0.695,50706.0,16261.5,42467.0,42145.0,174386.0,9384.0,23773.5,15759.0,66485.0,0.427,207011155,0.439,71873.0,0.291,55637.0,0.234,1.423
76372.0,0.449,44601.0,7.362,46592.0,0.721,12851.0,0.586,0.201,21600.0,29413.0,48528.0,0.871,54470.5,0.017,0.848,0.324,0.039,0.163,0.402,0.162,null,8336.0,"Bulleen",0.51,67638.0,15943.0,38880.0,38854.0,null,7050.0,17316.5,20000.0,67710.5,0.321,207021156,0.38,66951.0,0.244,44920.0,0.174,0.665
62193.0,0.885,41271.0,14.552,34249.0,1.425,5227.0,1.238,0.238,19736.0,25156.0,33344.0,1.796,51996.5,0.054,1.731,0.527,0.049,0.313,0.813,0.301,0.013,9103.5,"Doncaster",1.286,54929.0,12812.0,25905.0,36517.0,39330.0,13494.5,16998.0,18860.5,54462.0,0.566,207021157,0.639,58421.0,0.444,39821.0,0.374,1.289
72149.0,0.613,43759.0,10.813,43435.0,1.166,11015.5,0.789,0.2,23567.0,30682.0,45760.0,1.316,52382.0,0.027,1.29,0.373,0.061,0.229,0.65,0.268,0.012,7978.0,"Templestowe",0.667,59150.0,15865.0,38812.0,41329.0,82125.0,9566.0,25339.0,17642.0,67876.0,0.54,207021159,0.535,62831.0,0.301,51184.0,0.288,0.978
82419.0,0.538,50000.0,8.776,45015.5,0.938,6401.0,0.675,0.184,22062.0,30000.0,36364.0,0.95,47970.0,0.028,1.017,0.349,0.051,0.198,0.476,0.231,0.016,8727.0,"Templestowe Lower",0.574,62269.0,15461.0,27750.0,38695.0,137082.0,9132.0,24615.5,17501.0,60685.5,0.395,207021160,0.455,66897.0,0.254,41811.0,0.198,0.916
105513.5,0.648,50131.0,10.117,47065.0,1.121,9089.0,0.742,0.206,22889.0,29775.0,41540.0,1.184,53976.0,0.036,1.233,0.382,0.051,0.221,0.602,0.206,0.017,8857.5,"Doncaster East (North)",0.695,64298.0,15576.0,31864.0,36195.5,104373.0,11180.0,24539.5,17655.5,58806.0,0.442,207021424,0.466,64605.0,0.311,46727.0,0.269,0.839
89597.0,0.541,44097.5,8.818,44728.5,0.869,11606.5,0.647,0.166,22762.0,28969.0,42212.0,0.988,50423.0,0.026,1.143,0.331,0.046,0.231,0.522,0.22,0.01,8255.0,"Doncaster East (South)",0.711,57583.0,12262.5,24800.0,37821.0,97598.0,14251.0,20228.0,20882.5,53860.0,0.383,207021425,0.431,59660.0,0.282,48180.0,0.188,0.694
83004.0,0.929,53171.0,15.894,47265.5,1.842,6483.0,1.307,0.308,21589.0,29796.0,41895.0,1.477,60011.0,0.049,1.969,0.782,0.098,0.404,0.757,0.31,0.017,6486.0,"Blackburn",1.162,53942.0,12345.0,23591.0,37843.0,57834.0,8930.0,29309.5,15606.0,61876.5,0.663,207031161,0.687,65498.0,0.565,46789.0,0.293,1.771
90428.5,0.432,50000.0,7.094,52292.0,0.709,11876.5,0.6,0.158,23278.5,30981.0,42949.0,0.731,53119.0,0.011,0.842,0.365,0.031,0.149,0.363,0.144,0.008,6300.0,"Blackburn South",0.457,67260.0,14956.0,29319.0,38038.0,93539.5,9490.5,29528.0,17517.5,45705.0,0.31,207031162,0.334,65534.0,0.268,57962.5,0.144,0.808
65049.0,0.714,38979.0,15.805,28507.5,1.464,4249.0,1.612,0.273,15524.0,19089.0,34090.0,1.514,51976.0,0.203,1.911,0.562,0.076,0.347,0.765,0.271,0.008,7000.0,"Box Hill",2.011,39507.0,8361.0,21953.0,31892.5,163566.0,10176.5,20600.0,14511.0,41267.0,0.583,207031163,0.656,66152.5,0.552,33707.0,0.341,1.429
83963.5,0.695,47514.5,12.649,37546.0,1.356,6470.0,1.053,0.263,17891.0,28189.0,38235.0,1.146,50422.0,0.054,1.698,0.482,0.075,0.311,0.627,0.227,0.019,6596.0,"Box Hill North",1.143,64643.5,14308.5,30072.0,42884.0,64903.0,9069.5,25739.0,18564.0,52740.0,0.48,207031164,0.573,62868.0,0.386,45526.0,0.265,1.364
40769.5,0.405,28843.5,8.869,30029.0,0.849,6926.0,1.057,0.205,14414.0,15943.0,39169.0,0.968,32429.0,0.03,0.913,0.229,0.046,0.201,0.416,0.172,0.008,4735.0,"Burwood",1.187,51203.0,7170.0,22754.0,31126.0,67114.0,7078.0,15267.0,14019.5,23744.0,0.263,207031165,0.339,55344.0,0.258,32099.5,0.15,0.891
64693.5,0.396,43093.0,7.246,40499.0,0.705,9940.0,0.737,0.151,20857.0,24469.0,45810.0,0.81,48422.0,0.02,0.748,0.239,0.025,0.143,0.405,0.177,0.007,6321.0,"Burwood East",0.721,57823.0,9256.0,31683.0,37797.0,134944.0,6160.0,23885.0,17147.5,64341.0,0.278,207031166,0.339,61646.0,0.24,45323.5,0.148,0.668
85342.0,0.513,49842.0,7.692,56563.0,0.961,7901.5,0.601,0.19,24999.0,33518.0,45293.0,0.602,69313.0,0.025,1.021,0.34,0.039,0.211,0.365,0.114,0.017,6971.0,"Surrey Hills (East) - Mont Albert",0.458,59999.0,14331.0,46195.5,44632.5,102674.5,7395.0,25067.0,15278.0,47687.0,0.284,207031167,0.271,71087.0,0.21,53001.5,0.189,1.029
129807.0,0.589,47899.0,9.737,65495.0,1.264,8118.0,0.644,0.253,31925.5,32384.0,44427.5,0.947,60993.5,0.028,0.886,0.417,0.046,0.244,0.553,0.18,0.021,5074.0,"Beaumaris",0.576,57480.0,14958.0,48806.5,39071.0,147144.5,7881.0,25904.0,14072.5,29399.0,0.575,208011168,0.547,63207.0,0.223,68911.0,0.254,1.122
83922.0,1.236,49430.5,16.164,58814.0,2.318,3994.5,1.3,0.396,27334.0,31945.5,51750.0,1.321,73069.0,0.063,1.667,0.563,0.092,0.511,0.817,0.271,0.054,6293.0,"Brighton (Vic.)",1.094,67199.0,16536.0,40848.0,40736.5,113508.0,10737.0,18447.0,17230.5,33018.5,0.638,208011169,0.6,57194.5,0.346,58120.0,0.54,1.543
