exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_2_p, households_by_type_census_lone_person_households_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_4_a, dwelling_structure_private_dwellings_census_separate_house_num, families_type_census_couple_families_non_dependent_children_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_nvr_mrrd_pc, method_travel_work_employed_persons_census_used_one_total_num, tenure_type_occupied_private_dwellings_census_owned_mortgage_pc, sa2_name_2016, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_3_p, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_nm, dwlng_strce_prvte_dwlngs_cns_smi_dtch_rw_trce_hse_twnhse_etc_nm, method_travel_work_employed_persons_census_worked_home_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_to_at_indqtly_dscrb_std_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_spre_nm, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_crd_chldchldrn_pc, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_edctn_ocptn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_mrrge_nm, rent_mortgage_payments_census_average_monthly_household_payment, method_travel_work_employed_persons_census_used_one_truck_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_dsvntg, method_travel_work_employed_persons_census_used_one_train_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_1_d, dwelling_structure_private_dwellings_census_stated_num, gftsdntns_rprtd_txpyrs_yr_endd_30_jne_prsns_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_pssngr_nm, households_by_type_census_total_households_num, method_travel_work_employed_persons_census_total_used_one, families_by_type_census_couple_families_without_children_num, hshld_strss_cnss_hshlds_mrtgge_rpymnts_lss_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsn_cns_ple_trvld_to_cr_drv_psngr_nm, scl_mrtl_st_rgstd_prsn_agd_15_yrs_cns_mrd_de_fcto_mrge_nm, method_travel_work_employed_persons_census_used_one_taxi_num, dwelling_structure_private_dwellings_census_flat_apartment_num, method_travel_work_employed_persons_census_used_one_bicycle_num, commuting_work_census_average_distance_to_place_kms, fmls_type_cnss_one_prnt_chldrn_15_andr_dpndnt_stdnts_nm, hshld_strss_cnss_hshlds_rnt_pymnts_grtr_eql_30pc_incme_pc, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_scre_nt_a, hshld_strss_cnss_hshlds_mrtgge_rpymnts_grtr_eql_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsns_cnss_pple_trvlld_to_pblc_trnsprt_nm, method_travel_work_employed_persons_census_used_one_tram_num, homelessness_census_homeless_rate_per_10000_persons_rate, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_sttd_pc, giftsdonations_reported_by_taxpayers_year_ended_30_june_median, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_dsvn, accss_intrnt_hme_occpd_prvte_dwllngs_cnss_accssd_dwllng_pc, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_prvde_pc, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_wdwd_pc, tenure_type_occupied_private_dwellings_census_owned_outright_pc, method_travel_work_employed_persons_census_used_one_ferry_num, households_by_type_census_average_household_size_no_of_persons, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_kms, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_pc, method_travel_work_employed_persons_census_used_one_bus_num, tenure_type_occupied_private_dwellings_census_stated_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_extra_bdrms_ndd_nm, families_by_type_census_average_family_size_no_of_persons, unpd_wrk_prsns_agd_15_yrs_cnss_undrtkng_vlntry_orgnstn_grp_pc, commuting_work_census_median_distance_place_usual_residence_kms, fmls_type_cnss_cple_chldrn_15_andr_dpndnt_stdnts_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_mtr_bksctr_nm, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_ndd_spre_nm, method_travel_work_employed_persons_census_go_to_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_sprtd_pc, tenure_type_occupied_private_dwellings_census_tenure_type_pc, dwelling_structure_private_dwellings_census_other_dwelling_num, unpd_wrk_prsns_agd_15_yrs_cnss_prvdd_assstnce_prsn_a_dsblty_pc, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rsc_ir, method_travel_work_employed_persons_census_used_one_walked_num, method_travel_work_employed_persons_census_used_one_method_num, families_by_type_census_total_families_num, tenure_type_occupied_private_dwellings_census_rented_pc, households_by_type_census_group_households_num, rnt_mrtgge_pymnts_cnss_avrge_mnthly_hshld_rntl_pymnt, families_type_census_one_parent_non_dependent_children_num, count_children_family_census_average_number_of_all_in_num, method_travel_work_employed_persons_census_of_stated_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_advntg, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_and_pc, households_by_type_census_family_households_num, sa2_maincode_2016, dwelling_structure_private_dwellings_census_total_num, method_travel_work_employed_persons_census_total_employed_num, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_advn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_dvrcd_pc, families_by_type_census_other_families_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_acsd_dwlng_pc, commuting_work_census_median_distance_to_place_kms, hshld_strss_cnss_hshlds_rnt_pymnts_lss_30pc_incme_pc, sco_ecnmc_indxs_ars_sfa_stte_dcls_cnss_dcle_rnkng_indx_rsrcs_ir, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_pc, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_drvr_nm, yr, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_edctn_ocpt
null,null,null,null,null,null,null,null,"South Yarra - West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1673,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206041125",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Elwood",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3881,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,180,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206051129",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Fitzroy",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2313,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206071142",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Yarra - North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2490,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206071145",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Aspendale Gardens - Waterways",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1844,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208031183",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Rowville - North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1723,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"211011257",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Rowville - South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2415,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"211011258",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Wantirna",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2976,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"211011259",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Port Melbourne",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4060,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,190,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206051130",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Wantirna South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3567,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"211011260",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Donvale - Park Orchards",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3152,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"211021261",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Warrandyte - Wonga Park",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2090,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"211021262",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Burwood East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1843,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207031166",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Cheltenham - Highett (West)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2563,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,145,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208011171",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Hampton",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3828,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208011172",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Chelsea Heights",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1149,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208031187",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Surrey Hills (East) - Mont Albert",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2429,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"207031167",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Carnegie",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3584,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"208021176",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Epping - West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2286,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209041433",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Mernda",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4276,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209041434",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"South Morang (North)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2833,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209041435",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Wollert",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2370,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"209041437",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Brunswick West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3369,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,155,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"206011107",null,null,null,null,null,null,null,null,null,null,null,2018,null
