slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_pc, private_health_taxpayers_report_private_health_insurance_num, slctd_dsblty_crrs_chrctrstcs_mdlld_prsns_lvng_prvte_dwllngs_nm, sa2_maincode_2016, slctd_dsblty_crrs_chrctrstcs_mdlld_prsns_lvng_prvte_dwllngs_pc, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_agd_15_prmy_p, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_n_prmy_nm, sa2_name_2016, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_agd_15_prmy_n, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_mdrte_mld_cre, yr, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_prfnd_svre_cr, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_prfnd_svre__0, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_nm, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_n_prmy_pc, slctd_dsblty_crs_chrts_mdl_prsn_lvng_prvte_dwlngs_mdrte_mld_c_0, core_activity_need_assistance_census_persons_for_activities_pc
13.3,4224,1987,"207031162",17.9,4.2,1393,"Blackburn South",378,950,2018,587,5.3,1476,12.5,8.5,null
7.7,4482,1508,"206011106",11.3,2.7,734,"Brunswick East",323,654,2018,440,3.3,1021,5.5,4.9,null
8.4,5327,1132,"207031167",10.7,3.4,737,"Surrey Hills (East) - Mont Albert",291,624,2018,347,3.3,887,7.0,5.9,null
6.6,6829,2468,"206051134",13.5,2.6,867,"St Kilda East",413,1022,2018,592,3.2,1210,4.7,5.6,null
7.4,2121,703,"206041124",9.0,1.8,436,"Parkville",135,265,2018,212,2.7,576,5.6,3.4,null
12.1,5029,1350,"206061135",13.2,2.6,984,"Armadale",226,523,2018,352,3.4,1237,9.6,5.1,null
8.7,3431,717,"206041125",10.8,2.4,435,"South Yarra - West",147,296,2018,167,2.5,577,6.6,4.5,null
9.5,2791,893,"208021180",10.8,3.8,583,"Hughesdale",262,494,2018,383,4.6,784,7.1,6.0,null
13.0,6568,2344,"208021426",14.6,4.1,1279,"Bentleigh East (North)",510,997,2018,828,5.1,2098,8.0,6.2,null
8.2,8284,2065,"206051130",11.5,2.8,1028,"Port Melbourne",425,964,2018,600,3.4,1459,5.7,5.4,null
12.9,3619,1314,"208031183",13.8,3.9,938,"Aspendale Gardens - Waterways",304,671,2018,440,4.6,1225,9.9,7.1,null
9.2,1789,993,"208031187",17.7,4.4,340,"Chelsea Heights",201,480,2018,303,5.4,517,6.0,8.5,null
6.5,9235,2410,"206061136",11.0,2.2,980,"Prahran - Windsor",441,1099,2018,680,3.1,1422,4.5,5.0,null
8.3,3837,1045,"206071140",11.3,2.6,594,"Carlton North - Princes Hill",211,541,2018,268,2.9,766,6.4,5.9,null
8.0,3235,1071,"206071141",10.3,2.7,515,"Collingwood",250,526,2018,327,3.2,834,5.0,5.1,null
9.6,3979,1534,"206071142",13.2,3.0,711,"Fitzroy",305,642,2018,411,3.5,1119,6.1,5.5,null
10.0,8400,1775,"208011170",10.7,3.4,1245,"Brighton East",449,922,2018,631,3.8,1650,7.5,5.6,null
8.0,5172,1505,"208011171",12.5,3.9,637,"Cheltenham - Highett (West)",370,805,2018,488,4.0,966,5.3,6.7,null
8.6,10433,2636,"208021174",10.8,3.6,1293,"Bentleigh - McKinnon",705,1316,2018,952,3.9,2090,5.3,5.4,null
7.5,4910,2172,"206011107",14.4,3.3,943,"Brunswick West",432,888,2018,612,4.1,1139,6.2,5.9,null
13.5,8590,5229,"206011108",18.3,4.3,2637,"Coburg",1041,2359,2018,1454,5.1,3864,9.2,8.3,null
13.6,4135,1858,"206011109",17.1,4.2,1215,"Pascoe Vale South",366,718,2018,727,6.7,1478,11.1,6.6,null
16.2,3765,1558,"206021110",15.9,3.5,1365,"Alphington - Fairfield",288,680,2018,404,4.1,1590,13.9,6.9,null
10.0,2915,1616,"206031115",14.6,3.6,719,"Flemington",337,701,2018,544,4.9,1105,6.5,6.3,null
8.3,10223,3293,"206021111",12.0,3.4,1840,"Northcote",786,1644,2018,1103,4.0,2270,6.7,6.0,null
5.0,3786,2186,"206041117",9.5,1.6,776,"Carlton",354,953,2018,608,2.7,1141,3.4,4.2,null
10.9,6578,3132,"206021112",15.7,3.7,1651,"Thornbury",621,1300,2018,888,4.4,2179,8.3,6.5,null
5.7,4554,847,"206041118",5.7,1.6,596,"Docklands",221,387,2018,268,1.8,861,4.0,2.6,null
12.7,6122,2312,"206031113",14.2,4.0,1315,"Ascot Vale",534,1039,2018,822,5.0,2072,8.1,6.4,null
13.0,12968,3445,"206031114",11.4,3.6,2973,"Essendon - Aberfeldie",904,1794,2018,1185,3.9,3933,9.9,5.9,null
9.4,2766,593,"206041119",10.6,2.2,343,"East Melbourne",113,227,2018,129,2.3,526,6.1,4.1,null
8.9,6450,1980,"206031116",12.7,3.6,1058,"Moonee Ponds",468,983,2018,658,4.2,1383,6.8,6.3,null
12.9,4438,1625,"206041121",13.7,3.3,1042,"Kensington (Vic.)",330,714,2018,411,3.5,1524,8.8,6.0,null
5.7,6329,2947,"206041123",11.8,2.2,924,"North Melbourne",494,1055,2018,858,3.4,1410,3.7,4.2,null
5.0,6998,1344,"206041126",5.5,1.7,805,"Southbank",391,791,2018,371,1.5,1234,3.3,3.2,null
9.8,8235,2311,"206051128",13.4,2.8,1311,"Albert Park",407,1014,2018,602,3.5,1693,7.6,5.9,null
8.2,7215,1529,"206051129",9.2,2.6,1080,"Elwood",381,775,2018,420,2.5,1372,6.5,4.6,null
null,172,null,"206051131",null,null,null,"Port Melbourne Industrial",null,null,2018,null,null,null,null,null,null
11.6,5696,2108,"206051132",16.2,3.1,962,"South Melbourne",362,729,2018,425,3.3,1509,7.4,5.6,null
9.4,10322,4227,"206051133",14.3,2.8,1784,"St Kilda",767,1467,2018,1018,3.4,2772,6.0,5.0,null
9.7,9851,2277,"206061137",9.2,2.2,1416,"South Yarra - East",509,967,2018,672,2.7,2406,5.7,3.9,null
12.8,8261,1861,"206061138",13.1,3.4,927,"Toorak",428,575,2018,678,4.8,1813,6.5,4.1,null
7.1,3661,873,"206071139",8.9,2.3,522,"Abbotsford",207,392,2018,250,2.5,696,5.3,4.0,null
10.8,5545,1671,"206071143",12.2,3.0,1020,"Fitzroy North",354,882,2018,470,3.4,1479,7.5,6.5,null
8.1,14398,3626,"206071144",10.5,2.5,2104,"Richmond (Vic.)",793,1819,2018,1090,3.1,2826,6.1,5.2,null
7.6,4251,1044,"206071145",10.8,3.0,569,"Yarra - North",244,535,2018,287,3.0,737,5.9,5.5,null
10.4,8210,2159,"207011147",12.8,3.5,1290,"Balwyn",496,1041,2018,709,4.2,1755,7.6,6.2,null
9.6,3858,1020,"207011146",12.5,3.8,540,"Ashburton (Vic.)",243,445,2018,468,5.7,790,6.6,5.4,null
10.1,10295,2529,"207011148",11.7,3.7,1507,"Balwyn North",653,1172,2018,1140,5.3,2187,7.0,5.4,null
9.6,11502,2091,"207011149",9.3,3.2,1553,"Camberwell",592,1070,2018,738,3.3,2160,6.9,4.8,null
8.3,7602,1556,"207011152",9.2,2.8,975,"Hawthorn East",401,697,2018,538,3.2,1398,5.8,4.1,null
15.3,9394,1628,"207011150",9.3,3.2,2352,"Glen Iris - East",450,885,2018,614,3.5,2693,13.4,5.0,null
8.3,11126,2355,"207011151",9.3,2.4,1618,"Hawthorn",541,1024,2018,605,2.4,2106,6.4,4.0,null
6.8,13084,2823,"207011153",10.8,3.2,1433,"Kew",699,1294,2018,1003,3.8,1790,5.5,4.9,null
8.9,4645,1894,"207021156",16.0,4.1,776,"Bulleen",410,1072,2018,668,5.7,1054,6.6,9.1,null
14.0,8775,4227,"207021157",18.0,3.9,2605,"Doncaster",794,2030,2018,1198,5.1,3291,11.1,8.6,null
12.0,8084,2091,"207021159",12.1,4.2,1402,"Templestowe",613,1259,2018,819,4.7,2083,8.1,7.3,null
10.1,5361,2321,"207021425",15.5,4.2,1246,"Doncaster East (South)",505,1064,2018,803,5.4,1513,8.3,7.1,null
12.5,9503,3493,"207031161",15.3,4.2,2063,"Blackburn",793,1751,2018,972,4.3,2841,9.0,7.7,null
6.8,4506,1881,"213041360",9.0,3.8,1032,"Taylors Hill",575,1005,2018,787,3.7,1429,4.9,4.8,null
11.9,866,896,"213041461",17.2,4.1,440,"Burnside",166,393,2018,293,5.6,620,8.4,7.5,null
11.5,3215,769,"207011154",11.1,3.7,480,"Kew East",206,436,2018,259,3.7,801,6.9,6.3,null
8.4,9058,1943,"207011155",11.3,3.3,1204,"Surrey Hills (West) - Canterbury",462,994,2018,640,3.7,1447,7.0,5.8,null
10.0,5714,2299,"207021160",16.3,4.2,1103,"Templestowe Lower",492,1373,2018,634,4.5,1414,7.8,9.8,null
14.0,7061,2437,"207021424",15.7,4.1,1643,"Doncaster East (North)",534,1005,2018,1048,6.7,2182,10.6,6.5,null
9.1,6784,3246,"207031163",14.5,3.3,1656,"Box Hill",640,1472,2018,885,4.0,2032,7.4,6.6,null
11.3,7152,2480,"207031164",13.1,4.1,1525,"Box Hill North",636,1371,2018,880,4.6,2146,8.1,7.2,null
6.0,3936,1879,"207031165",13.5,2.8,694,"Burwood",351,888,2018,514,3.7,838,5.0,6.4,null
9.8,8844,2793,"208011172",14.6,3.9,1326,"Hampton",593,1294,2018,953,5.0,1864,6.9,6.8,null
10.4,7716,2375,"208011168",16.2,3.5,1025,"Beaumaris",414,1216,2018,713,4.9,1517,7.0,8.3,null
8.6,9125,2052,"208021178",11.1,3.1,1207,"Caulfield - South",474,1096,2018,661,3.6,1582,6.6,6.0,null
15.5,13499,3152,"208011169",12.8,3.7,2587,"Brighton (Vic.)",750,1494,2018,918,3.7,3816,10.5,6.1,null
12.4,9030,2306,"208011173",13.0,3.6,1439,"Sandringham - Black Rock",521,1277,2018,679,3.8,2194,8.1,7.2,null
7.2,7051,2269,"208021176",11.4,3.0,1196,"Carnegie",501,1178,2018,654,3.3,1429,6.0,5.9,null
9.4,10736,3263,"208021177",14.2,2.9,1603,"Caulfield - North",545,1198,2018,974,4.3,2159,7.0,5.2,null
16.9,4033,1268,"208021181",12.8,3.4,1440,"Murrumbeena",283,582,2018,372,3.7,1676,14.5,5.9,null
7.0,5434,1462,"208021182",10.1,3.0,721,"Ormond - Glen Huntly",368,778,2018,498,3.4,1019,5.0,5.4,null
8.5,5658,2069,"208021427",14.6,4.1,742,"Bentleigh East (South)",456,1117,2018,713,5.0,1195,5.2,7.9,null
null,105,null,"208031184",null,null,null,"Braeside",null,null,2018,null,null,null,null,null,null
9.9,4570,1937,"208031185",15.4,4.3,799,"Carrum - Patterson Lakes",447,995,2018,583,4.6,1252,6.3,7.9,null
12.1,5193,2574,"208031186",17.0,4.4,1345,"Chelsea - Bonbeach",545,1212,2018,879,5.8,1826,8.9,8.0,null
9.8,9023,3752,"208031188",15.4,4.2,1725,"Cheltenham - Highett (East)",837,1828,2018,1321,5.4,2394,7.1,7.5,null
9.2,5360,1812,"208031189",13.3,4.1,944,"Edithvale - Aspendale",448,1036,2018,528,3.9,1251,6.9,7.6,null
11.4,3029,1768,"209011196",17.0,4.3,990,"Bundoora - East",371,927,2018,586,5.7,1177,9.5,8.9,null
10.8,5736,1891,"208031190",13.6,3.7,1130,"Mentone",425,944,2018,552,4.0,1495,8.1,6.8,null
13.9,8818,3663,"209011197",17.1,4.6,2050,"Greensborough",799,2016,2018,1001,4.7,2985,9.6,9.4,null
7.1,3574,1274,"208031191",13.5,4.0,546,"Moorabbin - Heatherton",306,687,2018,388,4.1,669,5.8,7.3,null
10.7,3986,2250,"209021429",16.8,4.3,1040,"Preston - West",471,958,2018,720,5.4,1438,7.7,7.1,null
6.4,11163,2777,"209031209",11.5,4.1,1265,"Eltham",786,1805,2018,785,3.3,1550,5.2,7.5,null
15.8,1321,676,"209031210",18.6,4.5,456,"Hurstbridge",130,281,2018,152,4.2,575,12.5,7.7,null
15.6,1027,755,"209031211",18.2,5.2,398,"Kinglake",173,376,2018,202,4.9,645,9.6,9.1,null
17.6,2135,940,"209031212",17.0,4.3,826,"Panton Hill - St Andrews",198,526,2018,217,3.9,969,15.0,9.5,null
6.8,4583,980,"209031213",9.9,3.8,542,"Plenty - Yarrambat",304,607,2018,336,3.4,673,5.5,6.1,null
7.7,8914,2935,"208031193",13.7,3.8,1287,"Mordialloc - Parkdale",656,1625,2018,900,4.2,1661,6.0,7.6,null
12.9,3344,845,"209031214",11.9,4.2,740,"Research - North Warrandyte",234,532,2018,242,3.4,914,10.5,7.5,null
12.8,2708,1657,"210011226",19.9,4.7,609,"Airport West",329,680,2018,621,7.5,1069,7.3,8.2,null
10.7,3036,993,"210011230",13.0,4.0,647,"Niddrie - Essendon West",247,549,2018,368,4.8,817,8.5,7.2,null
10.3,11166,2535,"208041194",11.8,3.1,1741,"Malvern - Glen Iris",547,1061,2018,877,4.1,2203,8.1,4.9,null
8.4,3547,1718,"212031306",10.1,3.6,880,"Lynbrook - Lyndhurst",452,765,2018,666,3.9,1425,5.2,4.5,null
12.1,2238,1415,"212031308",17.3,4.7,752,"Pearcedale - Tooradin",307,758,2018,356,4.3,993,9.2,9.3,null
8.4,10341,3356,"208041195",14.4,3.2,1345,"Malvern East",619,1446,2018,728,3.1,1955,5.8,6.2,null
8.0,6449,2621,"209011198",16.6,4.1,886,"Heidelberg - Rosanna",517,1146,2018,812,5.1,1264,5.6,7.2,null
13.7,3457,2732,"209011199",18.1,5.1,1564,"Heidelberg West",635,1213,2018,932,6.2,2073,10.3,8.0,null
11.2,5911,1469,"209011200",11.6,3.7,1201,"Ivanhoe",394,746,2018,488,3.8,1425,9.5,5.9,null
10.6,5037,3047,"213041463",14.0,4.3,1311,"Caroline Springs",713,1092,2018,1388,6.4,2307,6.0,5.0,null
8.4,4518,1103,"209011201",13.4,3.4,542,"Ivanhoe East - Eaglemont",233,547,2018,338,4.1,693,6.6,6.6,null
14.7,7118,3412,"209011202",20.3,4.7,1572,"Montmorency - Briar Hill",635,1403,2018,916,5.4,2474,9.3,8.3,null
14.3,7221,3367,"209011203",17.6,4.6,1806,"Viewbank - Yallambie",697,1713,2018,930,4.9,2727,9.5,9.0,null
17.2,3279,1983,"209011204",20.4,5.1,1076,"Watsonia",400,911,2018,637,6.6,1671,11.1,9.4,null
10.8,3041,1851,"209021205",14.4,3.6,673,"Kingsbury",406,707,2018,722,5.6,1392,5.2,5.5,null
11.8,6097,6570,"209021207",22.5,5.0,1863,"Reservoir - East",1228,2916,2018,1843,6.3,3440,6.4,10.0,null
13.9,6049,6030,"209021208",23.5,5.1,2243,"Reservoir - West",1066,2822,2018,1801,7.0,3556,8.7,11.0,null
15.3,5591,4206,"209021428",18.8,4.8,2109,"Preston - East",916,1533,2018,1540,6.9,3429,9.4,6.9,null
11.5,6181,1822,"209031215",12.6,4.2,1294,"Wattle Glen - Diamond Creek",487,1068,2018,509,3.5,1671,8.9,7.4,null
9.4,1559,1307,"209041217",19.7,4.2,505,"Bundoora - West",241,616,2018,364,5.5,620,7.6,9.3,null
12.8,3299,6026,"209041219",24.2,5.8,1560,"Lalor",1178,2547,2018,2598,10.4,3184,6.3,10.2,null
12.3,2550,1632,"209041225",18.8,4.9,715,"Whittlesea",338,805,2018,461,5.3,1068,8.2,9.3,null
8.7,7126,2973,"209041430",11.8,4.0,1418,"Doreen",715,1399,2018,934,3.7,2192,5.6,5.5,null
8.9,2309,1145,"209041216",13.7,3.6,515,"Bundoora - North",254,505,2018,371,4.4,746,6.1,6.0,null
12.4,2497,2437,"209041431",17.7,5.0,983,"Epping - East",553,965,2018,720,5.2,1709,7.1,7.0,null
10.2,1396,1575,"209041432",18.1,5.4,646,"Epping - South",380,684,2018,563,6.5,890,7.4,7.9,null
10.0,5168,2965,"209041220",16.0,4.7,1091,"Mill Park - North",728,1528,2018,759,4.1,1860,5.9,8.2,null
9.6,3130,1978,"209041221",15.8,5.0,781,"Mill Park - South",519,919,2018,653,5.2,1207,6.2,7.3,null
12.3,2735,4636,"209041223",21.4,5.9,1618,"Thomastown",1063,2111,2018,2362,10.9,2673,7.5,9.8,null
11.9,4221,2916,"209041224",15.7,4.5,1586,"Wallan",635,1321,2018,872,4.7,2200,8.6,7.1,null
9.8,3232,1845,"209041436",14.9,4.4,753,"South Morang (South)",433,840,2018,586,4.7,1211,6.1,6.8,null
11.4,3628,1970,"210011228",21.7,4.6,734,"Keilor",348,989,2018,548,6.0,1033,8.1,10.9,null
13.0,9034,5282,"210011229",19.1,4.8,2579,"Keilor East",1092,2549,2018,1760,6.4,3612,9.3,9.2,null
9.1,1606,744,"211031452",15.1,4.9,278,"Croydon South",193,397,2018,238,4.8,449,5.6,8.0,null
11.8,1643,1598,"212021297",13.9,4.7,827,"Hallam",425,764,2018,598,5.2,1350,7.2,6.7,null
11.3,3369,991,"212021299",11.8,4.0,783,"Narre Warren North",275,530,2018,338,4.0,954,9.3,6.3,null
7.3,4671,1193,"210011231",11.5,4.0,623,"Strathmore",334,680,2018,469,4.5,763,6.0,6.5,null
8.8,5400,1882,"210021232",13.6,4.4,780,"Gisborne",461,1029,2018,681,4.9,1220,5.6,7.4,null
18.1,3379,2426,"212021454",17.1,5.2,1601,"Endeavour Hills - South",596,1048,2018,837,5.9,2562,11.3,7.4,null
12.7,1527,527,"210021233",14.5,4.5,311,"Macedon",127,315,2018,179,4.9,461,8.6,8.7,null
7.9,1672,512,"210021234",11.9,4.3,241,"Riddells Creek",148,325,2018,174,4.0,340,5.6,7.6,null
10.5,3042,1961,"210021235",19.5,4.9,674,"Romsey",388,1038,2018,495,4.9,1058,6.7,10.3,null
15.5,3781,3798,"211051276",26.5,5.2,1549,"Healesville - Yarra Glen",602,1642,2018,709,4.9,2220,10.8,11.4,null
10.6,2433,1398,"210031236",16.4,4.4,552,"Coburg North",309,628,2018,452,5.3,903,6.5,7.4,null
12.2,2149,2561,"210031237",17.3,5.0,1044,"Fawkner",571,1225,2018,1055,7.1,1803,7.1,8.3,null
8.8,1167,461,"210031439",14.7,3.9,186,"Gowanbrae",95,233,2018,157,5.0,277,5.9,7.4,null
10.6,8144,3840,"210031239",14.6,3.7,2336,"Pascoe Vale",794,1666,2018,1162,4.4,2789,8.9,6.3,null
13.2,1311,1356,"210031440",22.4,5.1,443,"Hadfield",251,564,2018,627,10.3,799,7.3,9.3,null
12.3,4395,2503,"210041240",18.7,4.7,1107,"Sunbury",504,1256,2018,577,4.3,1641,8.3,9.4,null
12.5,8164,6667,"210041241",22.8,4.8,2300,"Sunbury - South",1120,2739,2018,1701,5.8,3663,7.9,9.4,null
10.3,4632,4079,"210031438",16.9,4.1,1962,"Glenroy",802,1700,2018,1165,4.8,2484,8.1,7.1,null
22.2,926,3130,"210051247",19.8,6.7,2370,"Meadow Heights",812,1217,2018,1558,9.8,3516,15.0,7.7,null
17.4,34,35,"210051248",18.4,4.3,22,"Melbourne Airport",8,17,2018,12,6.3,33,11.6,8.9,null
13.5,1087,3321,"210051242",23.4,5.7,1449,"Broadmeadows",624,1305,2018,1407,9.9,1916,10.2,9.2,null
14.4,1135,4911,"210051243",28.5,6.4,1973,"Campbellfield - Coolaroo",854,1849,2018,2117,12.3,2488,11.5,10.7,null
12.5,1550,1298,"210051250",18.9,4.8,513,"Tullamarine",278,621,2018,433,6.3,859,7.5,9.1,null
10.6,2015,1511,"210051442",11.4,4.0,999,"Craigieburn - North",378,668,2018,540,4.1,1399,7.6,5.1,null
11.5,4870,3578,"210051245",19.2,5.4,1050,"Gladstone Park - Westmeadows",835,1939,2018,1072,5.8,2143,5.6,10.4,null
12.6,6143,2221,"210051246",11.5,4.4,1620,"Greenvale - Bulla",683,1100,2018,792,4.1,2438,8.4,5.7,null
7.6,3221,3216,"212031305",11.7,4.1,1505,"Hampton Park - Lynbrook",873,1698,2018,1333,4.8,2100,5.5,6.2,null
10.7,2330,3723,"210051249",15.3,5.5,1245,"Roxburgh Park - Somerton",1001,1381,2018,2023,8.3,2598,5.1,5.7,null
11.5,1267,1534,"210051441",17.2,5.0,617,"Craigieburn - Central",344,681,2018,501,5.6,1021,6.9,7.6,null
10.1,2853,2428,"210051443",12.4,4.4,1346,"Craigieburn - South",648,971,2018,1028,5.2,1969,6.9,5.0,null
5.9,2218,1764,"210051444",9.5,3.7,842,"Craigieburn - West",485,786,2018,739,4.0,1089,4.5,4.2,null
8.0,1598,1026,"210051445",13.9,3.6,487,"Mickleham - Yuroke",195,356,2018,270,3.7,590,6.6,4.8,null
9.9,3652,2268,"211011251",17.8,4.6,786,"Bayswater",485,1059,2018,640,5.0,1268,6.2,8.3,null
11.0,5691,2610,"211011254",15.5,4.4,1314,"Knoxfield - Scoresby",594,1142,2018,838,5.0,1847,7.8,6.8,null
11.0,3288,1361,"211011257",16.2,4.1,629,"Rowville - North",275,663,2018,360,4.3,926,7.5,7.9,null
10.9,4587,1429,"211011258",13.0,4.1,923,"Rowville - South",370,786,2018,450,4.1,1195,8.4,7.1,null
14.6,5580,2062,"211011259",14.3,4.4,1629,"Wantirna",522,1110,2018,715,5.0,2107,11.3,7.7,null
8.8,7470,3258,"211011260",17.6,4.2,1083,"Wantirna South",655,1616,2018,842,4.6,1629,5.9,8.7,null
12.9,7836,2295,"211021261",13.8,4.2,1650,"Donvale - Park Orchards",566,1368,2018,636,3.8,2141,9.9,8.2,null
11.5,5282,1286,"211021262",12.2,4.3,913,"Warrandyte - Wonga Park",370,796,2018,377,3.6,1205,8.7,7.6,null
15.0,3311,1041,"211011255",14.9,4.1,792,"Lysterfield",233,448,2018,273,3.9,1050,11.3,6.4,null
10.1,5933,2248,"211011256",14.1,4.2,1118,"Rowville - Central",552,1008,2018,703,4.4,1618,7.0,6.3,null
14.0,6676,5281,"211011446",22.8,4.7,2257,"Boronia",892,1932,2018,1648,7.1,3239,9.8,8.3,null
13.4,8278,2209,"211031265",11.8,4.8,1365,"Croydon Hills - Warranwood",719,1193,2018,752,4.0,2512,7.3,6.4,null
8.6,5843,2698,"211031266",14.8,4.2,998,"Ringwood",632,1374,2018,898,4.9,1570,5.5,7.5,null
8.8,7692,3156,"211031267",14.9,4.3,1248,"Ringwood East",736,1614,2018,922,4.3,1870,5.9,7.6,null
12.9,4138,2719,"211011447",19.0,4.8,1097,"Ferntree Gully (North)",568,1224,2018,727,5.1,1846,7.7,8.6,null
11.6,4507,1147,"211031268",11.5,4.2,890,"Ringwood North",333,732,2018,369,3.7,1154,8.9,7.3,null
11.8,4906,2810,"211011448",18.4,4.4,1324,"Ferntree Gully (South) - Upper Ferntree Gully",545,1231,2018,701,4.6,1802,8.7,8.1,null
14.4,1447,777,"211011449",17.3,4.9,434,"The Basin",173,356,2018,220,4.9,647,9.7,7.9,null
7.9,3817,1562,"211031263",12.7,4.3,559,"Bayswater North",432,879,2018,489,4.0,973,4.5,7.1,null
7.4,4565,2523,"211031450",15.5,4.3,772,"Croydon - East",572,1207,2018,716,4.4,1206,4.7,7.4,null
10.4,4843,2380,"211031451",16.8,4.5,890,"Croydon - West",514,1285,2018,721,5.1,1471,6.3,9.0,null
11.7,4015,1906,"211041269",16.9,4.6,774,"Forest Hill",428,950,2018,612,5.4,1321,6.9,8.4,null
13.0,6868,2663,"211041270",15.3,4.3,1537,"Mitcham (Vic.)",606,1245,2018,750,4.3,2258,8.8,7.2,null
11.2,4513,2262,"211041271",17.8,4.1,1132,"Nunawading",422,1263,2018,605,4.8,1415,8.9,10.0,null
9.6,4376,1857,"211041272",16.7,4.2,709,"Vermont",366,869,2018,553,5.0,1071,6.4,7.8,null
9.5,5373,1666,"211041273",13.6,4.2,769,"Vermont South",430,1092,2018,519,4.3,1158,6.3,8.9,null
15.9,3363,1770,"211051274",16.9,4.9,1032,"Belgrave - Selby",409,817,2018,459,4.4,1671,9.8,7.8,null
12.3,2664,1697,"212011288",18.6,4.8,763,"Bunyip - Garfield",348,854,2018,452,5.0,1119,8.4,9.4,null
12.0,5897,2849,"212011289",15.2,4.7,1547,"Emerald - Cockatoo",701,1581,2018,787,4.2,2244,8.3,8.4,null
13.7,1873,1528,"212011290",18.8,4.7,794,"Koo Wee Rup",298,754,2018,452,5.6,1115,9.8,9.3,null
12.1,4016,1994,"211051275",18.1,4.4,872,"Chirnside Park",394,885,2018,561,5.1,1326,7.9,8.1,null
12.0,2664,2086,"211051277",22.1,4.7,800,"Kilsyth",359,886,2018,501,5.3,1139,8.5,9.4,null
12.1,6308,3170,"211051278",16.1,4.6,1710,"Lilydale - Coldstream",738,1611,2018,940,4.8,2393,8.7,8.2,null
14.3,1849,1042,"211051279",17.7,4.8,603,"Monbulk - Silvan",228,578,2018,292,5.0,841,10.2,9.8,null
10.9,2351,980,"211051280",14.1,4.6,474,"Montrose",254,508,2018,282,4.1,759,6.8,7.3,null
14.6,7183,4674,"211051281",19.8,4.5,2288,"Mooroolbark",850,2077,2018,975,4.1,3444,9.7,8.8,null
