yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_prt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_ttl_prsns_agd_nm, occptn_emplyd_prsns_prcntge_of_ttl_cnss_tchncns_trds_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_10_eqvlnt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_awy_wrk_stdyng_fl_tme_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_hlth_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_lbrrs_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_ttl_ppltn_and_ovr_nm, yth_15_19_yrs_enggmnt_wrkstdy_cnss_flly_enggd_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_wthn_a_lng_dy_cre, jobs_australia_year_ended_30_june_number_employee_manufacturing, labour_force_status_persons_aged_15_years_census_num, labour_force_status_persons_aged_15_years_census_unemployed_num, jbs_astrla_yr_endd_30_jne_nmbr_emplye_trnsprt_pstl_wrhsng, sa2_name_2016, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_archte_and_bldng_pc, jobs_in_australia_year_ended_30_june_number_of_jobs_persons, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_go_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_rntl_hrng_rl_estte_srvcs, children_attending_preschool_program_1_july_15_hours_num, jobs_australia_year_ended_30_june_number_employee_construction, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_infrmt_tchnlgy_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_scty_and_cltre_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_nm, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_crtfcte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_fnnce_insrnce_srvcs, youth_15_19_years_engagement_workstudy_census_fully_engaged_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_of_indqtly_dscrb_std, hghr_edctn_ln_prgrm_hlp_rpymnts_yr_endd_30_jne_txpyrs_rpymnt_nm, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_acrs_one_prvd_type_n, ocptn_emplyd_prsn_prcntge_of_tl_cns_cmnty_prsnl_srvce_wrks_pc, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_advncd_dplmdplma_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_hlth_cre_scl_assstnce, jobs_australia_year_ended_30_june_number_employee_jobs_total, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_pblc_admnstrtn_sfty, jobs_in_australia_year_ended_30_june_number_of_jobs_males, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_crtve_arts_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_stdyng_fll_tme_wrkng_pc, persons_non_school_qualifications_aged_15_years_census_pc, labour_force_status_persons_aged_15_years_census_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_accmmdtn_fd_srvcs, jbs_astrla_yr_endd_30_jne_nmbr_emplye_admnstrtve_spprt_srvcs, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_pstgrdte_dgre_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_ntrl_and_physcl_scn, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_fll_pc, prsn_n_schl_qlfctns_agd_15_yrs_cns_grdte_dplmgrte_crtfe_pc, jobs_australia_year_ended_30_june_number_employee_jobs_mining, jobs_in_australia_year_ended_30_june_number_of_jobs_females, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mngrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_11_eqvlnt_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_fl_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_agrcltre_frstry_fshng, children_attending_preschool_program_1_july_less_15_hours_num, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_edctn_trnng, occptn_emplyd_prsns_prcntge_of_ttl_cnss_prfssnls_pc, highest_year_school_completed_persons_aged_15_years_census_8_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_indqtly_dscrbd_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_in_a_nm, labour_force_status_persons_aged_15_years_census_stated_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_mxd_prgrmms_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_arts_rcrtn_srvcs, jobs_australia_year_ended_30_june_number_employee_retail_trade, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_fd_hsptly_and_prsnl, lbr_frce_stts_prsns_agd_15_yrs_cnss_prtcptn_rte_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mchnry_oprtrs_drvrs_pc, ocptn_emplyd_prsn_prcntge_of_tl_cns_clr_admnstrve_wrks_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_unmplymnt_rte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_whlsle_trde, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_edctn_pc, labour_force_status_persons_aged_15_years_census_employed_num, sa2_maincode_2016, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_engr_and_rltd_tchnlg, occptn_emplyd_prsns_prcntge_of_ttl_cnss_sls_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_12_eqvlnt_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_agrclte_envrmtl_and, yr, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_9_eqvlnt_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_infrmtn_mda_tlcmmnctns, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_bchlr_dgre_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_of_sttd_pc, jbs_astrl_yr_end_30_jne_nmbr_emply_elctry_gs_wtr_wste_srvc, jbs_astrl_yr_end_30_jne_nmbr_emply_prfsnl_scntf_tchnl_srvc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_mngt_and_cmre_pc, jobs_australia_year_ended_30_june_number_employee_jobs_services, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_indqtly_dscrbd_pc
null,null,null,null,null,null,null,null,null,null,81,null,null,null,null,"Brunswick East",null,null,null,23,null,98,null,null,null,20,null,null,null,null,null,11,null,null,null,null,109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14,null,null,null,null,null,88,null,null,null,null,null,null,null,null,null,null,null,null,"206011106",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,39,null,null,null,null,"South Yarra - West",null,null,null,13,null,49,null,null,null,18,null,null,null,null,null,null,null,null,null,null,55,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,null,40,null,null,null,null,null,null,null,null,null,null,null,null,"206041125",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,"Aspendale Gardens - Waterways",null,null,null,27,null,117,null,null,null,25,null,null,null,null,null,9,null,null,null,null,132,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,null,null,null,null,null,110,null,null,null,null,null,null,null,null,null,null,null,null,"208031183",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,72,null,null,null,null,"Brunswick West",null,null,null,40,null,149,null,null,null,68,null,null,null,null,null,27,null,null,null,null,167,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12,null,null,null,null,null,127,null,null,null,null,null,null,null,null,null,null,null,null,"206011107",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,265,null,null,null,null,"Coburg",null,null,null,106,null,321,null,null,null,84,null,null,null,null,null,23,null,null,null,null,374,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40,null,null,null,null,null,267,null,null,null,null,null,null,null,null,null,null,null,null,"206011108",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,76,null,null,null,null,"Pascoe Vale South",null,null,null,48,null,147,null,null,null,61,null,null,null,null,null,30,null,null,null,null,163,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16,null,null,null,null,null,119,null,null,null,null,null,null,null,null,null,null,null,null,"206011109",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,96,null,null,null,null,"Cheltenham - Highett (West)",null,null,null,61,null,210,null,null,null,86,null,null,null,null,null,49,null,null,null,null,232,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20,null,null,null,null,null,168,null,null,null,null,null,null,null,null,null,null,null,null,"208011171",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,"Alphington - Fairfield",null,null,null,37,null,108,null,null,null,23,null,null,null,null,null,13,null,null,null,null,132,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12,null,null,null,null,null,94,null,null,null,null,null,null,null,null,null,null,null,null,"206021110",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,231,null,null,null,null,"Northcote",null,null,null,85,null,301,null,null,null,82,null,null,null,null,null,36,null,null,null,null,351,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40,null,null,null,null,null,266,null,null,null,null,null,null,null,null,null,null,null,null,"206021111",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,152,null,null,null,null,"Thornbury",null,null,null,70,null,218,null,null,null,72,null,null,null,null,null,45,null,null,null,null,263,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31,null,null,null,null,null,190,null,null,null,null,null,null,null,null,null,null,null,null,"206021112",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,75,null,null,null,null,"Flemington",null,null,null,25,null,90,null,null,null,26,null,null,null,null,null,10,null,null,null,null,104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,null,null,null,null,null,81,null,null,null,null,null,null,null,null,null,null,null,null,"206031115",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,124,null,null,null,null,"Ascot Vale",null,null,null,66,null,226,null,null,null,87,null,null,null,null,null,58,null,null,null,null,266,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29,null,null,null,null,null,203,null,null,null,null,null,null,null,null,null,null,null,null,"206031113",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,125,null,null,null,null,"Essendon - Aberfeldie",null,null,null,88,null,284,null,null,null,149,null,null,null,null,null,55,null,null,null,null,331,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35,null,null,null,null,null,238,null,null,null,null,null,null,null,null,null,null,null,null,"206031114",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,38,null,null,null,null,"Carlton",null,null,null,9,null,36,null,null,null,7,null,null,null,null,null,null,null,null,null,null,46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9,null,null,null,null,null,36,null,null,null,null,null,null,null,null,null,null,null,null,"206041117",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,95,null,null,null,null,"Moonee Ponds",null,null,null,41,null,168,null,null,null,59,null,null,null,null,null,28,null,null,null,null,180,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12,null,null,null,null,null,141,null,null,null,null,null,null,null,null,null,null,null,null,"206031116",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,124,null,null,null,null,"Kensington (Vic.)",null,null,null,29,null,107,null,null,null,6,null,null,null,null,null,null,null,null,null,null,132,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,"206041121",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,17,null,null,null,null,"Parkville",null,null,null,3,null,20,null,null,null,5,null,null,null,null,null,null,null,null,null,null,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24,null,null,null,null,null,null,null,null,null,null,null,null,"206041124",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,118,null,null,null,null,"North Melbourne",null,null,null,31,null,128,null,null,null,33,null,null,null,null,null,8,null,null,null,null,154,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,null,null,null,128,null,null,null,null,null,null,null,null,null,null,null,null,"206041123",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,49,null,null,null,null,"Southbank",null,null,null,13,null,63,null,null,null,21,null,null,null,null,null,null,null,null,null,null,75,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9,null,null,null,null,null,60,null,null,null,null,null,null,null,null,null,null,null,null,"206041126",null,null,null,null,2019,null,null,null,null,null,null,null,null,null
