births_2017_18, births_2016_17, erp_change_number_2018_19, erp_change_per_cent_2018_19, deaths_2018_19, sa2_name_2016, internal_departures_2018_19, pop_density_2019_people_per_km2, gccsa_name_2016, natural_increase_2018_19, overseas_departures_2018_19, natural_increase_2017_18, overseas_departures_2017_18, internal_arrivals_2017_18, deaths_2017_18, internal_arrivals_2016_17, state_name_2016, internal_departures_2016_17, deaths_2016_17, erp_2017, erp_2018, erp_2019, net_internal_migration_2017_18, net_overseas_migration_2016_17, sa3_name_2016, net_internal_migration_2018_19, net_overseas_migration_2018_19, overseas_arrivals_2016_17, area_km2, overseas_arrivals_2017_18, state_code_2016, erp_2008, erp_2009, erp_2006, erp_2007, net_internal_migration_2016_17, erp_2012, erp_2011, erp_2010, erp_2016, erp_2015, erp_2014, erp_2013, sa4_name_2016, overseas_arrivals_2018_19, internal_departures_2017_18, natural_increase_2016_17, sa2_maincode_2016, sa4_code_2016, overseas_departures_2016_17, erp_2001, erp_2003, erp_2002, erp_2005, erp_2004, internal_arrivals_2018_19, gccsa_code_2016, net_overseas_migration_2017_18, births_2018_19, sa3_code_2016
95,90,84,0.592100024223328,84,"Toorak",1630,3300.95068359375,"Greater Melbourne",15,267,4,251,1540,91,1390,"Victoria",1464,88,14126,14187,14271,-84,162,"Stonnington - West",-65,134,389,4.32329988479614,392,2,13956,13979,13765,13861,-74,13795,13768,13939,14036,13939,13878,13841,"Melbourne - Inner",401,1624,2,"206061138",206,227,13318,13455,13367,13672,13563,1565,"2GMEL",141,99,20606
168,180,143,0.621200025081635,215,"Camberwell",2129,3176.67553710938,"Greater Melbourne",-45,504,-79,473,2127,247,2056,"Victoria",2022,240,22902,23021,23164,-68,282,"Boroondara",-65,253,712,7.29190015792847,739,2,20479,20701,20218,20339,34,21144,20918,20822,22646,22179,21739,21381,"Melbourne - Inner East",757,2195,-60,"207011149",207,430,20073,20126,20112,20202,20144,2064,"2GMEL",266,170,20701
124,133,61,0.350600004196167,120,"Surrey Hills (West) - Canterbury",1607,3061.41064453125,"Greater Melbourne",-30,309,-5,289,1504,129,1430,"Victoria",1446,133,17295,17397,17458,-57,185,"Boroondara",-64,155,448,5.70260000228882,453,2,16451,16570,16206,16314,-16,16695,16633,16608,17126,16963,16864,16792,"Melbourne - Inner East",464,1561,0,"207011155",207,263,15952,15984,15975,16122,16035,1543,"2GMEL",164,90,20701
139,123,161,1.20179998874664,61,"Sunbury",1352,104.655502319336,"Greater Melbourne",100,29,77,26,1277,62,932,"Victoria",973,61,13306,13397,13558,-31,47,"Sunbury",17,44,71,129.548797607422,71,2,12777,12961,12210,12542,-41,13077,13072,13050,13238,13170,13129,13088,"Melbourne - North West",73,1308,62,"210041240",210,24,10282,10941,10508,11964,11492,1369,"2GMEL",45,161,21004
179,214,241,1.26160001754761,113,"Hampton",1894,3402.8779296875,"Greater Melbourne",47,287,82,267,1756,97,1581,"Victoria",1650,109,18868,19103,19344,-62,221,"Bayside",-19,213,463,5.68459987640381,482,2,17042,17302,16568,16790,-69,17838,17699,17471,18611,18345,18165,17999,"Melbourne - Inner South",500,1818,105,"208011172",208,242,16026,16174,16083,16326,16237,1875,"2GMEL",215,160,20801
375,322,1262,4.29650020599365,143,"Sunbury - South",2352,233.612594604492,"Greater Melbourne",244,78,228,71,2720,147,2155,"Victoria",1684,156,28452,29373,30635,569,129,"Sunbury",897,121,192,131.135894775391,195,2,23447,24128,22511,22884,471,25350,24940,24599,27686,26779,26191,25685,"Melbourne - North West",199,2151,166,"210041241",210,63,20226,21106,20524,21966,21598,3249,"2GMEL",124,387,21004
90,75,192,2.09739995002747,39,"Bunyip - Garfield",707,25.0487995147705,"Greater Melbourne",62,11,44,10,797,46,648,"Victoria",594,49,9026,9154,9346,66,18,"Cardinia",112,18,27,373.111297607422,28,2,8016,8234,7848,7859,54,8514,8383,8330,8928,8796,8700,8610,"Melbourne - South East",29,731,26,"212011288",212,9,7628,7699,7696,7766,7743,819,"2GMEL",18,101,21201
179,204,129,0.686999976634979,85,"Emerald - Cockatoo",1502,50.8712997436523,"Greater Melbourne",107,25,85,23,1486,94,1063,"Victoria",1074,92,18722,18776,18905,-69,41,"Cardinia",-16,38,61,371.624114990234,61,2,17793,17902,17628,17699,-11,18072,18012,17969,18580,18375,18241,18144,"Melbourne - South East",63,1555,112,"212011289",212,20,16964,17173,17062,17454,17332,1486,"2GMEL",38,192,21201
103,100,414,5.07849979400635,49,"Koo Wee Rup",768,20.9214992523193,"Greater Melbourne",70,9,53,8,809,50,759,"Victoria",523,53,7965,8152,8566,120,16,"Cardinia",330,14,23,409.435089111328,22,2,5884,6223,5751,5773,236,6887,6695,6419,7666,7397,7204,7042,"Melbourne - South East",23,689,47,"212011290",212,7,5231,5354,5264,5531,5396,1098,"2GMEL",14,119,21201
104,83,132,1.59300005435944,28,"Hughesdale",870,4188.89306640625,"Greater Melbourne",53,169,68,155,671,36,621,"Victoria",731,40,8184,8286,8418,-152,213,"Glen Eira",-102,181,353,2.00959992408752,341,2,7253,7465,6764,7045,-110,7528,7384,7485,8038,7882,7748,7648,"Melbourne - Inner South",350,823,43,"208021180",208,140,6382,6440,6382,6636,6569,768,"2GMEL",186,81,20802
110,117,108,1.08089995384216,61,"Murrumbeena",1084,4016.22412109375,"Greater Melbourne",35,195,44,179,926,66,849,"Victoria",1021,67,9915,9992,10100,-182,228,"Glen Eira",-135,208,389,2.51480007171631,394,2,8896,8977,8548,8744,-172,9143,8983,8990,9809,9640,9458,9283,"Melbourne - Inner South",403,1108,50,"208021181",208,161,8004,8117,8083,8387,8262,949,"2GMEL",215,96,20802
161,161,202,1.39069998264313,51,"Ormond - Glen Huntly",1925,5014.12939453125,"Greater Melbourne",110,476,117,438,1526,44,1339,"Victoria",1738,45,14283,14525,14727,-389,509,"Glen Eira",-417,509,904,2.93709993362427,952,2,12369,12695,11703,12049,-399,13205,12967,12835,14057,13742,13597,13403,"Melbourne - Inner South",985,1915,116,"208021182",208,395,10915,11025,11024,11288,11131,1508,"2GMEL",514,161,20802
164,166,503,3.13809990882874,63,"Bentleigh East (North)",1500,3594.77270507812,"Greater Melbourne",93,181,95,166,1496,69,1266,"Victoria",1344,81,15732,16029,16532,3,243,"Glen Eira",217,193,362,4.59889984130859,365,2,13706,14046,13194,13413,-78,14411,14196,14152,15482,15198,14930,14648,"Melbourne - Inner South",374,1493,85,"208021426",208,119,12594,12716,12654,13023,12877,1717,"2GMEL",199,156,20802
138,178,231,1.62779998779297,83,"Bentleigh East (South)",1348,3143.28051757812,"Greater Melbourne",76,90,47,81,1296,91,1138,"Victoria",1114,95,14023,14191,14422,-21,149,"Glen Eira",18,137,221,4.58820009231567,223,2,12446,12660,12087,12179,24,12890,12786,12766,13767,13467,13228,13003,"Melbourne - Inner South",227,1317,83,"208021427",208,72,11814,11849,11856,11986,11907,1366,"2GMEL",142,159,20802
67,84,7,0.0737999975681305,31,"Aspendale Gardens - Waterways",691,1789.23364257812,"Greater Melbourne",42,54,30,49,516,37,486,"Victoria",600,25,9451,9489,9496,-72,79,"Kingston",-118,83,122,5.30730009078979,129,2,8269,8818,7365,7857,-114,9216,9109,8987,9427,9366,9358,9281,"Melbourne - Inner South",137,588,59,"208031183",208,43,5561,6421,6096,6971,6683,573,"2GMEL",80,73,20803
0,0,0,0.0,0,"Braeside",0,6.60650014877319,"Greater Melbourne",0,0,0,0,0,0,0,"Victoria",0,0,60,60,60,0,0,"Kingston",0,0,0,9.08189964294434,0,2,16,18,14,15,0,28,20,19,60,52,44,36,"Melbourne - Inner South",0,0,0,"208031184",208,0,14,14,14,14,14,0,"2GMEL",0,0,20803
96,113,234,2.39409995079041,38,"Alphington - Fairfield",1066,3468.61669921875,"Greater Melbourne",66,131,54,121,948,42,890,"Victoria",915,26,9650,9774,10008,-75,154,"Darebin - South",27,141,263,2.88529992103577,266,2,8270,8377,8105,8189,-25,8706,8561,8506,9434,9134,8944,8827,"Melbourne - Inner",272,1023,87,"206021110",206,109,7885,7951,7924,8032,7976,1093,"2GMEL",145,104,20602
119,141,1431,6.15189981460571,52,"Carlton",2560,13578.2236328125,"Greater Melbourne",52,2757,59,2580,1889,60,1927,"Victoria",2445,50,21835,23261,24692,-727,2020,"Melbourne City",-651,2030,4719,1.81850004196167,4674,2,14133,14687,12737,13509,-518,15605,15122,14926,20242,18983,17843,16719,"Melbourne - Inner",4787,2616,91,"206041117",206,2699,9529,10611,10022,11924,11224,1909,"2GMEL",2094,104,20604
164,198,108,1.07860004901886,57,"Seddon - Kingsville",1218,6023.3291015625,"Greater Melbourne",116,118,113,110,1130,51,1020,"Victoria",1132,47,9875,10013,10121,-106,125,"Maribyrnong",-136,128,224,1.68029999732971,241,2,8465,8569,8301,8356,-112,8897,8701,8618,9711,9521,9321,9091,"Melbourne - West",246,1236,151,"213031350",213,99,8081,8118,8079,8202,8153,1082,"2GMEL",131,173,21303
156,139,716,4.77810001373291,12,"Docklands",1631,6424.30419921875,"Greater Melbourne",183,1564,147,1470,1834,9,1991,"Victoria",1255,6,13694,14985,15701,504,993,"Melbourne City",13,520,2335,2.44400000572205,2110,2,5040,5402,4152,4592,736,6802,6196,5780,11832,10444,9170,7988,"Melbourne - Inner",2084,1330,133,"206041118",206,1342,154,1913,926,3779,3089,1644,"2GMEL",640,195,20604
42,46,175,3.04719996452332,30,"East Melbourne",718,2040.83044433594,"Greater Melbourne",8,181,-1,170,761,43,708,"Victoria",666,40,5661,5743,5918,-13,138,"Melbourne City",76,91,292,2.89980006217957,266,2,5055,5202,4555,4806,42,5280,5238,5272,5475,5411,5374,5333,"Melbourne - Inner",272,774,6,"206041119",206,154,3731,4243,3859,4495,4460,794,"2GMEL",96,38,20604
0,0,0,0.0,0,"Flemington Racecourse",0,53.2382011413574,"Greater Melbourne",0,0,0,0,0,0,0,"Victoria",0,0,91,91,91,0,0,"Melbourne City",0,0,0,1.70930004119873,0,2,73,79,63,68,0,87,86,83,91,90,89,88,"Melbourne - Inner",0,0,0,"206041120",206,0,37,46,42,56,50,0,"2GMEL",0,0,20604
182,184,307,2.58719992637634,37,"Kensington (Vic.)",1450,5669.77197265625,"Greater Melbourne",120,237,137,221,1350,45,1155,"Victoria",1326,54,11673,11866,12173,-122,184,"Melbourne City",11,176,385,2.1470000743866,399,2,9828,10158,9013,9481,-171,10487,10259,10230,11530,11291,11030,10762,"Melbourne - Inner",413,1472,130,"206041121",206,201,7686,8155,8007,8830,8605,1461,"2GMEL",178,157,20604
255,236,2647,5.37489986419678,34,"Melbourne",4094,21905.4453125,"Greater Melbourne",235,6711,229,6291,4155,26,4926,"Victoria",4033,44,45327,49247,51894,-81,4061,"Melbourne City",-1033,3445,10408,2.36899995803833,10063,2,17325,18751,15249,16225,893,24882,21815,20382,40181,37162,33626,29650,"Melbourne - Inner",10156,4236,192,"206041122",206,6347,7644,11400,9592,14292,12727,3061,"2GMEL",3772,269,20604
204,171,1092,4.30480003356934,45,"North Melbourne",3162,8143.2353515625,"Greater Melbourne",161,1643,147,1529,2993,57,2685,"Victoria",2776,49,23673,25367,26459,284,1536,"Melbourne City",-284,1215,2923,3.24920010566711,2792,2,14812,15409,13714,14277,-91,17412,16361,15875,22106,20779,19644,18636,"Melbourne - Inner",2858,2709,122,"206041123",206,1387,11639,12250,11939,13278,12826,2878,"2GMEL",1263,206,20604
50,52,309,3.65809988975525,100,"Parkville",1095,2162.40234375,"Greater Melbourne",-40,572,9,536,983,41,995,"Victoria",974,65,8283,8447,8756,-147,377,"Melbourne City",62,287,857,4.0492000579834,838,2,6000,6331,5270,5649,21,6872,6551,6482,7898,7682,7447,7174,"Melbourne - Inner",859,1130,-13,"206041124",206,480,5332,5253,5327,5157,5201,1157,"2GMEL",302,60,20604
62,59,86,1.24210000038147,87,"South Yarra - West",904,4664.9365234375,"Greater Melbourne",-28,236,-15,221,951,77,1205,"Victoria",1001,66,6814,6924,7010,1,164,"Melbourne City",-4,118,357,1.50269997119904,345,2,6118,6380,5538,5837,204,6400,6426,6418,6453,6405,6397,6393,"Melbourne - Inner",354,950,-7,"206041125",206,193,5317,5176,5233,5289,5183,900,"2GMEL",124,59,20604
342,321,807,2.76500010490417,133,"Brunswick",3680,5832.37744140625,"Greater Melbourne",172,847,193,789,3552,149,3027,"Victoria",3100,140,28220,29186,29993,132,677,"Brunswick - Coburg",8,627,1401,5.14249992370605,1430,2,22641,23110,21655,22144,-73,24656,23987,23546,27435,26799,26155,25384,"Melbourne - Inner",1474,3420,181,"206011105",206,724,20661,21015,20906,21384,21147,3688,"2GMEL",641,305,20601
160,176,374,2.46560001373291,70,"Brunswick West",1849,4888.50439453125,"Greater Melbourne",96,309,77,284,1795,83,1410,"Victoria",1628,79,14763,15169,15543,-11,361,"Brunswick - Coburg",-52,330,618,3.17950010299683,624,2,13232,13580,12746,12946,-218,13963,13864,13741,14523,14344,14192,14057,"Melbourne - Inner",639,1806,97,"206011107",206,257,12415,12449,12404,12609,12527,1797,"2GMEL",340,166,20601
380,355,542,1.89110004901886,145,"Coburg",3022,4211.0576171875,"Greater Melbourne",214,359,244,325,2625,136,2295,"Victoria",2613,163,28240,28660,29202,-381,564,"Brunswick - Coburg",-227,555,855,6.93459987640381,882,2,25319,25841,24353,24772,-318,26540,26234,26015,27802,27420,27127,26843,"Melbourne - Inner",914,3006,192,"206011108",206,291,22916,23330,23137,23998,23584,2795,"2GMEL",557,359,20601
127,119,112,1.02110004425049,60,"Pascoe Vale South",895,3707.63208007812,"Greater Melbourne",43,70,59,63,914,68,879,"Victoria",752,64,10763,10969,11081,36,116,"Brunswick - Coburg",-38,107,172,2.9886999130249,174,2,9445,9678,9206,9318,127,9954,9860,9810,10465,10251,10122,10038,"Melbourne - Inner",177,878,55,"206011109",206,56,8841,8894,8860,9070,8967,857,"2GMEL",111,103,20601
191,197,1900,7.77920007705688,17,"Southbank",3598,8562.599609375,"Greater Melbourne",184,2233,179,2107,4854,12,3324,"Victoria",2509,17,22210,24424,26324,1269,927,"Melbourne City",1007,709,2846,3.07430005073547,2873,2,11408,11931,9863,10697,815,13746,12174,12130,20288,18626,17355,15964,"Melbourne - Inner",2942,3585,180,"206041126",206,1919,4330,7102,5645,9097,8167,4605,"2GMEL",766,201,20604
277,284,390,1.41700005531311,127,"Northcote",3044,4542.39208984375,"Greater Melbourne",158,392,132,365,2868,145,2605,"Victoria",2514,140,26989,27523,27913,100,330,"Darebin - South",-58,290,660,6.14499998092651,667,2,23282,23821,22220,22726,91,24419,24152,24070,26424,25992,25551,24982,"Melbourne - Inner",682,2768,144,"206021111",206,330,21150,21369,21244,21817,21567,2986,"2GMEL",302,285,20602
263,274,237,1.1764999628067,138,"Thornbury",2279,4078.48388671875,"Greater Melbourne",105,216,128,199,2108,135,2089,"Victoria",2175,139,19880,20144,20381,-102,253,"Darebin - South",-100,232,433,4.99720001220703,437,2,17880,18064,17368,17622,-86,18484,18258,18177,19578,19254,18985,18773,"Melbourne - Inner",448,2210,135,"206021112",206,180,17056,17084,17084,17193,17118,2179,"2GMEL",238,243,20602
256,256,252,1.55019998550415,53,"Ascot Vale",1829,4303.3291015625,"Greater Melbourne",184,175,204,158,1729,52,1666,"Victoria",1747,57,15906,16256,16508,-132,291,"Essendon",-204,272,432,3.83610010147095,436,2,13671,13914,12890,13275,-81,14309,14135,14012,15497,15219,14870,14491,"Melbourne - Inner",447,1861,199,"206031113",206,141,12516,12645,12595,12782,12693,1625,"2GMEL",278,237,20603
113,118,195,1.89209997653961,59,"Armadale",1352,4809.2509765625,"Greater Melbourne",63,194,51,182,1665,62,1266,"Victoria",1269,68,9783,10306,10501,369,117,"Stonnington - West",33,99,283,2.18350005149841,285,2,9148,9260,8863,8990,-3,9308,9301,9318,9619,9485,9387,9338,"Melbourne - Inner",293,1296,50,"206061135",206,166,8632,8724,8683,8783,8770,1385,"2GMEL",103,122,20606
257,286,552,1.81729996204376,155,"Essendon - Aberfeldie",2861,3663.03442382812,"Greater Melbourne",84,413,98,380,2887,159,2623,"Victoria",2426,154,29749,30375,30927,74,474,"Essendon",26,442,817,8.44299983978271,834,2,24854,25262,24395,24583,197,26169,25845,25575,28946,28065,27304,26631,"Melbourne - Inner",855,2813,132,"206031114",206,343,23968,23925,23933,24167,24025,2887,"2GMEL",454,239,20603
154,176,151,1.34889996051788,50,"Flemington",1471,7176.74609375,"Greater Melbourne",103,240,106,218,1304,48,1074,"Victoria",1462,43,10858,11194,11345,-151,379,"Essendon",-326,374,574,1.58080005645752,599,2,8841,9030,8410,8661,-388,9791,9547,9261,10734,10531,10311,10068,"Melbourne - Inner",614,1455,133,"206031115",206,195,8063,8018,8071,8240,8124,1145,"2GMEL",381,153,20603
166,193,323,2.05369997024536,118,"Moonee Ponds",1758,3685.56420898438,"Greater Melbourne",52,233,70,215,1602,96,1465,"Victoria",1554,93,15441,15728,16051,-39,272,"Essendon",22,249,466,4.35510015487671,471,2,13618,14014,13123,13287,-89,14436,14168,14164,15158,14949,14820,14666,"Melbourne - Inner",482,1641,100,"206031116",206,194,12608,12777,12691,12971,12830,1780,"2GMEL",256,170,20603
0,0,0,0.0,0,"West Melbourne",0,0.483900010585785,"Greater Melbourne",0,0,0,0,0,0,0,"Victoria",0,0,3,3,3,0,0,"Melbourne City",0,0,0,6.19920015335083,0,2,0,0,0,0,0,0,0,0,3,0,0,0,"Melbourne - Inner",0,0,0,"206041127",206,0,0,0,0,0,0,0,"2GMEL",0,0,20604
195,200,598,3.47510004043579,58,"Albert Park",1877,3809.01440429688,"Greater Melbourne",108,554,117,520,1932,78,1697,"Victoria",1917,64,16738,17208,17806,61,332,"Port Phillip",212,278,805,4.6746997833252,812,2,13928,14245,13550,13731,-220,15142,15009,14595,16490,16053,15592,15282,"Melbourne - Inner",832,1871,136,"206051128",206,473,12368,12800,12595,13269,12997,2089,"2GMEL",292,166,20605
200,209,123,0.739600002765656,35,"Elwood",2314,6562.4755859375,"Greater Melbourne",197,416,159,389,1940,41,1868,"Victoria",2102,40,16566,16631,16754,-315,249,"Port Phillip",-283,209,604,2.55299997329712,610,2,15076,15425,14477,14790,-234,15807,15666,15552,16382,16145,16063,15910,"Melbourne - Inner",625,2255,169,"206051129",206,355,13342,13683,13500,14216,13934,2031,"2GMEL",221,232,20605
224,245,207,1.16019999980927,69,"Port Melbourne",1835,6470.56689453125,"Greater Melbourne",125,324,148,301,1624,76,1578,"Victoria",1789,68,17682,17842,18049,-227,247,"Port Phillip",-157,239,520,2.78940010070801,540,2,14958,15315,14049,14577,-211,15964,15413,15363,17469,17254,16915,16498,"Melbourne - Inner",563,1851,177,"206051130",206,273,10903,12515,11794,13543,13037,1678,"2GMEL",239,194,20605
230,261,194,0.880200028419495,121,"Prahran - Windsor",3277,7652.64697265625,"Greater Melbourne",96,631,100,586,2906,130,2767,"Victoria",2922,153,21742,22040,22234,-282,514,"Stonnington - West",-368,466,1046,2.9054000377655,1066,2,18299,18583,17594,17921,-155,19401,18738,18695,21275,20834,20481,19977,"Melbourne - Inner",1097,3188,108,"206061136",206,532,16588,16820,16724,17358,17117,2909,"2GMEL",480,217,20606
4,0,179,69.1119995117188,0,"Port Melbourne Industrial",190,63.7610015869141,"Greater Melbourne",6,5,4,5,243,0,0,"Victoria",0,0,25,259,438,222,0,"Port Phillip",165,8,0,6.86940002441406,13,2,11,13,9,10,0,17,15,14,25,23,21,19,"Melbourne - Inner",13,21,0,"206051131",206,0,9,9,9,9,9,355,"2GMEL",8,6,20605
178,167,340,2.58179998397827,77,"South Melbourne",1888,5414.86279296875,"Greater Melbourne",53,344,86,320,1872,92,1428,"Victoria",1525,89,12761,13169,13509,59,288,"Port Phillip",34,253,578,2.49480009078979,583,2,10126,10343,9719,9963,-97,10989,10396,10400,12492,12253,11972,11521,"Melbourne - Inner",597,1813,78,"206051132",206,290,8529,9021,8771,9532,9375,1922,"2GMEL",263,130,20605
276,264,561,1.87709999084473,167,"St Kilda",3931,7804.921875,"Greater Melbourne",97,1149,127,1069,3726,149,3716,"Victoria",3975,171,28934,29886,30447,-48,934,"Port Phillip",-385,849,1903,3.90100002288818,1942,2,22918,23451,21990,22471,-259,25233,24091,23798,28166,27349,26760,26027,"Melbourne - Inner",1998,3774,93,"206051133",206,969,19808,20680,20203,21537,21061,3546,"2GMEL",873,264,20605
241,245,321,1.75769996643066,55,"St Kilda East",2382,7699.6064453125,"Greater Melbourne",153,476,186,443,2165,55,1921,"Victoria",2188,50,17916,18262,18583,-201,375,"Port Phillip",-185,353,777,2.4135000705719,804,2,16157,16480,15847,15948,-267,16755,16686,16653,17613,17315,17139,16912,"Melbourne - Inner",829,2366,195,"206051134",206,402,15095,15462,15348,15725,15604,2197,"2GMEL",361,208,20605
109,103,233,2.3643000125885,28,"Abbotsford",1359,5796.03564453125,"Greater Melbourne",77,365,76,328,1448,33,1396,"Victoria",1041,40,9453,9855,10088,120,265,"Yarra",-26,182,530,1.74049997329712,534,2,4727,4833,4537,4638,355,5544,5213,5029,8770,8078,7411,6539,"Melbourne - Inner",547,1328,63,"206071139",206,265,4150,4444,4339,4498,4452,1333,"2GMEL",206,105,20607
93,78,27,0.294099986553192,35,"Carlton North - Princes Hill",1180,3995.74682617188,"Greater Melbourne",55,282,54,265,1066,39,985,"Victoria",1121,27,9127,9180,9207,-144,154,"Yarra",-169,141,394,2.30419993400574,408,2,8747,8761,8586,8692,-136,8800,8786,8801,9058,8964,8893,8835,"Melbourne - Inner",423,1210,51,"206071140",206,240,8433,8457,8450,8525,8484,1011,"2GMEL",143,90,20607
115,123,607,5.84950017929077,30,"Collingwood",1387,8668.61328125,"Greater Melbourne",88,215,96,194,1387,19,1205,"Victoria",1036,43,9826,10377,10984,123,342,"Yarra",186,333,516,1.26709997653961,526,2,6185,6454,5761,5939,169,7209,6867,6684,9235,8582,8022,7427,"Melbourne - Inner",548,1264,80,"206071141",206,174,5221,5537,5419,5653,5602,1573,"2GMEL",332,118,20607
145,147,177,1.50950002670288,77,"Fitzroy",1701,8637.880859375,"Greater Melbourne",57,258,107,237,1406,38,1212,"Victoria",1364,60,11479,11726,11903,-139,285,"Yarra",-155,275,500,1.37800002098083,516,2,9857,10050,9241,9596,-152,10507,10214,10238,11259,11056,10880,10705,"Melbourne - Inner",533,1545,87,"206071142",206,215,8315,8641,8503,8961,8772,1546,"2GMEL",279,134,20607
